Date,Dividend,Pay Date
2021-05-13,0.7372,2021-05-26
2020-11-12,0.9065,2020-11-25
2020-05-14,1.2492,2020-05-27
2019-11-14,1.5878,2019-11-27
2019-05-16,1.7306,2019-05-31
2018-11-15,1.7619,2018-11-28
2018-05-17,1.6932,2018-05-31
2017-11-16,1.5712,2017-11-30
2017-05-11,1.4854,2017-05-31
2016-11-10,1.5638,2016-11-28
2016-05-12,1.8627,2016-05-31
2015-11-12,1.8807,2015-11-27
2015-04-30,2.1476,2015-05-21
2014-10-30,2.9387,2014-11-20
2014-04-16,2.7805,2014-05-07
2013-10-23,2.8694,2013-11-13
2013-04-24,2.9421,2013-05-15
2012-10-24,3.0982,2012-11-14
2012-04-25,3.1745,2012-05-16
2011-10-26,3.1912,2011-11-23
2011-04-27,3.2791,2011-05-25
2010-10-27,2.2461,2010-11-24
2010-06-23,0.9937,2010-07-21
2010-04-28,3.26,2010-05-26
2009-10-28,3.2369,2009-11-25
2009-04-28,3.2706,2009-05-27
2008-10-29,3.9816,2008-11-26
2008-04-30,2.6282,2008-05-28
2007-10-31,3.6609,2007-11-28
2007-04-25,2.6562,2007-05-23
