Date,Dividend,Pay Date
2019-05-16,0.8117,2019-05-31
2018-11-15,0.7888,2018-11-28
2018-05-17,0.8031,2018-05-31
2017-11-16,0.8308,2017-11-30
2017-05-11,0.7657,2017-05-31
2016-11-10,0.7722,2016-11-28
2016-05-12,0.9068,2016-05-31
2015-11-12,1.0219,2015-11-27
2015-04-30,1.1987,2015-05-21
2014-10-30,1.7898,2014-11-20
2014-04-16,1.855,2014-05-07
2013-10-23,1.8414,2013-11-13
2013-04-24,1.7552,2013-05-15
2012-10-24,1.8434,2012-11-14
2012-04-25,2.008,2012-05-16
2011-10-26,2.1775,2011-11-23
2011-04-27,2.2726,2011-05-25
2010-10-27,1.6536,2010-11-24
2010-06-23,0.7059,2010-07-21
2010-04-28,2.47,2010-05-26
2009-10-28,2.4992,2009-11-25
2009-04-28,2.6766,2009-05-27
2008-10-29,2.5394,2008-11-26
2008-04-30,2.7979,2008-05-28
2007-10-31,2.638,2007-11-28
2007-04-25,1.8918,2007-05-23
