Date,Dividend,Pay Date
2016-03-10,0.0628,2016-03-29
2015-08-27,0.1498,2015-09-17
2015-02-26,0.2608,2015-03-19
2014-08-20,0.6036,2014-09-10
2014-02-26,0.8997,2014-03-19
2013-08-28,1.2488,2013-09-18
2013-02-20,1.5736,2013-03-13
2012-08-22,1.4475,2012-09-12
2012-02-22,1.4713,2012-03-21
2011-08-24,1.1617,2011-09-21
2011-02-23,0.8177,2011-03-23
2010-08-25,0.4217,2010-09-22
2010-05-26,0.4709,2010-06-23
2010-02-24,1.1216,2010-03-24
2009-08-26,1.5359,2009-09-23
2009-02-25,1.9869,2009-03-25
2008-08-27,2.6292,2008-09-24
2008-02-27,2.2417,2008-03-26
2007-08-29,2.0694,2007-09-26
2007-02-28,2.1517,2007-03-28
