Date,Dividend,Pay Date
2019-05-16,0.121,2019-05-31
2018-05-17,0.2059,2018-05-31
2017-11-16,0.0876,2017-11-30
2017-05-11,0.052,2017-05-31
2016-11-10,0.0147,2016-11-28
2016-05-12,0.2023,2016-05-31
2015-11-12,0.3902,2015-11-27
2015-04-30,0.6248,2015-05-21
2014-10-30,1.099,2014-11-20
2014-04-16,1.1158,2014-05-07
2013-10-23,1.2028,2013-11-13
2013-04-24,1.4124,2013-05-15
2012-10-24,1.6672,2012-11-14
2012-04-25,1.957,2012-05-16
2011-10-26,1.8641,2011-11-23
2011-04-27,1.7018,2011-05-25
2010-10-27,1.1798,2010-11-24
2010-06-23,0.5311,2010-07-21
2010-04-28,1.8303,2010-05-26
2009-10-28,1.956,2009-11-25
2009-04-28,2.2985,2009-05-27
2008-10-29,2.4016,2008-11-26
2008-04-30,2.6619,2008-05-28
2007-10-31,2.2753,2007-11-28
2007-04-25,2.9634,2007-05-23
