Date,Dividend,Pay Date
2019-07-11,0.406,2019-07-24
2019-01-17,0.3847,2019-01-30
2018-07-12,0.2965,2018-07-25
2018-01-11,0.2441,2018-01-31
2017-07-13,0.184,2017-07-31
2017-01-12,0.1674,2017-01-27
2016-07-14,0.3336,2016-07-29
2016-01-14,0.4869,2016-01-27
2015-06-25,0.5558,2015-07-16
2014-12-18,0.6251,2015-01-08
2014-06-25,0.7398,2014-07-16
2013-12-13,0.6691,2014-01-08
2013-06-26,0.9239,2013-07-17
2012-12-27,1.1934,2013-01-16
2012-06-20,1.183,2012-07-11
2011-12-28,1.6482,2012-01-25
2011-06-22,1.4042,2011-07-20
2010-12-29,1.4979,2011-01-26
2010-06-23,0.3421,2010-07-21
2010-05-12,1.2059,2010-06-09
