Date,Dividend,Pay Date
2021-01-14,0.3326,2021-01-27
2020-07-16,0.4459,2020-07-29
2020-01-16,0.7304,2020-01-29
2019-07-11,1.1492,2019-07-24
2019-01-17,1.1451,2019-01-30
2018-07-12,1.0862,2018-07-25
2018-01-11,1.0893,2018-01-31
2017-07-13,0.9947,2017-07-31
2017-01-12,0.9719,2017-01-27
2016-07-14,1.0311,2016-07-29
2016-01-14,1.1809,2016-01-27
2015-06-25,1.2751,2015-07-16
2014-12-18,1.6788,2015-01-08
2014-06-25,2.2407,2014-07-16
2013-12-18,2.0972,2014-01-08
2013-06-26,2.2778,2013-07-17
2012-12-27,2.6977,2013-01-16
2012-06-20,2.5871,2012-07-11
2011-12-28,2.6989,2012-01-25
2011-06-22,2.344,2011-07-20
2010-12-29,2.5152,2011-01-26
2010-06-23,0.5562,2010-07-21
2010-05-12,1.7405,2010-06-09
