Date,Dividend,Pay Date
2019-07-11,0.5361,2019-07-24
2019-01-17,0.5911,2019-01-30
2018-07-12,0.6243,2018-07-25
2018-01-11,0.6366,2018-01-31
2017-07-13,0.663,2017-07-31
2017-01-12,0.7308,2017-01-27
2016-07-14,0.7591,2016-01-29
2016-01-14,0.8603,2016-01-27
2015-06-25,0.8892,2015-07-16
2014-12-18,1.0593,2014-01-08
2014-06-25,1.2498,2014-07-16
2013-12-18,1.2496,2013-01-08
2013-06-26,1.3217,2013-07-17
2012-12-27,1.5267,2012-01-16
2012-06-20,1.4583,2012-07-11
2011-12-28,1.5867,2011-01-25
2011-06-22,1.4037,2011-07-20
2010-12-29,1.5061,2010-01-26
2010-06-23,0.3535,2010-07-21
2010-05-12,1.1546,2010-06-09
2009-12-30,1.7421,2009-01-27
