Date,Dividend,Pay Date
2021-03-11,0.1209,2021-03-24
2020-12-10,0.1172,2020-12-23
2020-09-17,0.1157,2020-09-30
2020-06-11,0.1217,2020-06-24
2019-09-12,0.1209,2019-09-25
2019-06-13,0.1176,2019-06-26
2019-03-14,0.1168,2019-03-27
2018-12-13,0.1128,2018-12-28
2018-09-13,0.1087,2018-09-26
2018-06-14,0.1138,2018-06-27
2018-03-15,0.0993,2018-03-28
2017-12-14,0.1048,2017-12-29
2017-09-14,0.112,2017-09-29
2017-06-15,0.0938,2017-06-30
2017-03-16,0.076,2017-03-31
2016-12-15,0.0803,2016-12-30
2016-09-15,0.0794,2016-09-30
2016-06-16,0.0818,2016-06-29
2016-03-10,0.0779,2016-03-29
2015-12-10,0.1006,2015-12-30
2015-08-27,0.0696,2015-09-17
2015-05-28,0.0741,2015-0618
2015-02-26,0.0728,2015-03-19
2014-11-27,0.0791,2014-12-18
2014-08-20,0.0657,2014-09-10
2014-05-21,0.0534,2014-06-11
2014-02-26,0.0615,2014-03-19
2013-11-27,0.0582,2013-12-18
2013-08-28,0.0585,2013-09-18
2013-05-29,0.0684,2013-06-19
2013-02-20,0.0681,2013-03-13
2012-11-21,0.0536,2012-12-12
2012-08-22,0.0507,2012-09-12
2012-05-23,0.0483,2012-06-13
2012-02-22,0.0505,2012-03-21
2011-11-23,0.0429,2011-12-21
2011-08-24,0.0455,2011-09-21
2011-05-25,0.0416,2011-06-22
2011-02-23,0.0461,2011-03-23
2010-11-24,0.0322,2010-12-22
2010-08-25,0.0424,2010-09-22
2010-05-26,0.0348,2010-06-23
2010-02-24,0.0363,2010-03-24
2009-11-25,0.0381,2009-12-23
2009-08-26,0.0369,2009-09-23
2009-05-27,0.0413,2009-06-24
2009-02-25,0.0465,2009-03-25
2009-11-26,0.0502,2008-12-24
2008-08-27,0.0487,2008-09-24
2008-05-28,0.0468,2008-06-25
2008-02-27,0.0502,2008-03-26
2007-11-28,0.0601,2007-12-24
2007-08-29,0.0464,2007-09-26
2007-05-30,0.0486,2007-06-27
2007-02-28,0.0404,2007-03-28
2006-11-29,0.0434,2006-12-28
2006-08-30,0.0417,2006-09-28
2006-05-31,0.0483,2006-06-30
2006-02-22,0.034,2006-03-23
2005-11-30,0.0409,2005-12-22
2005-08-31,0.0396,2005-09-27
2005-05-25,0.0368,2005-06-23
2005-02-23,0.0348,2005-03-24
2004-12-01,0.0636,2004-12-21
2004-09-01,0.0312,2004-09-24
