Date,Dividend,Pay Date
2021-03-11,0.1234,2021-03-24
2020-12-10,0.1362,2020-12-23
2020-09-17,0.1466,2020-09-30
2020-06-11,0.2204,2020-06-24
2020-03-12,0.1462,2020-03-25
2019-12-12,0.1684,2019-12-27
2019-09-12,0.1577,2019-09-25
2019-06-13,0.3328,2019-06-26
2019-03-14,0.1482,2019-03-27
2018-12-13,0.1571,2018-12-28
2018-09-13,0.1565,2018-09-26
2018-06-14,0.3258,2018-06-27
2018-03-15,0.113,2018-03-28
2017-12-14,0.1463,2017-12-29
2017-09-14,0.1547,2017-09-29
2017-06-15,0.2975,2017-06-30
2017-03-16,0.1102,2017-03-31
2016-12-15,0.1369,2016-12-30
2016-09-15,0.1401,2016-09-30
2016-06-16,0.2665,2016-06-29
2016-03-10,0.1188,2016-03-29
2015-12-10,0.188,2015-12-30
2015-08-27,0.1377,2015-09-17
2015-05-28,0.2289,2015-06-18
2015-02-26,0.0947,2015-03-19
2014-11-27,0.1555,2014-12-18
2014-08-20,0.1828,2014-09-10
2014-05-21,0.1937,2014-06-11
2014-02-26,0.0858,2014-03-19
2013-11-27,0.1396,2013-12-18
2013-08-28,0.1275,2013-09-18
2013-05-29,0.2094,2013-06-19
2013-02-20,0.1225,2013-03-13
2012-11-21,0.1212,2012-12-12
2012-08-22,0.1615,2012-09-12
2012-05-23,0.1722,2012-06-13
2012-02-22,0.1031,2012-03-21
2011-11-23,0.1012,2011-12-21
2011-08-24,0.1668,2011-09-21
2011-05-25,0.1768,2011-06-22
2011-02-23,0.0862,2011-03-23
2010-11-24,0.085,2010-12-22
2010-08-25,0.1307,2010-09-22
2010-05-26,0.1499,2010-06-23
2010-02-24,0.0772,2010-03-24
2009-11-25,0.0794,2009-12-23
2009-08-26,0.1232,2009-09-23
2009-05-27,0.1462,2009-06-24
2009-02-25,0.0994,2009-03-25
2008-11-26,0.0969,2008-12-24
2008-08-27,0.1877,2008-09-24
2008-05-28,0.2072,2008-06-25
2008-02-27,0.0855,2008-03-26
2007-11-28,0.127,2007-12-24
2007-08-29,0.1409,2007-09-26
2007-05-30,0.1969,2007-06-27
2007-02-28,0.0719,2007-03-28
2006-11-29,0.0686,2006-12-28
2006-08-30,0.113,2006-09-28
2006-08-02,0.00398,2006-08-24
2006-05-31,0.1717,2006-06-30
