Date,Dividend,Pay Date
2021-01-14,0.1813,2021-01-27
2020-07-16,0.2476,2020-07-29
2020-01-16,0.3846,2020-01-29
2019-07-11,0.436,2019-07-24
2019-01-17,0.4068,2019-01-30
2018-07-12,0.4094,2018-07-25
2018-01-11,0.3958,2018-01-31
2017-07-13,0.4051,2017-07-31
2017-01-12,0.4475,2017-01-27
2016-07-14,0.5266,2016-07-29
2016-01-14,0.6323,2016-01-27
2015-06-25,0.7519,2015-07-16
2014-12-18,0.8835,2015-01-08
2014-06-25,1.1593,2014-07-16
2013-12-18,1.1066,2014-01-08
2013-06-26,1.1513,2013-07-17
2012-12-27,1.4548,2013-01-16
2012-06-20,1.4015,2012-07-11
2011-12-28,1.5861,2012-01-25
2011-06-22,1.3082,2011-07-20
2010-12-29,1.4548,2011-01-26
2010-06-23,0.3334,2010-07-21
2010-05-12,1.1356,2010-06-09
