Date,Dividend,Pay Date
2019-09-23,1.1553,2019-09-30
2019-06-24,1.3802,2019-06-28
2019-03-18,0.8875,2019-03-29
2018-12-27,1.1159,2019-01-04
2018-09-24,1.2345,2018-10-02
2018-06-18,1.0785,2018-06-27
2018-03-19,1.0146,2018-03-29
2017-12-18,1.0135,2017-12-29
2017-09-18,1.0804,2017-10-02
2017-06-19,1.0138,2017-07-03
2017-03-20,0.9752,2017-03-31
2016-12-19,0.9455,2016-12-30
2016-09-19,0.9018,2016-10-03
2016-06-20,0.8991,2016-07-05
2016-03-21,0.9627,2016-04-04
2015-12-21,0.9289,2016-01-04
2015-09-21,0.8747,2015-10-05
2015-06-22,0.8523,2015-07-06
2015-03-23,0.9076,2015-04-07
2014-12-22,0.8605,2014-12-30
2014-09-22,0.7628,2014-10-06
2014-06-23,0.7119,2014-07-07
2014-03-24,0.7785,2014-04-07
2013-12-20,0.7079,2014-01-03
2013-09-20,0.6904,2013-10-04
2013-06-21,0.7245,2013-07-05
2013-03-15,0.6101,2013-03-28
2012-12-21,0.7571,2013-01-04
2012-09-21,0.6626,2012-10-05
