Date,Dividend,Pay Date
2020-12-09,1.22,2020-12-11
2020-07-08,2.20,2020-07-10
2019-12-11,0.34,2019-12-13
2019-07-10,2.76,2019-07-12
2018-12-12,1.43,2018-12-14
2018-07-11,2.39,2018-07-13
2017-12-13,1.22,2017-12-15
2017-07-12,2.35,2017-07-17
2016-12-14,1.4,2016-12-16
2016-07-06,2.45,2016-07-08
2015-12-09,1.35,2015-12-11
2015-07-08,2.55,2015-07-10
2014-12-10,0.9,2014-12-12
2014-07-09,1.53,2014-07-14
2013-12-11,0.76,2013-12-16
2013-07-10,1.46,2013-07-15
2012-12-12,0.75,2012-12-17
2012-07-11,1.41,2012-07-16
2011-12-07,0.67,2011-12-12
2011-07-06,1.57,2011-07-11
2010-09-13,1.38,2010-09-16
2009-09-14,1.57,2009-09-17
2008-09-08,1.94,2008-09-11
2007-09-10,2.92,2007-09-13
