Date,Dividend,Pay Date
2019-01-31,1.4201,2019-02-05
2018-07-31,2.17,2018-08-03
2018-01-31,1.1488,2018-02-05
2017-07-31,1.9447,2017-08-03
2017-01-31,1.5008,2017-02-03
2016-07-29,1.8927,2016-08-03
2016-01-29,1.4728,2016-02-03
2015-07-30,1.9457,2015-08-04
2015-01-30,1.2896,2015-02-04
2014-08-11,2.4449,2014-08-14
2014-01-31,1.1204,2014-02-05
2013-07-31,1.6912,2013-08-05
2013-01-31,1.0601,2013-02-05
2012-07-31,1.561,2012-08-03
2012-01-31,1.0008,2012-02-03
2011-07-26,1.5,2011-07-29
2011-01-25,0.8,2011-01-28
2010-07-26,1.1,2010-07-29
