Date,Open,High,Low,Close,Adj Close,Volume
2012-03-15,104.59,104.59,104.59,104.4,104.4,100
2012-03-29,105.0,105.0,105.0,105.08,105.08,100
2012-04-03,105.27,105.27,105.27,105.23,105.23,50
2012-04-19,105.46,105.46,105.46,105.38,105.38,475
2012-05-15,106.75,106.75,106.75,106.63,106.63,280
2012-05-28,107.84,107.84,107.84,107.79,107.79,232
2012-05-31,108.45,108.45,108.45,108.47,108.47,25
2012-06-01,108.57,108.57,108.57,108.88,108.88,100
2012-06-06,108.05,108.05,108.05,107.96,107.96,100
2012-06-11,107.61,107.61,107.61,107.67,107.67,32
2012-06-12,107.35,107.35,107.35,107.0,107.0,185
2012-06-21,106.82,106.9,106.82,107.05,107.05,504
2012-06-26,107.21,107.21,107.21,107.05,107.05,15
2012-06-28,107.19,107.19,107.19,107.05,107.05,24
2012-06-29,106.91,106.91,106.89,107.05,107.05,105
2012-07-13,109.46,109.46,109.46,109.46,109.46,0
2012-07-16,109.71,109.71,109.71,107.05,107.05,7
2012-07-17,109.89,109.89,109.89,107.05,107.05,455
2012-07-24,109.34,109.34,109.34,109.81,109.81,7
2012-07-25,109.34,109.34,109.17,109.41,109.41,313
2012-07-26,109.44,109.44,109.44,109.28,109.28,90
2012-08-08,109.4,109.4,109.4,109.45,109.45,90
2012-08-09,109.66,109.66,109.51,109.46,109.46,262
2012-08-20,109.16,109.16,109.16,109.14,109.14,100
2012-08-24,109.8,109.8,109.8,109.62,109.62,200
2012-08-28,109.8,109.8,109.8,109.78,109.78,55
2012-09-03,109.55,109.55,109.55,109.53,109.53,100
2012-09-13,109.07,109.07,109.07,109.14,109.14,27
2012-10-10,109.61,109.61,109.61,109.63,109.63,90
2012-10-15,109.88,109.88,109.88,109.8,109.8,30
2012-11-07,110.1,110.1,110.1,110.3,110.3,185
2012-11-16,110.76,110.76,110.75,110.63,110.63,4
2012-11-19,110.72,110.72,110.65,110.62,110.62,872
2012-11-21,110.25,110.25,110.25,110.14,110.14,1
2012-11-23,110.27,110.27,110.27,110.15,110.15,1
2012-11-26,110.36,110.4,110.36,110.37,110.37,111
2012-11-27,110.23,110.34,110.23,110.32,110.32,82
2012-11-28,110.54,110.71,110.54,110.67,110.67,3
2012-12-05,110.79,110.88,110.79,110.9,110.9,2
2012-12-06,110.89,111.14,110.89,111.14,111.14,20
2012-12-07,111.22,111.3,111.22,111.14,111.14,2
2012-12-10,111.5,111.5,111.5,111.31,111.31,1
2012-12-11,111.16,111.16,111.16,111.26,111.26,10
2012-12-12,111.29,111.29,111.29,111.22,111.22,2
2012-12-13,111.35,111.35,111.35,111.23,111.23,2
2012-12-17,111.18,111.18,111.02,111.05,111.05,184
2012-12-21,111.13,111.13,111.06,110.99,110.99,6
2012-12-27,111.34,111.34,111.34,111.32,111.32,3
2012-12-28,111.43,111.43,111.43,111.32,111.32,303
2013-01-02,110.91,110.91,110.79,110.77,110.77,9
2013-01-03,110.06,110.56,110.06,110.48,110.48,50000
2013-01-08,110.28,110.39,110.28,110.37,110.37,34
2013-01-09,110.52,110.52,110.52,110.52,110.52,2
2013-01-10,110.5,110.5,110.09,110.14,110.14,79
2013-01-22,109.98,109.98,109.98,110.05,110.05,55
2013-01-23,110.24,110.24,110.24,110.29,110.29,2
2013-01-24,110.32,110.32,110.32,110.07,110.07,2
2013-01-25,109.96,109.96,109.67,110.07,110.07,4
2013-02-01,109.47,109.47,109.47,109.36,109.36,190
2013-02-06,109.61,109.61,109.61,109.63,109.63,150
2013-02-15,109.81,109.81,109.81,109.93,109.93,208
2013-02-21,109.94,109.94,109.94,110.21,110.21,32
2013-02-22,110.3,110.3,110.3,110.21,110.21,20000
2013-02-27,110.97,110.97,110.93,110.94,110.94,113
2013-03-11,110.91,110.91,110.91,110.94,110.94,530
2013-03-12,111.08,111.08,111.08,111.11,111.11,180
2013-03-14,111.25,111.25,111.25,111.17,111.17,134
2013-03-20,111.61,111.61,111.61,111.56,111.56,100
2013-03-21,111.63,111.63,111.62,111.66,111.66,470
2013-03-25,111.54,111.54,111.54,111.73,111.73,200
2013-03-26,111.62,111.62,111.62,111.7,111.7,89
2013-04-02,111.86,111.86,111.82,111.81,111.81,308
2013-04-04,112.31,112.31,112.31,112.35,112.35,133
2013-04-10,112.17,112.17,112.16,112.04,112.04,189
2013-04-12,112.25,112.25,112.25,112.07,112.07,100
2013-04-15,112.35,112.35,112.35,112.4,112.4,88
2013-04-22,112.5,112.68,112.5,112.63,112.63,227
2013-04-24,112.51,112.51,112.51,112.64,112.64,50
2013-04-26,112.6,112.6,112.6,112.55,112.55,88
2013-04-29,112.65,112.65,112.65,112.68,112.68,40
2013-04-30,112.76,112.76,112.75,112.68,112.68,71
2013-05-03,112.87,112.87,112.87,112.97,112.97,89
2013-05-07,112.59,112.59,112.59,112.36,112.36,30
2013-05-09,112.5,112.5,112.5,112.52,112.52,232
