Date,Open,High,Low,Close,Adj Close,Volume
2010-05-25,72.85,72.85,72.85,72.85,72.85,0
2010-05-26,75.49,75.49,75.49,75.49,75.49,0
2010-05-27,75.52,75.52,75.52,75.52,75.52,10
2010-05-28,75.35,75.35,75.35,75.35,75.35,0
2010-05-31,75.76,75.84,75.76,75.84,75.84,135
2010-06-01,75.49,75.49,75.49,75.49,75.49,7
2010-06-02,75.34,75.34,75.34,75.34,75.34,0
2010-06-03,76.68,76.68,76.68,76.68,76.68,0
2010-06-04,77.35,77.44,76.73,76.73,76.73,120
2010-06-07,75.6,75.6,75.6,75.6,75.6,0
2010-06-08,75.11,75.11,75.11,75.11,75.11,25
2010-06-09,75.07,75.08,74.81,74.81,74.81,100
2010-06-10,75.96,75.96,75.96,75.96,75.96,0
2010-06-11,76.24,76.24,76.24,76.24,76.24,0
2010-06-14,76.39,76.39,76.39,76.39,76.39,8
2010-06-15,76.34,76.34,76.34,76.34,76.34,130
2010-06-16,76.66,76.66,76.61,76.61,76.61,95
2010-06-17,76.22,76.22,76.22,76.22,76.22,0
2010-06-18,76.6,76.6,76.6,76.6,76.6,100
2010-06-21,77.22,77.22,77.22,77.22,77.22,0
2010-06-22,76.91,76.91,76.91,76.91,76.91,0
2010-06-23,75.79,75.79,75.79,75.79,75.79,0
2010-06-24,74.92,74.92,74.92,74.92,74.92,20
2010-06-25,74.05,74.05,74.05,74.05,74.05,25
2010-06-28,74.22,74.22,74.22,74.22,74.22,0
2010-06-29,73.08,73.08,73.08,73.08,73.08,15
2010-06-30,72.22,72.22,72.22,72.22,72.22,0
2010-07-01,69.43,69.43,69.43,69.43,69.43,0
2010-07-02,69.81,69.81,69.81,69.81,69.81,7
2010-07-05,68.86,68.86,68.86,68.86,68.86,25
2010-07-06,69.33,69.55,69.3,69.55,69.55,1636
2010-07-07,69.15,70.1,69.15,69.67,69.67,802
2010-07-08,71.36,71.36,71.23,71.23,71.23,3300
2010-07-09,72.27,72.27,72.27,72.27,72.27,1
2010-07-12,72.5,72.5,72.5,72.5,72.5,0
2010-07-13,73.18,73.18,73.18,73.18,73.18,0
2010-07-14,73.71,73.71,73.71,73.71,73.71,40
2010-07-15,72.89,72.89,72.03,72.03,72.03,2801
2010-07-16,71.8,71.8,71.8,71.8,71.8,4
2010-07-19,69.95,69.95,69.95,69.95,69.95,0
2010-07-20,69.53,69.53,69.53,69.53,69.53,30
2010-07-21,72.13,72.13,72.13,72.13,72.13,50
2010-07-22,72.0,72.0,72.0,72.0,72.0,0
2010-07-23,72.31,72.31,72.31,72.31,72.31,0
2010-07-26,72.83,72.83,72.83,72.83,72.83,0
2010-07-27,72.83,72.83,72.83,72.83,72.83,0
2010-07-28,72.44,72.44,72.44,72.44,72.44,0
2010-07-29,71.59,71.59,71.59,71.59,71.59,0
2010-07-30,71.59,71.59,71.59,71.59,71.59,0
2010-08-02,72.63,73.23,72.54,73.23,73.23,600
2010-08-03,72.2,72.27,72.0,72.16,72.16,330
2010-08-04,72.65,72.65,72.65,72.65,72.65,0
2010-08-05,72.19,72.19,72.19,72.19,72.19,3
2010-08-06,71.02,71.02,71.02,71.02,71.02,0
2010-08-09,72.32,72.32,72.32,72.32,72.32,0
2010-08-10,72.49,72.49,72.49,72.49,72.49,8
2010-08-11,72.09,72.09,72.09,72.09,72.09,0
2010-08-12,71.39,71.39,71.39,71.39,71.39,8
2010-08-13,72.13,72.13,72.13,72.13,72.13,0
2010-08-16,71.48,71.48,71.48,71.48,71.48,424
2010-08-17,72.31,72.31,72.31,72.31,72.31,0
2010-08-18,71.97,71.97,71.97,71.97,71.97,424
2010-08-19,71.18,71.18,71.18,71.18,71.18,0
2010-08-20,71.64,71.64,71.64,71.64,71.64,0
2010-08-23,71.89,71.89,71.89,71.89,71.89,0
2010-08-24,70.64,70.64,70.64,70.64,70.64,2500
2010-08-25,70.0,70.0,70.0,70.0,70.0,215
2010-08-26,70.84,70.84,70.84,70.84,70.84,30
2010-08-27,70.44,70.44,69.99,70.06,70.06,5848
