Date,Open,High,Low,Close,Adj Close,Volume
2010-03-09,66.3,66.3,66.3,66.3,66.3,0
2010-03-10,67.01,67.01,67.01,67.01,67.01,0
2010-03-11,66.97,66.97,66.97,66.97,66.97,1
2010-03-12,66.77,66.77,66.77,66.77,66.77,0
2010-03-15,66.05,66.32,66.05,66.05,66.05,0
2010-03-16,66.86,67.06,66.86,66.86,66.86,0
2010-03-17,67.4,67.67,67.4,67.4,67.4,0
2010-03-18,67.0,67.14,67.0,67.0,67.0,0
2010-03-19,66.57,66.72,66.57,66.57,66.57,0
2010-03-22,66.35,66.5,66.35,66.35,66.35,0
2010-03-23,66.96,67.2,66.96,66.96,66.96,0
2010-03-24,66.71,66.96,66.71,66.71,66.71,0
2010-03-25,67.71,67.97,67.71,67.71,67.71,0
2010-03-26,67.52,67.79,67.52,67.52,67.52,0
2010-03-29,67.86,67.86,67.86,67.86,67.86,0
2010-03-30,67.64,67.64,67.64,67.64,67.64,0
2010-03-31,67.3,67.3,67.3,67.3,67.3,0
2010-04-01,68.41,68.41,68.41,68.41,68.41,0
2010-04-06,68.78,68.78,68.78,68.78,68.78,0
2010-04-07,68.54,68.54,68.54,68.54,68.54,0
2010-04-08,67.76,67.76,67.76,67.76,67.76,0
2010-04-09,68.86,68.86,68.86,68.86,68.86,0
2010-04-12,69.18,69.18,69.18,69.18,69.18,0
2010-04-13,68.86,68.86,68.86,68.86,68.86,0
2010-04-14,69.36,69.36,69.36,69.36,69.36,0
2010-04-15,69.46,69.46,69.46,69.46,69.46,0
2010-04-16,68.04,68.04,68.04,68.04,68.04,0
2010-04-19,67.75,67.75,67.75,67.75,67.75,0
2010-04-20,68.6,68.6,68.6,68.6,68.6,0
2010-04-21,68.39,68.39,68.39,68.39,68.39,150
2010-04-22,66.81,66.81,66.81,66.81,66.81,0
2010-04-23,67.31,67.31,67.31,67.31,67.31,0
2010-04-26,67.95,67.95,67.95,67.95,67.95,0
2010-04-27,65.96,65.96,65.96,65.96,65.96,0
2010-04-28,65.03,65.03,65.03,65.03,65.03,0
2010-04-29,65.0,65.0,65.0,65.0,65.0,0
2010-04-30,64.98,64.98,64.98,64.98,64.98,0
2010-05-03,65.18,65.18,65.18,65.18,65.18,0
2010-05-04,62.84,62.84,62.84,62.84,62.84,0
2010-05-05,62.18,62.18,62.18,62.18,62.18,0
2010-05-06,60.47,60.47,60.47,60.47,60.47,0
2010-05-07,58.96,58.96,58.96,58.96,58.96,0
2010-05-10,63.91,63.91,63.91,63.91,63.91,0
2010-05-11,63.6,63.6,63.6,63.6,63.6,0
2010-05-12,64.58,64.58,64.58,64.58,64.58,0
2010-05-13,68.5,68.5,68.5,68.5,68.5,2
2010-05-14,61.14,61.14,61.14,61.14,61.14,0
2010-05-17,61.58,61.58,61.58,61.58,61.58,0
2010-05-18,62.99,62.99,62.99,62.99,62.99,0
2010-05-19,61.38,61.38,61.38,61.38,61.38,100
2010-05-20,62.32,62.32,62.32,62.32,62.32,45
2010-05-21,60.45,60.45,60.45,60.45,60.45,0
2010-05-24,60.07,60.07,60.07,60.07,60.07,0
2010-05-25,58.38,58.38,58.38,58.38,58.38,0
2010-05-26,59.69,59.69,59.69,59.69,59.69,0
2010-05-27,61.39,61.39,61.39,61.39,61.39,0
2010-05-28,62.07,62.07,62.07,62.07,62.07,986
2010-05-31,61.6,61.6,61.42,61.42,61.42,1772
2010-06-01,60.08,60.08,59.81,59.81,59.81,3309
2010-06-02,60.34,60.34,60.34,60.34,60.34,181
2010-06-03,62.39,62.52,62.39,62.52,62.52,2405
2010-06-04,62.18,62.18,62.18,62.18,62.18,159
2010-06-07,59.54,60.2,59.52,59.52,59.52,2698
2010-06-08,59.18,59.18,59.18,59.18,59.18,750
2010-06-09,58.89,59.8,58.89,59.8,59.8,1137
2010-06-10,60.73,60.73,60.59,60.59,60.59,2110
2010-06-11,61.91,61.91,61.91,61.91,61.91,621
2010-06-14,62.96,62.96,62.88,62.88,62.88,646
2010-06-15,63.94,63.94,63.94,63.94,63.94,0
2010-06-16,64.04,64.04,63.92,63.97,63.97,553
2010-06-17,64.74,64.74,64.74,64.74,64.74,55
2010-06-18,64.34,64.34,64.03,64.19,64.19,13352
2010-06-21,65.49,65.49,65.49,65.49,65.49,673
2010-06-22,64.33,64.71,64.33,64.67,64.67,4051
2010-06-23,64.43,64.43,64.43,64.43,64.43,569
2010-06-24,63.24,63.24,63.24,63.24,63.24,209
2010-06-25,61.9,61.9,61.9,61.9,61.9,0
2010-06-28,62.73,62.73,62.73,62.73,62.73,0
2010-06-29,61.22,61.22,61.22,61.22,61.22,2322
2010-06-30,61.01,61.01,61.01,61.01,61.01,1152
2010-07-01,59.6,59.6,59.6,59.6,59.6,0
2010-07-02,59.75,59.75,59.56,59.56,59.56,911
2010-07-05,59.35,59.35,59.35,59.35,59.35,21
2010-07-06,61.13,61.16,61.13,61.16,61.16,295
2010-07-07,60.17,61.55,60.15,61.55,61.55,5077
2010-07-08,62.51,62.73,62.51,62.73,62.73,854
2010-07-09,63.18,63.18,63.09,63.13,63.13,637
2010-07-12,63.19,63.19,63.04,63.04,63.04,555
2010-07-13,64.14,64.14,64.14,64.14,64.14,10
2010-07-14,64.28,64.42,64.27,64.42,64.42,4243
2010-07-15,64.56,64.73,64.17,64.17,64.17,1067
2010-07-16,63.91,63.91,62.49,63.67,63.67,4455
2010-07-19,62.77,62.88,62.77,62.88,62.88,2636
2010-07-20,61.61,61.61,61.44,61.6,61.6,3076
2010-07-21,62.72,63.04,62.72,62.86,62.86,1044
2010-07-22,63.93,63.93,63.93,63.93,63.93,0
2010-07-23,64.27,64.27,64.27,64.27,64.27,695
2010-07-26,64.18,64.26,64.18,64.26,64.26,4252
2010-07-27,65.27,65.59,65.08,65.16,65.16,48929
2010-07-28,65.21,65.24,64.92,65.16,65.16,5138
2010-07-29,65.57,65.57,65.57,65.57,65.57,4714
2010-07-30,64.58,65.07,64.06,64.84,64.84,14611
2010-08-02,65.89,65.9,65.77,65.77,65.77,2278
2010-08-03,66.55,66.55,66.18,66.42,66.42,6229
2010-08-04,66.08,66.25,66.08,66.12,66.12,16099
2010-08-05,67.1,67.15,66.65,66.65,66.65,3176
2010-08-06,66.69,66.84,65.93,65.93,65.93,2434
2010-08-09,66.48,66.62,66.48,66.62,66.62,5768
2010-08-10,66.32,66.32,66.15,66.15,66.15,2253
2010-08-11,64.89,64.89,64.71,64.71,64.71,2333
2010-08-12,64.16,64.16,64.16,64.16,64.16,138
2010-08-13,64.11,64.11,64.11,64.11,64.11,300
2010-08-16,63.43,63.43,63.24,63.24,63.24,486
2010-08-17,64.18,64.18,64.18,64.18,64.18,196
2010-08-18,64.44,64.44,64.34,64.38,64.38,2457
2010-08-19,64.77,64.77,64.3,64.31,64.31,2832
2010-08-20,62.97,62.97,62.85,62.85,62.85,1288
2010-08-23,62.64,62.64,62.64,62.64,62.64,789
2010-08-24,61.95,61.95,61.86,61.86,61.86,321
2010-08-25,61.7,61.7,61.7,61.7,61.7,515
2010-08-26,61.6,61.6,61.45,61.45,61.45,806
2010-08-27,61.2,61.2,61.2,61.2,61.2,1537
2010-08-30,62.17,62.17,62.17,62.17,62.17,61
2010-08-31,61.32,61.32,61.19,61.19,61.19,1406
2010-09-01,62.72,62.72,62.6,62.6,62.6,302
2010-09-02,64.12,64.12,64.01,64.01,64.01,320
2010-09-03,64.49,64.64,64.38,64.64,64.64,463
2010-09-06,65.15,65.15,65.03,65.03,65.03,74
2010-09-07,64.29,64.29,64.16,64.16,64.16,71
2010-09-08,64.0,64.0,63.86,63.86,63.86,729
2010-09-09,65.34,65.34,65.23,65.23,65.23,218
2010-09-10,65.61,65.61,65.61,65.61,65.61,0
2010-09-13,66.35,66.4,66.23,66.4,66.4,8482
2010-09-14,66.07,66.07,65.99,65.99,65.99,375
2010-09-15,65.68,65.68,65.68,65.68,65.68,206
2010-09-16,65.77,65.77,65.74,65.74,65.74,1364
2010-09-17,66.08,66.08,66.08,66.08,66.08,2
2010-09-20,65.44,65.44,65.44,65.44,65.44,2
2010-09-21,66.46,66.46,66.46,66.46,66.46,111
2010-09-22,65.35,65.35,65.35,65.35,65.35,52
2010-09-23,64.54,64.54,64.42,64.42,64.42,160
2010-09-24,64.28,64.28,64.28,64.28,64.28,240
2010-09-27,65.9,65.9,65.79,65.79,65.79,487
2010-09-28,65.47,65.47,65.47,65.47,65.47,36
2010-09-29,65.34,65.34,65.31,65.31,65.31,190
2010-09-30,64.68,64.68,64.58,64.58,64.58,317
2010-10-01,65.26,65.26,64.85,64.85,64.85,3827
2010-10-04,64.01,64.01,64.01,64.01,64.01,195
2010-10-05,64.11,64.11,64.0,64.0,64.0,619
2010-10-06,65.79,65.79,65.79,65.79,65.79,245
2010-10-07,65.86,65.86,65.86,65.86,65.86,252
2010-10-08,65.53,65.53,65.42,65.42,65.42,117
2010-10-11,65.88,65.88,65.77,65.82,65.82,3431
2010-10-12,65.24,65.24,65.24,65.24,65.24,52
2010-10-13,66.61,66.61,66.44,66.44,66.44,3654
2010-10-14,67.15,67.15,67.09,67.09,67.09,356
2010-10-15,67.1,67.1,67.1,67.1,67.1,32
2010-10-18,67.31,67.46,67.22,67.27,67.27,1333
2010-10-19,67.56,67.56,67.54,67.54,67.54,315
2010-10-20,67.17,67.17,67.06,67.06,67.06,74
2010-10-21,67.82,67.82,67.73,67.73,67.73,175
2010-10-22,67.91,68.16,67.89,68.03,68.03,5498
2010-10-25,68.12,68.12,68.03,68.03,68.03,1227
2010-10-26,67.42,67.42,67.34,67.34,67.34,300
2010-10-27,67.6,67.6,67.6,67.6,67.6,202
2010-10-28,67.27,67.27,67.27,67.27,67.27,0
2010-10-29,66.95,66.95,66.95,66.95,66.95,95
2010-11-01,67.19,67.19,67.08,67.08,67.08,1205
2010-11-02,67.57,67.63,67.57,67.57,67.57,0
2010-11-03,67.71,67.76,67.44,67.44,67.44,18349
2010-11-04,68.19,68.19,68.1,68.17,68.17,643
2010-11-05,68.23,68.23,68.0,68.0,68.0,30
2010-11-08,67.68,67.78,67.68,67.7,67.7,4533
2010-11-09,68.44,68.55,68.29,68.34,68.34,5846
2010-11-10,68.1,68.1,67.96,67.96,67.96,5972
2010-11-11,67.11,67.29,66.97,67.03,67.03,1709
2010-11-12,65.83,66.81,65.83,66.81,66.81,4087
2010-11-15,66.89,66.89,66.81,66.81,66.81,285
2010-11-16,66.63,66.63,65.99,66.0,66.0,495
2010-11-17,66.23,66.23,66.17,66.17,66.17,174
2010-11-18,67.47,67.47,67.41,67.41,67.41,547
2010-11-19,67.46,67.46,67.13,67.35,67.35,233
2010-11-22,68.0,68.0,66.55,66.61,66.61,5978
2010-11-23,66.3,66.3,66.24,66.24,66.24,163
2010-11-24,65.33,65.33,65.25,65.25,65.25,885
