Date,Open,High,Low,Close,Adj Close,Volume
2010-09-10,110.68,110.68,110.68,110.68,110.68,2850
2010-09-13,111.56,111.56,111.56,111.56,111.56,50
2010-09-20,109.88,109.88,109.88,109.88,109.88,5
2010-09-27,109.1,109.1,109.1,109.1,109.1,45
2010-09-28,108.67,108.67,108.67,108.67,108.67,50
2010-10-01,107.23,107.23,106.9,106.9,106.9,1063
2010-10-11,108.0,108.0,108.0,108.0,108.0,10
2010-10-15,107.75,107.75,107.75,107.75,107.75,10
2010-10-20,108.54,108.54,108.54,108.54,108.54,20
2010-11-01,109.41,109.41,109.4,109.41,109.41,5000
2010-11-04,109.95,109.95,109.95,109.95,109.95,83
2010-11-08,112.2,112.2,112.2,112.2,112.2,50
2010-11-16,112.38,112.38,112.38,112.38,112.38,4000
2010-11-25,113.74,113.74,113.74,113.74,113.74,13
2010-11-26,113.95,113.95,113.95,113.95,113.95,5
2010-12-02,115.77,115.77,115.77,115.77,115.77,87
2010-12-09,117.8,117.8,117.8,117.8,117.8,87
2010-12-14,117.25,117.25,117.25,117.25,117.25,50
2010-12-21,119.91,119.91,119.91,119.91,119.91,819
2010-12-28,120.24,120.24,120.24,120.24,120.24,10
2010-12-29,121.17,121.17,121.16,121.17,121.17,19950
2010-12-30,119.51,119.51,119.51,119.51,119.51,20
2011-01-03,120.39,120.39,120.39,120.39,120.39,166
2011-01-05,120.38,120.38,120.02,120.36,120.36,593
2011-01-06,122.32,122.32,122.32,122.32,122.32,83
2011-01-17,122.31,122.31,122.31,122.31,122.31,800
2011-01-19,121.45,121.45,121.45,121.45,121.45,21
2011-01-21,119.5,119.63,119.5,119.54,119.54,41
2011-01-24,119.45,119.45,119.45,119.45,119.45,33
2011-02-02,120.3,120.31,120.26,120.31,120.31,3833
2011-02-03,120.34,120.34,120.34,120.34,120.34,10
2011-02-04,121.83,121.83,121.83,121.83,121.83,4
2011-02-23,121.62,121.62,121.62,121.62,121.62,8
2011-03-01,122.34,122.34,121.49,121.62,121.62,505
2011-03-03,121.37,121.37,121.1,121.1,121.1,4000
2011-03-07,120.03,120.03,120.03,120.03,120.03,49
2011-03-10,119.61,119.61,118.59,118.94,118.94,5875
2011-03-14,116.55,116.55,116.55,116.55,116.55,280
2011-03-16,114.24,114.24,113.8,113.8,113.8,533
2011-03-24,116.16,116.16,116.16,116.16,116.16,1000
2011-03-25,116.9,117.0,116.9,117.0,117.0,94
2011-03-29,117.01,117.01,116.68,116.68,116.68,1081
2011-03-30,118.29,118.59,118.29,118.35,118.35,2017
2011-03-31,117.84,117.84,117.56,117.64,117.64,782
2011-04-01,117.78,118.69,117.78,118.57,118.57,2500
2011-04-04,118.13,118.13,118.13,118.13,118.13,250
2011-04-06,118.0,118.0,118.0,118.0,118.0,170
2011-04-12,115.52,115.52,115.52,115.52,115.52,73
2011-04-14,115.02,115.02,115.02,115.02,115.02,6000
2011-04-21,116.37,116.79,116.37,116.67,116.67,86
2011-05-02,117.87,117.87,117.87,117.87,117.87,85
2011-05-06,117.65,117.65,117.65,118.01,118.01,200
2011-05-09,117.76,118.69,117.76,118.61,118.61,4350
2011-05-18,117.93,117.93,117.74,117.89,117.89,43
2011-05-23,117.61,117.61,117.61,117.47,117.47,1
2011-05-25,117.2,117.2,117.2,117.77,117.77,170
2011-05-30,117.85,117.85,117.85,117.78,117.78,1
2011-06-01,117.91,117.91,117.91,116.92,116.92,3500
2011-06-10,112.58,112.58,112.58,112.79,112.79,37
2011-06-17,113.09,113.09,112.64,112.88,112.88,2659
2011-06-20,112.21,112.21,112.21,112.6,112.6,44
2011-06-23,113.0,113.0,113.0,112.84,112.84,35
2011-06-24,113.22,113.22,113.22,113.27,113.27,3500
2011-06-29,115.29,115.29,114.48,114.77,114.77,7630
2011-06-30,114.98,114.98,114.98,115.41,115.41,225
2011-07-08,117.91,117.91,117.56,118.08,118.08,10500
2011-07-12,117.28,117.3,117.2,117.91,117.91,7493
2011-07-13,117.88,117.88,117.65,117.88,117.88,4088
2011-07-21,116.84,116.84,116.84,117.66,117.66,225
2011-07-26,117.17,117.17,117.17,116.68,116.68,5
2011-07-27,115.56,115.56,115.56,115.9,115.9,3500
2011-07-29,115.03,115.03,115.03,114.91,114.91,35
2011-08-02,113.47,113.48,113.47,113.12,113.12,7000
2011-08-05,107.47,107.47,107.47,105.17,105.17,3500
2011-08-08,104.5,104.5,102.3,102.5,102.5,12336
2011-08-09,100.31,100.76,100.31,101.75,101.75,14000
2011-08-10,103.44,103.44,101.55,100.32,100.32,15004
2011-08-11,101.19,101.19,99.85,101.67,101.67,6168
2011-08-12,102.4,104.35,102.4,104.46,104.46,6168
2011-08-23,99.65,99.65,99.65,100.06,100.06,12
2011-08-24,100.54,100.54,100.54,101.81,101.81,1334
2011-08-31,105.82,106.59,105.82,105.96,105.96,2668
2011-09-02,105.32,105.32,105.32,104.47,104.47,1334
2011-09-07,103.95,104.6,103.95,104.86,104.86,3509
2011-09-13,103.78,103.78,103.77,104.19,104.19,7000
2011-09-15,106.0,106.0,106.0,106.06,106.06,3500
2011-09-19,106.56,106.56,106.56,106.52,106.52,9
2011-09-21,106.42,106.42,106.42,106.01,106.01,2300
2011-09-22,102.42,102.42,102.42,102.06,102.06,83
2011-09-23,101.33,101.45,100.73,102.27,102.27,13168
2011-09-30,104.12,104.14,104.12,104.46,104.46,7000
2011-10-06,105.42,105.42,105.39,105.05,105.05,7000
2011-10-19,108.23,108.23,108.14,108.38,108.38,7000
2011-10-20,107.78,107.78,107.78,107.1,107.1,5
2011-10-26,108.9,108.95,108.9,108.75,108.75,460
2011-11-04,111.56,111.56,110.11,110.05,110.05,23520
2011-11-07,110.05,110.05,110.05,110.12,110.12,3
2011-11-08,111.12,111.18,111.12,110.57,110.57,10508
2011-11-11,110.85,111.32,110.85,111.12,111.12,3800
2011-11-21,107.85,107.85,107.85,105.61,105.61,3500
2011-11-23,107.85,107.85,105.37,104.83,104.83,905
2011-12-01,111.28,111.28,111.28,111.23,111.23,9
2011-12-06,113.17,113.17,113.17,113.04,113.04,210
2011-12-07,115.72,115.72,113.36,112.68,112.68,440
2011-12-12,110.9,110.9,110.9,111.74,111.74,10
2011-12-23,114.52,114.73,114.52,114.81,114.81,1350
2012-01-04,117.22,117.72,117.22,117.72,117.72,435
2012-01-09,118.51,118.51,118.51,118.34,118.34,5
2012-01-11,119.77,119.77,119.77,120.06,120.06,3500
2012-01-17,121.09,121.09,121.09,120.89,120.89,3500
2012-01-19,120.87,121.06,120.87,121.33,121.33,3510
2012-01-20,121.21,121.21,121.21,120.96,120.96,2
2012-01-25,120.98,121.0,120.98,120.74,120.74,3520
2012-01-26,121.15,121.15,121.15,120.88,120.88,3550
2012-01-27,120.84,120.84,120.84,120.19,120.19,250
2012-01-30,119.51,119.51,119.51,119.6,119.6,17
2012-02-01,120.9,121.07,120.9,121.08,121.08,38
2012-02-02,121.54,121.6,121.54,121.49,121.49,701
2012-02-03,123.14,123.14,123.14,123.26,123.26,12
2012-02-08,122.7,122.7,122.7,122.34,122.34,70
2012-02-13,122.6,122.6,122.45,122.56,122.56,2556
2012-02-20,124.4,124.4,124.4,124.46,124.46,740
2012-02-21,124.28,124.28,124.28,124.14,124.14,5
2012-02-22,123.65,123.8,123.65,123.62,123.62,177
2012-02-24,123.49,123.49,123.04,122.84,122.84,250
2012-02-28,123.42,123.42,123.42,123.25,123.25,3
