Date,Open,High,Low,Close,Adj Close,Volume
2010-02-02,105.28,105.28,105.23,105.23,105.23,100
2010-02-03,105.08,105.1,105.0,105.0,105.0,755
2010-02-04,105.03,105.05,105.0,105.05,105.05,110
2010-02-05,105.79,105.79,105.72,105.72,105.72,148
2010-02-08,105.77,105.9,105.77,105.8,105.8,542
2010-02-09,105.6,105.65,105.6,105.64,105.64,560
2010-02-10,105.3,105.52,105.3,105.48,105.48,469
2010-02-11,105.39,105.4,105.3,105.38,105.38,554
2010-02-16,105.46,105.49,105.44,105.45,105.45,445
2010-02-17,105.44,105.57,105.44,105.47,105.47,658
2010-02-18,105.45,105.46,105.31,105.31,105.31,9719
2010-02-19,105.2,105.2,105.05,105.09,105.09,530
2010-02-22,105.14,105.22,105.14,105.21,105.21,110
2010-02-23,105.24,106.0,105.24,105.83,105.83,3937
2010-02-24,106.1,106.1,105.96,106.05,106.05,1198
2010-02-25,106.19,106.28,106.14,106.16,106.16,2949
2010-02-26,106.2,106.23,106.1,106.23,106.23,1675
2010-03-01,106.19,106.29,106.15,106.26,106.26,8457
2010-03-02,106.19,106.24,106.0,106.17,106.17,4985
2010-03-03,106.23,106.23,106.0,106.05,106.05,6105
2010-03-04,106.05,106.05,105.9,106.03,106.03,4269
2010-03-05,106.41,106.42,106.11,106.16,106.16,2623
2010-03-08,106.5,106.5,105.75,105.94,105.94,7535
2010-03-09,106.01,106.28,105.83,106.06,106.06,5443
2010-03-10,106.11,106.11,105.98,105.98,105.98,8773
2010-03-11,106.04,107.99,105.82,105.84,105.84,2737
2010-03-12,105.84,105.89,105.58,105.78,105.78,5840
2010-03-15,106.96,107.56,106.02,106.12,106.12,784
2010-03-16,106.02,106.15,105.91,106.15,106.15,3402
2010-03-17,106.31,106.36,106.25,106.32,106.32,3992
2010-03-18,106.36,106.36,106.18,106.18,106.18,6259
2010-03-19,106.14,106.29,106.09,106.22,106.22,22732
2010-03-22,106.29,106.5,106.29,106.44,106.44,2575
2010-03-23,106.49,106.65,106.49,106.62,106.62,2056
2010-03-24,106.66,106.66,106.42,106.52,106.52,3801
2010-03-25,106.4,106.4,106.19,106.31,106.31,10573
2010-03-26,106.13,106.18,106.08,106.17,106.17,2143
2010-03-29,106.11,106.24,106.11,106.24,106.24,601
2010-03-30,106.3,106.46,106.3,106.43,106.43,2916
2010-03-31,106.54,106.71,106.52,106.64,106.64,931
2010-04-01,106.49,106.71,106.49,106.6,106.6,1292
2010-04-06,106.6,106.6,106.32,106.39,106.39,3733
2010-04-07,106.46,106.6,106.46,106.55,106.55,1435
2010-04-08,106.58,106.77,106.58,106.74,106.74,987
2010-04-09,106.67,106.69,106.4,106.4,106.4,4838
2010-04-12,106.18,106.4,106.11,106.28,106.28,1851
2010-04-13,106.33,106.5,106.3,106.45,106.45,739
2010-04-14,106.49,106.59,106.39,106.56,106.56,1407
2010-04-15,106.58,106.7,106.45,106.58,106.58,1573
2010-04-16,106.7,106.93,106.7,106.9,106.9,5802
2010-04-19,107.05,107.05,106.89,106.9,106.9,2948
2010-04-20,106.9,106.9,106.7,106.83,106.83,2782
2010-04-21,106.87,106.9,106.86,106.86,106.86,471
2010-04-22,107.0,107.2,106.78,107.03,107.03,32848
2010-04-23,107.08,107.08,106.81,106.93,106.93,3801
2010-04-26,106.98,107.18,106.82,107.07,107.07,2770
2010-04-27,107.11,107.37,107.11,107.37,107.37,1543
2010-04-28,107.95,108.11,107.39,107.58,107.58,105982
2010-04-29,107.67,107.69,107.41,107.44,107.44,12133
2010-04-30,107.5,107.77,107.47,107.77,107.77,2982
2010-05-03,107.57,107.61,107.43,107.51,107.51,17929
2010-05-04,107.61,108.18,107.57,108.14,108.14,7835
2010-05-05,108.56,110.06,108.05,108.74,108.74,8859
2010-05-06,108.67,109.1,108.31,109.05,109.05,58711
2010-05-07,109.58,109.59,108.77,109.05,109.05,43762
2010-05-10,107.8,110.2,107.6,108.32,108.32,10786
2010-05-11,108.53,108.68,108.2,108.26,108.26,20880
2010-05-12,108.16,108.34,108.01,108.29,108.29,16883
2010-05-13,107.92,108.46,107.92,108.38,108.38,37352
2010-05-14,108.67,108.95,108.63,108.94,108.94,10816
2010-05-17,108.9,108.95,108.62,108.84,108.84,42530
2010-05-18,108.75,109.11,108.72,109.06,109.06,2266
2010-05-19,109.5,109.7,109.22,109.55,109.55,10942
2010-05-20,109.53,111.4,109.32,110.05,110.05,6548
2010-05-21,109.81,110.5,109.81,110.27,110.27,3299
2010-05-24,110.1,110.5,110.17,110.34,110.34,7283
2010-05-25,110.5,110.96,110.5,110.77,110.77,16130
2010-05-26,110.66,110.69,110.22,110.4,110.4,190652
2010-05-27,110.16,110.37,109.91,110.09,110.09,11890
2010-05-28,110.17,111.5,109.84,110.09,110.09,3029
2010-05-31,111.96,112.36,110.15,110.36,110.36,5117
2010-06-01,110.76,110.76,109.92,110.32,110.32,16940
2010-06-02,110.35,110.41,110.23,110.24,110.24,3776
2010-06-03,111.7,112.36,109.7,109.9,109.9,64310
2010-06-04,110.0,110.32,109.8,110.23,110.23,7533
2010-06-07,110.39,110.39,109.84,109.88,109.88,54152
2010-06-08,110.02,110.28,109.76,110.09,110.09,11185
2010-06-09,110.08,110.29,109.87,110.18,110.18,3335
2010-06-10,110.25,110.35,109.88,110.03,110.03,7426
2010-06-11,110.3,110.43,109.86,110.09,110.09,43853
2010-06-14,110.3,110.3,109.85,109.94,109.94,27028
2010-06-15,110.3,110.31,109.61,109.71,109.71,10443
2010-06-16,109.72,110.06,109.72,109.79,109.79,5040
