Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,108.36,108.5,108.1,108.36,108.36,2382
2005-01-04,108.18,108.39,108.12,108.18,108.18,2500
2005-01-05,108.27,108.29,108.06,108.27,108.27,18523
2005-01-06,108.29,108.5,108.15,108.29,108.29,1876
2005-01-07,108.49,108.76,108.49,108.49,108.49,4078
2005-01-10,108.67,108.75,108.6,108.67,108.67,10246
2005-01-11,108.73,108.98,108.67,108.73,108.73,70727
2005-01-12,108.74,108.74,108.51,108.74,108.74,45796
2005-01-13,108.7,109.05,108.58,108.7,108.7,79570
2005-01-14,109.04,109.1,108.94,109.04,109.04,6350
2005-01-17,109.04,109.2,109.04,109.04,109.04,6327
2005-01-18,109.18,109.4,109.03,109.18,109.18,8392
2005-01-19,109.37,109.5,109.36,109.37,109.37,4698
2005-01-20,109.39,109.45,109.0,109.39,109.39,33126
2005-01-21,109.07,109.17,109.03,109.07,109.07,4373
2005-01-24,109.24,110.0,109.19,109.24,109.24,10510
2005-01-25,109.28,109.5,109.26,109.28,109.28,3484
2005-01-26,109.36,109.9,109.15,109.36,109.36,5001
2005-01-27,109.25,109.25,109.0,109.25,109.25,98441
2005-01-28,109.36,109.59,109.09,109.36,109.36,3082
2005-01-31,109.24,109.59,109.15,109.24,109.24,11479
2005-02-01,109.39,109.73,109.36,109.39,109.39,17078
2005-02-02,109.57,109.7,109.44,109.57,109.57,2225
2005-02-03,109.46,109.98,109.28,109.46,109.46,7809
2005-02-04,109.39,109.79,109.27,109.39,109.39,16267
2005-02-07,109.79,109.97,109.66,109.79,109.79,8735
2005-02-08,109.76,109.9,109.64,109.76,109.76,8158
2005-02-09,110.17,110.22,109.96,110.17,110.17,8517
2005-02-10,110.1,110.27,110.1,110.1,110.1,19120
2005-02-11,109.92,110.2,109.92,109.92,109.92,22410
2005-02-14,109.84,109.92,109.72,109.84,109.84,40287
2005-02-15,109.84,110.0,109.69,109.84,109.84,15354
2005-02-16,109.73,109.89,109.55,109.73,109.73,12591
2005-02-17,109.59,110.38,109.24,109.59,109.59,19977
2005-02-18,108.87,109.36,108.8,108.87,108.87,133779
2005-02-21,108.68,108.86,108.68,108.68,108.68,53078
2005-02-22,108.84,108.9,108.57,108.84,108.84,12873
2005-02-23,108.75,108.95,108.55,108.75,108.75,11463
2005-02-24,108.85,109.1,108.43,108.85,108.85,24227
2005-02-25,108.65,108.7,108.47,108.65,108.65,21744
2005-02-28,108.58,108.85,108.1,108.58,108.58,17765
2005-03-01,108.7,108.8,107.47,108.7,108.7,5067
2005-03-02,108.57,108.63,108.18,108.57,108.57,217658
2005-03-03,108.23,108.5,108.23,108.23,108.23,12122
2005-03-04,108.78,108.8,108.4,108.78,108.78,224529
2005-03-07,109.0,109.04,108.85,109.0,109.0,9597
2005-03-08,108.97,109.14,108.85,108.97,108.97,2381
2005-03-09,108.92,109.59,108.44,108.92,108.92,3663
2005-03-10,108.56,108.61,108.35,108.56,108.56,12635
2005-03-11,108.5,108.59,108.48,108.5,108.5,2741
2005-03-14,108.4,108.46,108.22,108.4,108.4,3977
2005-03-15,108.73,108.73,108.55,108.73,108.73,1130
2005-03-16,108.73,109.03,108.58,108.73,108.73,41260
2005-03-17,108.89,109.0,108.82,108.89,108.89,1066
2005-03-18,108.88,109.05,108.62,108.88,108.88,2680
2005-03-21,108.69,108.71,108.56,108.69,108.69,6613
2005-03-22,108.66,108.96,108.54,108.66,108.66,72648
2005-03-23,108.71,108.71,108.48,108.71,108.71,7167
2005-03-24,108.91,108.92,108.65,108.91,108.91,20144
2005-03-29,108.91,109.8,108.65,108.91,108.91,1299
2005-03-30,108.87,109.03,108.87,108.87,108.87,3590
2005-03-31,109.43,109.43,109.1,109.43,109.43,1750
2005-04-01,109.43,109.67,109.34,109.43,109.43,70992
2005-04-04,109.51,109.75,109.4,109.51,109.51,2717
2005-04-05,109.6,109.63,109.4,109.6,109.6,28526
2005-04-06,109.62,109.65,109.48,109.62,109.62,80851
2005-04-07,109.64,109.88,109.44,109.64,109.64,40649
2005-04-08,109.6,109.69,109.6,109.6,109.6,489
2005-04-11,109.82,109.87,109.74,109.82,109.82,1841
2005-04-12,109.81,109.9,109.8,109.81,109.81,745
2005-04-13,110.0,110.08,109.91,110.0,110.0,2245
2005-04-14,110.08,110.1,109.98,110.08,110.08,992
2005-04-15,110.13,110.31,110.0,110.13,110.13,6904
2005-04-18,110.4,110.56,110.15,110.4,110.4,4094
2005-04-19,110.44,110.5,110.22,110.44,110.44,2430
2005-04-20,110.5,110.61,110.4,110.5,110.5,12309
2005-04-21,110.48,110.63,110.35,110.48,110.48,1645
2005-04-22,110.5,110.57,110.38,110.5,110.5,2792
2005-04-25,110.55,110.6,110.54,110.55,110.55,186
2005-04-26,110.68,110.8,110.64,110.68,110.68,4660
2005-04-27,110.67,110.94,110.53,110.67,110.67,10880
2005-04-28,110.9,111.0,110.71,110.9,110.9,1588
2005-04-29,110.88,111.1,110.74,110.88,110.88,104840
2005-05-02,111.01,111.07,110.92,111.01,111.01,7583
2005-05-03,111.02,111.16,110.94,111.02,111.02,3915
2005-05-04,111.12,111.19,110.86,111.12,111.12,14104
2005-05-05,110.97,111.07,110.95,110.97,110.97,104111
2005-05-06,110.95,111.19,110.76,110.95,110.95,5068
2005-05-09,110.93,110.98,110.67,110.93,110.93,9467
2005-05-10,111.3,111.32,111.05,111.3,111.3,9734
2005-05-11,111.56,111.59,111.34,111.56,111.56,3011
2005-05-12,111.56,111.56,111.39,111.56,111.56,15232
2005-05-13,111.55,111.81,111.36,111.55,111.55,1947025
2005-05-16,111.57,112.45,111.49,111.57,111.57,98682
2005-05-17,111.51,111.8,111.44,111.51,111.51,56463
2005-05-18,111.6,111.88,111.55,111.6,111.6,150536
2005-05-19,111.7,111.8,111.63,111.7,111.7,6281
2005-05-20,111.54,111.65,111.53,111.54,111.54,8319
2005-05-23,111.54,112.69,111.41,111.54,111.54,22743
2005-05-24,112.01,112.39,111.8,112.01,112.01,14607
2005-05-25,111.98,112.15,111.93,111.98,111.98,4248
2005-05-26,111.94,112.03,111.79,111.94,111.94,66515
2005-05-27,111.81,112.07,111.73,111.81,111.81,2834
2005-05-30,111.78,111.78,111.61,111.78,111.78,37393
2005-05-31,112.12,112.12,111.69,112.12,112.12,30474
2005-06-01,112.1,112.51,112.09,112.1,112.1,69578
2005-06-02,112.51,112.76,112.39,112.51,112.51,874
2005-06-03,112.51,112.85,112.5,112.51,112.51,18177
2005-06-06,112.6,112.66,112.58,112.6,112.6,3981
2005-06-07,113.0,113.07,112.79,113.0,113.0,11286
