Date,Open,High,Low,Close,Adj Close,Volume
2012-05-21,51.35,51.35,51.35,51.35,51.35,40
2012-05-22,51.39,51.39,51.39,51.36,51.36,40
2012-05-23,51.4,51.4,51.4,51.27,51.27,40
2012-05-24,51.38,51.38,51.38,51.38,51.38,80
2012-05-25,51.43,51.43,51.43,51.33,51.33,20
2012-06-15,51.19,51.19,51.19,51.08,51.08,20
2012-07-30,51.47,51.47,51.47,51.48,51.48,120
2012-08-06,51.2,51.2,51.2,51.1,51.1,100
2012-08-31,51.25,51.25,51.25,51.3,51.3,5000
2012-09-19,51.58,51.58,51.58,51.57,51.57,20
2012-09-20,51.51,51.51,51.51,51.59,51.59,20
2012-12-06,51.88,51.88,51.88,51.82,51.82,4
2012-12-11,51.86,51.86,51.86,51.87,51.87,40000
2012-12-20,51.96,51.96,51.96,51.99,51.99,91321
2013-01-04,52.04,52.04,52.04,51.97,51.97,13
2013-01-08,52.03,52.03,52.03,52.02,52.02,20000
2013-01-09,52.06,52.06,52.06,52.04,52.04,100
2013-01-10,52.16,52.16,52.16,52.13,52.13,7
2013-01-24,52.07,52.07,52.07,52.04,52.04,100
2013-02-01,51.5,51.5,51.5,51.5,51.5,20
2013-02-06,51.54,51.54,51.54,51.49,51.49,291
2013-02-08,51.5,51.5,51.5,51.51,51.51,4
2013-02-28,51.62,51.62,51.62,51.6,51.6,800
2013-03-14,51.7,51.7,51.7,51.66,51.66,90
2013-03-18,51.72,51.72,51.72,51.69,51.69,110
2013-03-20,51.71,51.71,51.71,51.68,51.68,194
2013-04-15,51.8,51.8,51.8,51.83,51.83,200
2013-06-07,51.86,51.86,51.86,51.83,51.83,100
2013-06-19,51.86,51.86,51.86,51.83,51.83,30
2013-07-01,52.35,52.35,51.72,51.79,51.79,15966
2013-07-04,51.83,51.83,51.83,51.89,51.89,78
2013-07-23,52.0,52.0,51.96,51.92,51.92,45300
2013-07-24,51.95,51.95,51.95,51.91,51.91,10000
2013-08-06,51.78,51.78,51.78,51.75,51.75,4565
2013-08-13,51.79,51.81,51.77,51.81,51.81,10000
2013-09-05,51.69,51.69,51.69,51.64,51.64,100
2013-09-09,51.66,51.66,51.66,51.71,51.71,100
2013-10-16,51.92,51.92,51.89,51.92,51.92,246789
2013-10-24,51.99,51.99,51.99,52.0,52.0,25000
2013-11-01,52.08,52.08,52.08,52.11,52.11,19205
2013-11-07,52.08,52.08,52.08,52.14,52.14,10000
2013-11-20,52.18,52.19,52.17,52.21,52.21,13133
2013-11-21,52.2,52.2,52.2,52.19,52.19,129
2013-11-27,52.25,52.25,52.25,52.23,52.23,5139
2013-11-29,52.23,52.23,52.23,52.22,52.22,3391
2013-12-02,52.22,52.22,52.22,52.19,52.19,278
2013-12-05,52.18,52.18,52.18,52.1,52.1,1
2013-12-09,52.15,52.15,52.15,52.14,52.14,100
