Date,Open,High,Low,Close,Adj Close,Volume
2012-05-22,52.75,52.75,52.75,52.69,52.69,925
2012-05-31,52.85,52.85,52.85,53.01,53.01,925
2012-06-05,53.45,53.45,53.45,53.39,53.39,80
2012-06-13,52.24,52.24,52.24,52.14,52.14,115
2012-06-18,52.2,52.2,52.2,52.31,52.31,195
2012-08-02,52.7,52.7,52.7,52.6,52.6,130
2012-08-21,52.99,52.99,52.99,52.85,52.85,15
2012-08-23,53.18,53.18,53.18,53.11,53.11,8
2012-09-17,53.4,53.4,53.4,53.34,53.34,10
2012-09-27,53.52,53.52,53.52,53.61,53.61,10
2012-10-08,53.91,53.91,53.91,53.87,53.87,10
2012-10-19,54.11,54.11,54.11,54.03,54.03,23
2012-11-02,54.16,54.16,54.16,54.1,54.1,10
2012-12-13,55.06,55.06,55.0,54.99,54.99,1600
2012-12-14,55.1,55.1,55.1,54.99,54.99,100
2012-12-17,55.06,55.06,55.06,55.05,55.05,90
2012-12-21,55.27,55.27,55.25,55.17,55.17,2500
2013-01-03,55.21,55.21,55.21,55.34,55.34,270
2013-01-10,55.25,55.25,55.25,55.23,55.23,480
2013-01-28,55.08,55.08,55.08,54.91,54.91,35
2013-01-29,55.01,55.01,55.01,55.0,55.0,20
2013-03-11,54.58,54.58,54.58,54.51,54.51,100
2013-04-05,55.42,55.42,55.42,55.02,55.02,1000
2013-04-15,55.37,55.37,55.37,55.35,55.35,515
2013-04-16,55.29,55.29,55.29,55.33,55.33,619
2013-04-18,55.5,55.5,55.5,55.47,55.47,93
2013-04-19,55.46,55.46,55.46,55.47,55.47,139
2013-04-26,55.8,55.8,55.8,55.83,55.83,400
2013-04-30,56.18,56.18,56.18,56.07,56.07,1490
2013-05-03,56.45,56.45,56.45,56.34,56.34,150
2013-05-08,56.16,56.16,56.16,56.2,56.2,1000
2013-05-13,55.9,55.91,55.9,55.83,55.83,330
2013-05-16,55.85,55.85,55.84,55.9,55.9,920
2013-05-20,56.05,56.05,56.05,55.97,55.97,445
2013-05-21,55.9,55.9,55.9,55.86,55.86,895
2013-05-24,55.65,55.65,55.65,55.6,55.6,100
2013-05-30,55.48,55.48,55.48,55.46,55.46,400
2013-06-10,55.2,55.2,55.2,55.02,55.02,500
2013-06-12,54.91,54.91,54.91,54.86,54.86,100
2013-06-13,54.94,54.94,54.94,54.92,54.92,207
2013-06-17,55.13,55.13,55.13,55.12,55.12,18
2013-06-19,55.13,55.13,55.13,55.1,55.1,50
2013-06-20,54.53,54.53,54.53,54.53,54.53,20
2013-06-21,54.64,54.64,54.64,54.38,54.38,100
2013-06-24,54.12,54.12,54.12,53.96,53.96,37
2013-06-25,54.09,54.09,54.09,53.95,53.95,37
2013-06-26,54.15,54.15,54.15,54.26,54.26,37
2013-06-27,54.5,54.5,54.5,54.46,54.46,36
2013-07-12,55.01,55.01,55.01,54.94,54.94,300
2013-07-18,54.98,54.98,54.98,55.07,55.07,12
2013-07-29,54.88,54.94,54.88,54.94,54.94,11
2013-08-02,54.4,54.4,54.4,54.5,54.5,8
2013-08-23,53.95,53.95,53.95,53.99,53.99,28
2013-08-26,53.98,53.98,53.98,54.03,54.03,18
2013-09-06,53.85,53.85,53.85,53.88,53.88,9
2013-09-20,54.14,54.14,54.14,54.2,54.2,17
2013-09-24,54.33,54.49,54.33,54.45,54.45,1140
2013-10-07,54.56,54.56,54.56,54.62,54.62,1000
2013-10-16,54.49,54.49,54.49,54.49,54.49,9500
2013-10-21,54.72,54.75,54.72,54.7,54.7,15400
2013-10-22,54.78,54.79,54.78,54.9,54.9,182
2013-11-14,55.19,55.19,55.19,55.29,55.29,3300
2013-11-29,55.34,55.34,55.33,55.37,55.37,182
2013-12-03,55.35,55.35,55.35,55.35,55.35,100
2013-12-11,55.24,55.24,55.24,55.35,55.35,55
2013-12-13,55.19,55.19,55.19,55.21,55.21,155
2014-01-13,55.52,55.52,55.52,55.5,55.5,1100
2014-01-22,55.79,55.79,55.79,55.74,55.74,1600
2014-02-06,55.63,55.63,55.63,55.58,55.58,3900
2014-02-18,55.77,55.77,55.77,55.81,55.81,100
2014-03-11,56.15,56.15,56.15,56.12,56.12,1400
2014-03-13,56.24,56.24,56.24,56.29,56.29,4850
2014-03-14,56.38,56.38,56.38,56.29,56.29,64
2014-03-26,56.35,56.4,56.35,56.45,56.45,800
2014-04-01,56.52,56.52,56.52,56.49,56.49,62
2014-04-09,56.65,56.65,56.65,56.61,56.61,6270
