Date,Open,High,Low,Close,Adj Close,Volume
2007-03-20,161.27,161.65,161.27,161.27,161.27,0
2007-03-21,161.48,161.48,161.25,161.25,161.25,32
2007-03-22,160.48,160.48,160.48,160.48,160.48,10000
2007-03-23,160.5,160.5,159.84,160.05,160.05,5
2007-03-26,159.26,159.26,159.26,159.26,159.26,1
2007-03-27,158.86,158.86,158.86,158.86,158.86,1
2007-03-28,158.5,158.89,158.5,158.5,158.5,0
2007-03-29,158.03,158.03,158.03,158.03,158.03,1
2007-03-30,157.87,157.9,157.87,157.9,157.9,20000
2007-04-02,157.94,158.31,157.94,157.94,157.94,0
2007-04-03,157.26,157.62,157.26,157.26,157.26,0
2007-04-04,157.77,157.77,157.77,157.77,157.77,20
2007-04-05,157.81,157.81,157.81,157.81,157.81,30
2007-04-10,157.05,157.05,156.95,156.95,156.95,2
2007-04-11,156.59,156.59,156.59,156.59,156.59,15
2007-04-12,156.07,156.07,156.07,156.07,156.07,1
2007-04-13,155.31,155.31,155.31,155.31,155.31,15
2007-04-16,154.91,155.25,154.91,154.91,154.91,0
2007-04-17,155.56,155.71,155.56,155.56,155.56,0
2007-04-18,156.45,156.69,156.45,156.45,156.45,0
2007-04-19,156.87,156.87,156.87,156.87,156.87,2
2007-04-20,155.53,155.87,155.53,155.53,155.53,0
2007-04-23,156.22,156.56,156.22,156.22,156.22,0
2007-04-24,156.87,156.87,156.85,156.85,156.85,65
2007-04-25,153.47,153.8,153.47,153.47,153.47,0
2007-04-26,153.04,153.37,153.04,153.04,153.04,0
2007-04-27,153.14,153.46,153.14,153.14,153.14,0
2007-04-30,154.5,154.84,154.5,154.5,154.5,0
2007-05-02,153.79,153.79,153.79,153.79,153.79,30
2007-05-03,153.45,153.45,153.33,153.33,153.33,107
2007-05-04,153.28,153.28,153.25,153.25,153.25,264
2007-05-07,153.4,153.7,153.4,153.4,153.4,0
2007-05-08,153.78,153.78,153.78,153.78,153.78,50
2007-05-09,153.42,153.84,153.42,153.84,153.84,21
2007-05-10,153.32,153.67,153.32,153.52,153.52,29
2007-05-11,154.42,154.5,151.35,154.5,154.5,51
2007-05-14,152.81,152.81,152.81,152.81,152.81,1
2007-05-15,151.84,152.1,151.84,151.84,151.84,0
2007-05-16,152.22,152.29,151.79,151.79,151.79,127
2007-05-17,152.27,152.27,152.27,152.27,152.27,12
2007-05-18,151.94,152.2,151.94,151.94,151.94,0
2007-05-21,151.87,151.87,151.87,151.87,151.87,11
2007-05-22,151.47,151.73,151.47,151.47,151.47,0
2007-05-23,151.23,151.23,151.22,151.22,151.22,2
2007-05-24,151.09,151.32,151.09,151.09,151.09,0
2007-05-25,151.1,151.1,151.1,151.1,151.1,10
2007-05-28,150.25,151.17,150.25,150.25,150.25,0
2007-05-29,151.02,151.02,150.85,150.85,150.85,12001
2007-05-30,151.16,151.16,151.04,151.04,151.04,3030
2007-05-31,150.55,150.8,150.55,150.55,150.55,0
2007-06-01,150.8,150.8,150.8,150.8,150.8,10
2007-06-04,150.45,150.45,150.45,150.45,150.45,10
2007-06-05,149.35,149.56,149.35,149.35,149.35,0
2007-06-06,149.88,150.14,149.88,149.88,149.88,0
2007-06-07,148.86,148.86,148.69,148.69,148.69,30003
2007-06-08,148.87,148.87,146.84,147.46,147.46,60102
2007-06-11,148.19,148.19,148.0,148.0,148.0,82
2007-06-12,147.34,147.34,146.55,146.55,146.55,47
2007-06-13,145.52,145.52,145.52,145.52,145.52,20000
2007-06-14,146.0,146.0,145.92,145.92,145.92,21
2007-06-15,145.48,145.48,145.3,145.43,145.43,64
2007-06-18,145.9,145.9,145.72,145.72,145.72,14
2007-06-19,145.65,145.8,145.5,145.8,145.8,145
2007-06-20,145.99,146.18,145.99,145.99,145.99,0
2007-06-21,146.0,146.22,146.0,146.0,146.0,0
2007-06-22,146.29,146.29,146.2,146.2,146.2,450
2007-06-25,146.45,146.88,146.45,146.88,146.88,51
2007-06-26,147.0,147.02,147.0,147.02,147.02,175
2007-06-27,147.79,147.79,147.79,147.79,147.79,2
2007-06-28,147.5,147.6,147.5,147.6,147.6,48
2007-06-29,147.47,147.69,147.47,147.47,147.47,0
2007-07-02,148.61,148.75,148.61,148.75,148.75,101
2007-07-03,147.74,147.97,147.74,147.74,147.74,0
2007-07-04,147.14,147.36,147.14,147.14,147.14,0
2007-07-05,146.93,146.95,146.56,146.56,146.56,16
2007-07-06,146.59,146.59,146.59,146.59,146.59,1
2007-07-09,146.03,146.03,146.03,146.03,146.03,1
2007-07-10,147.57,147.57,147.55,147.55,147.55,3
2007-07-11,147.87,148.2,147.87,148.2,148.2,18
2007-07-12,146.89,147.12,146.89,146.89,146.89,0
2007-07-13,146.71,146.93,146.71,146.71,146.71,0
2007-07-16,147.62,147.85,147.62,147.62,147.62,0
2007-07-17,148.26,148.26,148.26,148.26,148.26,1
