Date,Open,High,Low,Close,Adj Close,Volume
2007-03-20,146.05,146.12,146.05,146.05,146.05,0
2007-03-21,146.11,146.11,145.97,145.97,145.97,87
2007-03-22,146.01,146.01,146.0,146.0,146.0,120
2007-03-23,145.2,145.34,145.2,145.2,145.2,0
2007-03-26,145.17,145.31,145.17,145.17,145.17,0
2007-03-27,144.98,145.12,144.98,144.98,144.98,0
2007-03-28,145.03,145.17,145.03,145.03,145.03,0
2007-03-29,144.73,144.87,144.73,144.73,144.73,0
2007-03-30,144.63,144.76,144.63,144.63,144.63,0
2007-04-02,144.85,144.85,144.85,144.85,144.85,1
2007-04-03,144.62,144.62,144.62,144.62,144.62,25
2007-04-04,144.68,144.82,144.68,144.68,144.68,0
2007-04-05,144.64,144.64,144.64,144.64,144.64,87
2007-04-10,146.0,146.0,144.25,144.26,144.26,1800
2007-04-11,144.26,144.26,144.26,144.26,144.26,0
2007-04-12,143.71,143.83,143.71,143.71,143.71,0
2007-04-13,143.72,143.72,143.72,143.72,143.72,150
2007-04-16,143.64,143.65,143.64,143.65,143.65,1465
2007-04-17,143.42,143.42,143.32,143.32,143.32,85
2007-04-18,144.0,144.08,144.0,144.08,144.08,76
2007-04-19,144.28,144.3,143.87,143.87,143.87,143
2007-04-20,143.85,143.85,143.85,143.85,143.85,70
2007-04-23,143.98,143.98,143.96,143.96,143.96,133
2007-04-24,144.18,144.18,143.96,144.18,144.18,415
2007-04-25,141.88,142.0,141.88,141.88,141.88,0
2007-04-26,141.84,141.84,141.71,141.71,141.71,40
2007-04-27,141.71,141.71,141.64,141.64,141.64,137
2007-04-30,141.89,141.92,141.88,141.92,141.92,474
2007-05-02,141.77,141.89,141.77,141.77,141.77,0
2007-05-03,141.8,141.87,141.8,141.87,141.87,78
2007-05-04,141.98,142.07,141.98,141.98,141.98,0
2007-05-07,141.82,141.86,141.82,141.86,141.86,80
2007-05-08,141.99,142.08,141.99,141.99,141.99,0
2007-05-09,141.93,142.02,141.93,141.93,141.93,0
2007-05-10,141.88,141.98,141.88,141.88,141.88,0
2007-05-11,141.86,142.17,141.86,141.86,141.86,0
2007-05-14,141.86,141.86,141.58,141.58,141.58,110
2007-05-15,141.2,141.2,141.09,141.09,141.09,116
2007-05-16,141.28,141.28,141.09,141.14,141.14,278
2007-05-17,141.18,141.28,141.17,141.28,141.28,242
2007-05-18,141.07,141.16,141.07,141.07,141.07,0
2007-05-21,140.95,141.05,140.95,140.95,140.95,0
2007-05-22,140.86,140.95,140.86,140.86,140.86,0
2007-05-23,140.83,140.83,140.83,140.83,140.83,140
2007-05-24,140.71,140.8,140.71,140.71,140.71,0
2007-05-25,140.81,140.81,140.81,140.81,140.81,21
2007-05-28,140.28,140.61,140.28,140.28,140.28,0
2007-05-29,140.61,140.61,140.49,140.49,140.49,109
2007-05-30,140.46,140.53,140.46,140.46,140.46,0
2007-05-31,140.6,140.6,140.36,140.36,140.36,144
2007-06-01,140.3,140.3,140.3,140.3,140.3,10
2007-06-04,140.03,140.03,140.03,140.03,140.03,20
2007-06-05,139.63,139.72,139.63,139.63,139.63,0
2007-06-06,140.02,140.08,140.02,140.02,140.02,0
2007-06-07,139.58,139.58,139.49,139.49,139.49,33050
2007-06-08,139.0,139.0,138.86,138.88,138.88,34976
2007-06-11,139.27,139.32,139.27,139.32,139.32,67
2007-06-12,138.75,138.75,138.7,138.7,138.7,150
2007-06-13,138.36,138.36,138.36,138.36,138.36,11000
2007-06-14,138.49,138.49,138.49,138.49,138.49,50
2007-06-15,138.26,138.26,138.26,138.26,138.26,430
2007-06-18,138.53,138.59,138.53,138.59,138.59,960
