Date,Open,High,Low,Close,Adj Close,Volume
2006-09-25,130.68,130.76,130.68,130.68,130.68,0
2006-09-26,130.64,130.71,130.64,130.64,130.64,0
2006-09-27,130.69,130.72,130.69,130.69,130.69,213
2006-09-28,130.58,130.64,130.58,130.58,130.58,0
2006-09-29,130.6,130.67,130.6,130.6,130.6,114
2006-10-02,130.56,130.56,130.56,130.56,130.56,68
2006-10-03,130.56,130.65,130.56,130.56,130.56,626
2006-10-04,130.64,130.64,130.63,130.64,130.64,370
2006-10-05,130.64,130.66,130.64,130.64,130.64,1380
2006-10-06,130.66,130.74,130.64,130.66,130.66,1284
2006-10-09,130.61,130.63,130.56,130.61,130.61,20484
2006-10-10,130.57,130.61,130.57,130.57,130.57,300
2006-10-11,130.55,130.56,130.55,130.55,130.55,0
2006-10-12,130.55,130.55,130.54,130.55,130.55,40083
2006-10-13,130.56,130.61,130.56,130.56,130.56,539
2006-10-16,130.58,130.58,130.58,130.58,130.58,55
2006-10-17,130.65,130.65,130.65,130.65,130.65,40
2006-10-18,130.65,130.65,130.65,130.65,130.65,0
2006-10-19,130.65,130.65,130.63,130.65,130.65,1500
2006-10-20,130.65,130.65,130.65,130.65,130.65,0
2006-10-23,130.59,130.59,130.59,130.59,130.59,150
2006-10-24,130.57,130.57,130.51,130.57,130.57,101
2006-10-25,130.57,130.57,130.51,130.57,130.57,327
2006-10-26,130.64,130.64,130.63,130.64,130.64,20060
2006-10-27,130.69,130.69,130.69,130.69,130.69,10
2006-10-30,130.69,130.69,130.63,130.63,130.63,20010
2006-10-31,130.69,130.76,130.69,130.69,130.69,0
2006-11-01,130.82,130.87,130.82,130.82,130.82,0
2006-11-02,130.84,130.85,130.84,130.85,130.85,90
2006-11-03,130.8,130.8,130.8,130.8,130.8,20
2006-11-06,130.73,130.73,130.7,130.7,130.7,73
2006-11-07,130.73,130.77,130.68,130.77,130.77,113
2006-11-08,130.81,130.81,130.77,130.77,130.77,68
2006-11-09,130.77,130.77,130.77,130.77,130.77,210
2006-11-10,130.92,130.92,130.87,130.87,130.87,110
2006-11-13,130.92,130.92,130.79,130.79,130.79,20051
2006-11-14,130.77,130.81,130.77,130.81,130.81,100
2006-11-15,130.79,130.79,130.75,130.75,130.75,35
2006-11-16,130.8,130.8,130.8,130.8,130.8,112
2006-11-17,130.78,130.84,130.78,130.78,130.78,0
