Date,Open,High,Low,Close,Adj Close,Volume
2007-03-20,139.01,139.12,139.01,139.01,139.01,0
2007-03-21,139.09,139.09,139.09,139.09,139.09,1
2007-03-22,139.13,139.13,139.11,139.11,139.11,160
2007-03-23,138.83,138.9,138.83,138.83,138.83,0
2007-03-26,139.0,139.0,138.96,138.96,138.96,10
2007-03-27,138.74,138.85,138.74,138.74,138.74,0
2007-03-28,138.8,138.91,138.8,138.8,138.8,0
2007-03-29,138.66,138.76,138.66,138.66,138.66,0
2007-03-30,138.78,138.78,138.78,138.78,138.78,35
2007-04-02,138.7,138.7,138.7,138.7,138.7,2
2007-04-03,138.66,138.66,138.66,138.66,138.66,919
2007-04-04,138.67,138.78,138.67,138.67,138.67,0
2007-04-05,138.72,138.72,138.72,138.72,138.72,18
2007-04-10,138.56,138.56,138.56,138.56,138.56,35
2007-04-11,138.56,138.56,138.56,138.56,138.56,1
2007-04-12,138.31,138.41,138.31,138.31,138.31,0
2007-04-13,138.09,138.19,138.09,138.09,138.09,0
2007-04-16,138.33,138.33,138.33,138.33,138.33,1475
2007-04-17,138.37,138.37,138.37,138.37,138.37,110
2007-04-18,138.46,138.55,138.46,138.46,138.46,0
2007-04-19,138.31,138.41,138.31,138.31,138.31,0
2007-04-20,138.3,138.4,138.3,138.3,138.3,0
2007-04-23,138.5,138.5,138.5,138.5,138.5,78
2007-04-24,138.6,138.6,138.58,138.59,138.59,510
2007-04-25,135.54,135.54,135.52,135.52,135.52,15
2007-04-26,135.46,135.54,135.46,135.54,135.54,2312
2007-04-27,135.33,135.41,135.33,135.33,135.33,0
2007-04-30,135.39,135.39,135.39,135.39,135.39,5
2007-05-02,135.53,135.53,135.46,135.46,135.46,55
2007-05-03,135.56,135.56,135.43,135.43,135.43,1057
2007-05-04,135.49,135.57,135.49,135.49,135.49,0
2007-05-07,135.42,135.42,135.36,135.36,135.36,207
2007-05-08,135.49,135.57,135.49,135.49,135.49,0
2007-05-09,135.57,135.57,135.57,135.57,135.57,15
2007-05-10,135.48,135.56,135.48,135.48,135.48,0
2007-05-11,135.7,135.7,135.7,135.7,135.7,100
2007-05-14,135.41,135.41,135.41,135.41,135.41,15
2007-05-15,135.26,135.29,135.26,135.29,135.29,203
2007-05-16,135.2,135.2,135.2,135.2,135.2,1
2007-05-17,135.08,135.16,135.08,135.08,135.08,0
2007-05-18,135.26,135.26,135.26,135.26,135.26,8
2007-05-21,135.07,135.15,135.07,135.07,135.07,0
2007-05-22,135.01,135.09,135.01,135.01,135.01,0
2007-05-23,135.04,135.04,135.04,135.04,135.04,800
2007-05-24,135.0,135.08,135.0,135.0,135.0,0
2007-05-25,134.82,134.9,134.82,134.82,134.82,0
2007-05-28,134.7,134.97,134.7,134.7,134.7,0
2007-05-29,134.9,134.91,134.9,134.91,134.91,872
2007-05-30,134.96,135.0,134.96,134.99,134.99,61870
2007-05-31,134.84,134.84,134.84,134.84,134.84,52
2007-06-01,134.84,134.87,134.84,134.84,134.84,23
2007-06-04,134.66,134.66,134.66,134.66,134.66,32
2007-06-05,134.53,134.6,134.53,134.53,134.53,0
2007-06-06,134.64,134.8,134.64,134.8,134.8,16
2007-06-07,134.49,134.57,134.49,134.49,134.49,0
2007-06-08,134.37,134.55,134.37,134.37,134.37,0
2007-06-11,134.63,134.63,134.55,134.55,134.55,322
2007-06-12,134.51,135.65,134.36,134.36,134.36,58948
2007-06-13,134.23,134.24,134.23,134.24,134.24,255
2007-06-14,134.22,134.3,134.22,134.22,134.22,0
2007-06-15,134.26,134.3,134.21,134.21,134.21,638
2007-06-18,134.33,134.34,134.31,134.34,134.34,1597
2007-06-19,134.43,134.52,134.43,134.43,134.43,0
2007-06-20,134.36,134.36,134.36,134.36,134.36,109
2007-06-21,134.32,134.41,134.32,134.32,134.32,0
2007-06-22,134.36,134.46,134.36,134.36,134.36,0
2007-06-25,134.58,134.58,134.58,134.58,134.58,3
2007-06-26,134.59,134.68,134.59,134.59,134.59,0
2007-06-27,134.79,134.88,134.79,134.79,134.79,0
2007-06-28,134.66,134.66,134.66,134.66,134.66,19
2007-06-29,134.59,134.68,134.59,134.59,134.59,0
2007-07-02,134.8,134.8,134.8,134.8,134.8,1
2007-07-03,134.7,134.79,134.7,134.7,134.7,0
2007-07-04,134.58,134.67,134.58,134.58,134.58,0
2007-07-05,134.62,134.62,134.62,134.62,134.62,4
2007-07-06,135.36,135.36,135.36,135.36,135.36,0
2007-07-09,134.35,134.44,134.35,134.35,134.35,0
2007-07-10,134.52,134.55,134.52,134.55,134.55,150
2007-07-11,134.75,134.79,134.75,134.75,134.75,0
2007-07-12,134.75,134.75,134.63,134.63,134.63,6598
2007-07-13,134.48,134.57,134.48,134.48,134.48,0
2007-07-16,134.67,134.76,134.67,134.67,134.67,0
2007-07-17,134.58,134.67,134.58,134.58,134.58,0
2007-07-18,134.79,134.88,134.79,134.79,134.79,0
2007-07-19,134.82,134.91,134.82,134.82,134.82,0
2007-07-20,135.28,135.37,135.28,135.28,135.28,0
2007-07-23,135.28,135.35,135.28,135.28,135.28,0
2007-07-24,135.46,135.46,135.46,135.46,135.46,229
2007-07-25,135.76,135.76,135.57,135.57,135.57,30010
2007-07-26,135.54,135.54,135.54,135.54,135.54,165
2007-07-27,135.95,135.95,135.95,135.95,135.95,450
