Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,128.89,128.89,128.89,128.89,128.89,0
2010-01-19,129.07,129.07,129.07,129.07,129.07,500
2010-01-20,129.07,129.07,129.07,129.07,129.07,500
2010-01-21,129.07,129.07,129.07,129.07,129.07,500
2010-01-22,129.07,129.07,129.07,129.07,129.07,500
2010-01-25,129.07,129.07,129.07,129.07,129.07,500
2010-01-26,129.07,129.07,129.07,129.07,129.07,500
2010-01-27,129.26,129.41,129.18,129.4,129.4,3175
2010-01-28,128.76,128.76,128.76,128.76,128.76,67
2010-01-29,129.02,129.02,129.02,129.02,129.02,615
2010-02-01,129.4,129.4,129.4,129.4,129.4,201
2010-02-02,129.58,129.58,129.58,129.58,129.58,70
2010-02-03,129.39,129.39,129.39,129.39,129.39,39
2010-02-04,129.39,129.39,129.39,129.39,129.39,39
2010-02-05,129.39,129.39,129.39,129.39,129.39,39
2010-02-08,129.39,129.39,129.39,129.39,129.39,39
2010-02-09,129.39,129.39,129.39,129.39,129.39,39
2010-02-10,129.39,129.39,129.39,129.39,129.39,39
2010-02-11,129.39,129.39,129.39,129.39,129.39,39
2010-02-12,129.39,129.39,129.39,129.39,129.39,39
2010-02-15,129.39,129.39,129.39,129.39,129.39,39
2010-02-16,129.6,129.6,129.6,129.6,129.6,127
2010-02-17,129.84,129.84,129.84,129.84,129.84,175
2010-02-18,129.84,129.84,129.84,129.84,129.84,175
2010-02-19,129.84,129.84,129.84,129.84,129.84,175
2010-02-22,129.43,129.43,129.43,129.43,129.43,0
2010-02-23,130.13,130.13,130.13,130.13,130.13,960
2010-02-24,130.66,130.66,130.66,130.66,130.66,0
2010-02-25,130.71,130.71,130.59,130.59,130.59,276
2010-02-26,130.51,130.51,130.51,130.51,130.51,69
2010-03-01,130.77,130.81,130.77,130.77,130.77,305
2010-03-02,130.73,130.73,130.73,130.73,130.73,0
2010-03-03,130.81,130.81,130.81,130.81,130.81,23
2010-03-04,130.6,130.6,130.6,130.6,130.6,39
2010-03-05,130.83,130.83,130.83,130.83,130.83,75
2010-03-08,130.77,130.77,130.77,130.77,130.77,100
2010-03-09,131.1,131.1,131.1,131.1,131.1,39
2010-03-10,131.11,131.11,131.11,131.11,131.11,39
2010-03-11,131.1,131.1,131.1,131.1,131.1,39
2010-03-12,130.83,130.83,130.83,130.83,130.83,0
2010-03-15,131.05,131.05,131.0,131.04,131.04,79
2010-03-16,130.94,130.94,130.94,130.94,130.94,31
2010-03-17,131.37,131.37,131.37,131.37,131.37,114
2010-03-18,130.99,131.21,130.99,130.99,130.99,0
2010-03-19,131.02,131.24,131.02,131.02,131.02,0
2010-03-22,131.47,131.47,131.47,131.47,131.47,154
2010-03-23,131.76,131.76,131.76,131.76,131.76,23
2010-03-24,131.59,131.77,131.59,131.59,131.59,0
2010-03-25,131.15,131.32,131.15,131.15,131.15,0
2010-03-26,131.3,131.39,131.3,131.34,131.34,128
2010-03-29,131.51,131.51,131.51,131.51,131.51,0
2010-03-30,131.53,131.53,131.53,131.53,131.53,18
2010-03-31,131.93,131.93,131.93,131.93,131.93,38
2010-04-01,132.24,132.24,132.24,132.24,132.24,0
2010-04-06,131.57,131.57,131.57,131.57,131.57,0
2010-04-07,131.78,131.78,131.78,131.78,131.78,0
2010-04-08,132.06,132.06,132.06,132.06,132.06,0
2010-04-09,131.9,131.9,131.9,131.9,131.9,22
2010-04-12,131.69,131.69,131.69,131.69,131.69,0
2010-04-13,132.02,132.02,132.02,132.02,132.02,0
2010-04-14,132.02,132.02,132.02,132.02,132.02,0
2010-04-15,131.9,131.9,131.85,131.85,131.85,185
2010-04-16,132.36,132.36,132.36,132.36,132.36,0
2010-04-19,132.35,132.35,132.35,132.35,132.35,0
2010-04-20,132.2,132.29,132.2,132.29,132.29,82
2010-04-21,132.12,132.12,132.12,132.12,132.12,0
2010-04-22,131.92,131.92,131.92,131.92,131.92,0
2010-04-23,131.73,131.73,131.73,131.73,131.73,0
2010-04-26,131.7,131.7,131.7,131.7,131.7,0
2010-04-27,131.9,131.9,131.72,131.85,131.85,31666
2010-04-28,131.61,131.61,131.61,131.61,131.61,709
