Date,Open,High,Low,Close,Adj Close,Volume
2009-09-28,104.8,104.8,104.8,104.8,104.8,0
2009-09-29,104.93,104.93,104.93,104.93,104.93,0
2009-09-30,105.14,105.22,105.0,105.13,105.13,341
2009-10-01,105.07,105.13,104.92,105.13,105.13,389
2009-10-02,105.21,105.25,105.05,105.25,105.25,443
2009-10-05,105.33,105.48,105.3,105.48,105.48,391
2009-10-06,105.3,105.3,105.28,105.28,105.28,75
2009-10-07,105.34,105.44,105.34,105.34,105.34,196
2009-10-08,105.4,105.61,105.4,105.58,105.58,562
2009-10-09,105.3,105.45,105.05,105.05,105.05,923
2009-10-12,105.05,105.29,105.01,105.29,105.29,194
2009-10-13,105.2,105.35,105.2,105.35,105.35,485
2009-10-14,105.13,105.13,105.05,105.09,105.09,121
2009-10-15,105.01,105.01,104.44,104.97,104.97,305
2009-10-16,104.76,104.76,104.68,104.68,104.68,111
2009-10-19,104.78,104.78,104.78,104.78,104.78,41
2009-10-20,104.98,104.98,104.98,104.98,104.98,0
2009-10-21,104.92,104.92,104.9,104.92,104.92,961
2009-10-22,105.0,105.0,105.0,105.0,105.0,15
2009-10-23,104.84,104.98,104.84,104.98,104.98,201
2009-10-26,104.92,104.92,104.86,104.86,104.86,210
2009-10-27,104.99,104.99,104.99,104.99,104.99,171
2009-10-28,105.32,105.34,105.32,105.34,105.34,112
2009-10-29,104.46,105.07,104.46,104.46,104.46,0
2009-10-30,104.79,104.95,104.79,104.95,104.95,38
2009-11-02,105.39,105.39,105.15,105.15,105.15,119
2009-11-03,107.0,107.0,105.5,105.5,105.5,2319
2009-11-04,105.14,105.14,105.14,105.14,105.14,0
2009-11-05,104.85,104.85,104.85,104.85,104.85,0
2009-11-06,105.11,105.11,105.11,105.11,105.11,190
2009-11-09,105.32,105.32,105.32,105.32,105.32,0
2009-11-10,105.55,105.55,105.55,105.55,105.55,297
2009-11-13,105.67,105.68,105.63,105.63,105.63,2460
2009-11-16,105.52,105.52,105.52,105.52,105.52,100
2009-11-17,105.43,105.43,105.43,105.43,105.43,30
2009-11-18,105.64,105.88,105.64,105.76,105.76,200
2009-11-19,105.85,105.85,105.85,105.85,105.85,0
2009-11-20,105.93,105.93,105.37,105.67,105.67,51
2009-11-23,105.75,105.81,105.73,105.73,105.73,750
2009-11-24,105.75,105.75,105.75,105.75,105.75,185
2009-11-25,105.98,105.99,105.98,105.99,105.99,200
2009-11-26,106.06,106.06,106.06,106.06,106.06,0
2009-11-27,105.91,105.91,105.91,105.91,105.91,0
2009-11-30,106.22,106.22,106.22,106.22,106.22,50
2009-12-01,106.23,106.23,106.23,106.23,106.23,301
2009-12-02,106.19,106.19,106.19,106.19,106.19,47
2009-12-03,106.05,106.05,105.95,105.95,105.95,380
2009-12-04,106.19,106.19,105.7,105.93,105.93,800
2009-12-07,106.03,106.03,106.03,106.03,106.03,0
2009-12-08,106.1,106.41,106.1,106.2,106.2,550
2009-12-09,106.2,106.2,106.2,106.2,106.2,0
2009-12-10,105.92,105.92,105.92,105.92,105.92,0
2009-12-11,106.0,106.09,105.96,105.99,105.99,300
2009-12-14,106.22,106.22,106.2,106.21,106.21,1471
2009-12-15,106.07,106.07,106.0,106.0,106.0,200
2009-12-16,106.06,106.06,106.06,106.06,106.06,10
2009-12-17,106.17,106.17,106.17,106.17,106.17,35
2009-12-18,106.39,106.39,106.39,106.39,106.39,0
2009-12-21,106.5,106.53,106.35,106.35,106.35,250
2009-12-22,106.14,106.15,106.14,106.15,106.15,40
2009-12-23,106.24,106.24,106.0,106.0,106.0,1059
2009-12-28,106.99,106.99,106.0,106.0,106.0,264
2009-12-29,106.11,106.11,105.95,105.95,105.95,550
2009-12-30,103.94,103.97,103.93,103.93,103.93,790
2010-01-04,103.86,103.89,103.85,103.85,103.85,261
2010-01-05,103.93,104.0,103.93,104.0,104.0,335
2010-01-06,103.95,103.95,103.95,103.95,103.95,0
2010-01-07,103.85,104.16,103.85,104.1,104.1,370
2010-01-08,104.2,104.48,104.2,104.27,104.27,1026
2010-01-11,104.31,104.53,104.25,104.27,104.27,878
2010-01-12,104.63,104.63,103.0,104.45,104.45,540
2010-01-13,104.46,104.46,104.46,104.46,104.46,100
2010-01-14,104.6,104.6,104.6,104.6,104.6,100
2010-01-15,104.55,104.55,104.55,104.55,104.55,100
2010-01-18,104.52,104.71,104.52,104.58,104.58,336
2010-01-19,104.44,104.44,104.44,104.44,104.44,0
2010-01-20,104.71,104.71,104.55,104.58,104.58,414
2010-01-21,104.5,104.5,104.5,104.5,104.5,0
2010-01-22,104.44,104.44,104.44,104.44,104.44,25
2010-01-25,104.75,104.75,104.75,104.75,104.75,60
2010-01-26,104.56,106.33,104.56,104.79,104.79,29
2010-01-27,104.32,104.32,104.32,104.32,104.32,0
2010-01-28,104.32,104.32,104.32,104.32,104.32,2
2010-01-29,104.27,104.27,104.27,104.27,104.27,1
2010-02-01,104.3,104.81,104.3,104.52,104.52,82
2010-02-02,104.62,104.86,104.62,104.67,104.67,140
2010-02-03,104.7,104.7,104.7,104.7,104.7,200
2010-02-04,104.71,104.71,104.62,104.65,104.65,1160
2010-02-05,105.1,105.1,105.07,105.07,105.07,270
2010-02-08,105.19,105.19,105.0,105.0,105.0,97
2010-02-09,104.95,104.95,104.95,104.95,104.95,0
2010-02-10,104.95,105.2,104.75,105.09,105.09,323
2010-02-11,105.04,105.18,105.04,105.06,105.06,82
2010-02-12,105.1,105.1,105.1,105.1,105.1,0
2010-02-15,105.3,105.3,105.2,105.2,105.2,217
2010-02-16,104.77,104.77,104.77,104.77,104.77,139
2010-02-17,105.23,105.33,105.22,105.31,105.31,1269
2010-02-18,104.97,104.97,104.97,104.97,104.97,0
2010-02-19,105.03,105.03,105.03,105.03,105.03,100
2010-02-22,105.07,105.07,104.74,105.03,105.03,169
2010-02-23,105.2,105.2,105.2,105.2,105.2,220
2010-02-24,105.26,105.65,105.26,105.51,105.51,96
2010-02-25,105.81,105.81,105.51,105.56,105.56,2263
2010-02-26,105.75,105.75,105.69,105.69,105.69,1425
2010-03-01,105.81,105.81,105.81,105.81,105.81,1
2010-03-02,105.87,105.87,105.87,105.87,105.87,6
2010-03-03,105.89,105.89,105.89,105.89,105.89,199
2010-03-04,105.91,105.91,105.86,105.86,105.86,124
2010-03-05,105.95,105.95,105.95,105.95,105.95,24
2010-03-08,105.87,105.93,105.57,105.74,105.74,396
2010-03-09,106.0,106.0,105.8,105.9,105.9,98
2010-03-10,105.69,106.03,105.63,105.78,105.78,346
2010-03-11,105.91,105.91,105.75,105.75,105.75,166
2010-03-12,105.68,105.68,105.68,105.68,105.68,70
2010-03-15,105.86,105.86,105.86,105.86,105.86,90
2010-03-16,105.95,106.02,105.62,105.88,105.88,251
2010-03-17,105.98,106.23,105.98,106.08,106.08,665
2010-03-18,106.31,106.31,106.09,106.09,106.09,188
2010-03-19,106.1,106.13,106.0,106.05,106.05,264
2010-03-22,106.17,106.19,106.17,106.19,106.19,122
2010-03-23,106.33,106.33,106.33,106.33,106.33,160
2010-03-24,106.33,106.35,106.33,106.35,106.35,235
2010-03-25,106.24,106.25,106.24,106.25,106.25,345
2010-03-26,106.12,106.12,105.97,106.06,106.06,6
2010-03-29,106.1,106.15,106.1,106.15,106.15,7
2010-03-30,106.31,106.4,106.31,106.4,106.4,117
2010-03-31,106.2,106.31,106.16,106.31,106.31,81
2010-04-01,106.53,106.53,106.41,106.45,106.45,49
2010-04-06,106.3,106.3,106.05,106.08,106.08,122
2010-04-07,106.4,106.4,106.36,106.36,106.36,88
2010-04-08,106.5,106.5,106.42,106.42,106.42,333
