Date,Open,High,Low,Close,Adj Close,Volume
2017-02-17,29.2,29.2,29.2,29.16,29.16,200
2017-03-21,28.9,28.9,28.9,28.85,28.85,366
2017-03-23,29.19,29.19,29.19,29.03,29.03,148
2017-04-03,29.33,29.33,29.33,29.41,29.41,1272
2017-04-13,29.75,29.75,29.75,29.67,29.67,660
2017-06-07,29.85,29.85,29.85,29.82,29.82,373
2017-06-30,29.62,29.62,29.62,29.61,29.61,3
2017-07-06,29.41,29.41,29.41,29.17,29.17,3
2017-07-07,29.17,29.17,29.17,29.1,29.1,3
2017-08-01,29.59,29.59,29.59,29.75,29.75,7
2017-08-07,29.75,29.75,29.75,29.75,29.75,0
2017-08-08,29.75,29.75,29.75,29.75,29.75,0
2017-08-09,29.75,29.75,29.75,29.75,29.75,0
2017-08-10,29.75,29.75,29.75,29.75,29.75,0
2017-08-11,29.75,29.75,29.75,29.75,29.75,0
2017-08-14,29.75,29.75,29.75,29.75,29.75,0
2017-08-16,29.75,29.75,29.75,29.75,29.75,0
2017-08-17,29.75,29.75,29.75,29.75,29.75,0
2017-08-18,29.75,29.75,29.75,29.75,29.75,0
2017-08-21,29.75,29.75,29.75,29.75,29.75,0
2017-08-22,29.75,29.75,29.75,29.75,29.75,0
2017-08-23,29.75,29.75,29.75,29.75,29.75,0
2017-08-24,29.75,29.75,29.75,29.75,29.75,0
2017-08-25,29.75,29.75,29.75,29.75,29.75,0
2017-08-28,29.75,29.75,29.75,29.75,29.75,0
2017-08-29,29.75,29.75,29.75,29.75,29.75,0
2017-08-30,29.75,29.75,29.75,29.75,29.75,0
2017-08-31,29.75,29.75,29.75,29.75,29.75,0
2017-09-01,29.75,29.75,29.75,29.75,29.75,0
2017-09-04,29.75,29.75,29.75,29.75,29.75,0
2017-09-05,29.75,29.75,29.75,29.75,29.75,0
2017-09-06,29.75,29.75,29.75,29.75,29.75,0
2017-09-07,29.75,29.75,29.75,29.75,29.75,0
2017-09-08,30.1,30.1,30.1,30.03,30.03,100
2017-09-11,30.02,30.02,30.02,29.98,29.98,100
2017-09-12,29.98,29.98,29.98,29.98,29.98,0
2017-09-13,29.98,29.98,29.98,29.98,29.98,0
2017-09-14,29.98,29.98,29.98,29.98,29.98,0
2017-09-15,29.98,29.98,29.98,29.98,29.98,0
2017-09-18,29.98,29.98,29.98,29.98,29.98,0
2017-09-19,29.73,29.73,29.73,29.67,29.67,50
2017-09-20,29.67,29.67,29.67,29.67,29.67,0
2017-09-21,29.67,29.67,29.67,29.67,29.67,0
2017-09-22,29.63,29.63,29.63,29.64,29.64,2500
2017-09-25,29.64,29.64,29.64,29.64,29.64,0
2017-09-26,29.64,29.64,29.64,29.64,29.64,0
2017-09-27,29.64,29.64,29.64,29.64,29.64,0
2017-09-28,29.64,29.64,29.64,29.64,29.64,0
2017-09-29,29.64,29.64,29.64,29.64,29.64,0
2017-10-02,29.64,29.64,29.64,29.64,29.64,0
2017-10-03,29.64,29.64,29.64,29.64,29.64,0
2017-10-04,29.64,29.64,29.64,29.64,29.64,0
2017-10-05,29.64,29.64,29.64,29.64,29.64,0
2017-10-06,29.64,29.64,29.64,29.64,29.64,0
2017-10-09,29.64,29.64,29.64,29.64,29.64,0
2017-10-10,29.64,29.64,29.64,29.64,29.64,0
2017-10-11,29.64,29.64,29.64,29.64,29.64,0
2017-10-12,29.64,29.64,29.64,29.64,29.64,0
2017-10-13,29.64,29.64,29.64,29.64,29.64,0
2017-10-16,29.64,29.64,29.64,29.64,29.64,0
2017-10-17,29.64,29.64,29.64,29.64,29.64,0
2017-10-18,29.64,29.64,29.64,29.64,29.64,0
2017-10-19,29.64,29.64,29.64,29.64,29.64,0
2017-10-20,29.73,29.73,29.73,29.69,29.69,50
2017-10-23,29.69,29.69,29.69,29.69,29.69,0
2017-10-24,29.69,29.69,29.69,29.69,29.69,0
2017-10-25,29.69,29.69,29.69,29.69,29.69,0
2017-10-26,29.83,29.83,29.83,29.87,29.87,5929
2017-10-27,29.87,29.87,29.87,29.87,29.87,0
2017-10-30,29.87,29.87,29.87,29.87,29.87,0
2017-10-31,29.87,29.87,29.87,29.87,29.87,0
2017-11-02,30.25,30.25,30.25,30.25,30.25,0
2017-11-03,30.25,30.25,30.25,30.25,30.25,0
2017-11-06,30.25,30.25,30.25,30.25,30.25,0
