Date,Open,High,Low,Close,Adj Close,Volume
2007-06-20,49.0,49.0,49.0,49.0,49.0,0
2007-06-21,49.0,49.0,49.0,49.0,49.0,0
2007-06-22,49.0,49.0,49.0,49.0,49.0,0
2007-06-25,49.0,49.0,49.0,49.0,49.0,0
2007-06-26,48.23,48.42,48.23,48.23,48.23,101
2007-06-27,47.9,47.9,47.9,47.9,47.9,1
2007-06-28,47.9,47.9,47.9,47.9,47.9,0
2007-06-29,47.9,47.9,47.9,47.9,47.9,0
2007-07-02,47.9,47.9,47.9,47.9,47.9,0
2007-07-03,47.9,47.9,47.9,47.9,47.9,0
2007-07-04,47.9,47.9,47.9,47.9,47.9,0
2007-07-05,47.9,47.9,47.9,47.9,47.9,0
2007-07-06,47.9,47.9,47.9,47.9,47.9,0
2007-07-09,48.33,48.33,48.33,48.33,48.33,50
2007-07-10,48.33,48.33,48.33,48.33,48.33,0
2007-07-11,48.34,48.43,48.34,48.34,48.34,105
2007-07-12,48.34,48.34,48.34,48.34,48.34,0
2007-07-13,48.34,48.34,48.34,48.34,48.34,0
2007-07-16,48.34,48.34,48.34,48.34,48.34,0
2007-07-17,48.29,48.29,48.29,48.29,48.29,41
2007-07-18,48.29,48.29,48.29,48.29,48.29,0
2007-07-19,48.9,48.9,48.8,48.9,48.9,478
2007-07-20,48.9,48.9,48.9,48.9,48.9,0
2007-07-23,49.53,49.66,49.53,49.53,49.53,506
2007-07-24,49.3,49.3,49.3,49.3,49.3,1
2007-07-25,49.35,49.44,49.35,49.35,49.35,300
2007-07-26,49.35,49.35,49.35,49.35,49.35,0
2007-07-27,49.35,49.35,49.35,49.35,49.35,0
2007-07-30,49.35,49.6,48.62,49.35,49.35,60
2007-07-31,48.62,48.62,48.62,48.62,48.62,0
2007-08-01,48.49,48.49,48.48,48.49,48.49,200
2007-08-02,48.49,48.49,48.49,48.49,48.49,0
2007-08-03,48.49,48.49,48.49,48.49,48.49,0
2007-08-06,48.49,48.49,48.49,48.49,48.49,0
2007-08-07,48.49,48.49,48.49,48.49,48.49,0
2007-08-08,48.49,48.49,48.49,48.49,48.49,0
2007-08-09,48.49,48.49,48.49,48.49,48.49,83
