Date,Open,High,Low,Close,Adj Close,Volume
2014-12-04,36.7,36.7,36.7,36.17,36.17,800
2015-01-21,37.6,37.61,37.58,37.92,37.92,4600
2015-01-22,38.07,38.07,38.07,38.78,38.78,40
2015-01-23,39.59,39.59,39.59,39.44,39.44,1000
2015-01-26,39.45,39.45,39.45,39.39,39.39,130
2015-01-29,38.69,38.69,38.69,38.56,38.56,130
2015-02-10,39.53,39.53,39.53,39.49,39.49,50
2015-02-17,39.9,39.9,39.9,39.99,39.99,50
2015-02-23,40.62,40.62,40.62,40.53,40.53,250
2015-02-24,40.65,40.65,40.65,40.79,40.79,125
2015-02-27,41.19,41.19,41.19,41.21,41.21,1
2015-03-02,41.21,41.21,41.21,41.28,41.28,1
2015-03-16,42.74,42.74,42.74,42.78,42.78,125
2015-03-23,42.57,42.57,42.57,42.42,42.42,1400
2015-03-27,41.85,41.85,41.85,41.64,41.64,150
2015-04-07,42.24,42.24,42.24,42.51,42.51,250
2015-04-17,42.9,42.9,42.9,42.78,42.78,250
2015-05-07,40.53,40.53,40.53,41.04,41.04,50
2015-05-26,43.06,43.06,43.06,42.81,42.81,2000
2015-05-28,43.1,43.1,42.91,42.97,42.97,2500
2015-05-29,42.67,42.67,42.67,42.51,42.51,2000
2015-06-10,40.84,40.84,40.84,41.19,41.19,2000
2015-06-16,40.52,40.52,40.52,41.12,41.12,2000
2015-06-18,40.72,40.72,40.72,40.96,40.96,2000
2015-06-30,40.81,40.81,40.81,41.01,41.01,40
2015-07-08,40.7,40.7,40.7,40.5,40.5,50
2015-07-13,41.9,41.9,41.9,41.91,41.91,366
2015-07-17,42.96,42.96,42.95,43.0,43.0,4000
2015-07-29,41.83,41.83,41.83,41.76,41.76,2000
2015-08-03,42.08,42.08,42.08,42.19,42.19,2000
2015-08-12,40.71,40.71,40.71,40.4,40.4,60
2015-08-13,41.36,41.36,41.36,41.09,41.09,100
2015-08-21,39.34,39.34,39.13,38.49,38.49,8009
2015-08-24,36.5,36.5,36.5,35.99,35.99,10
2015-08-26,37.13,37.38,37.13,36.78,36.78,10000
2015-09-10,38.46,38.46,38.46,37.84,37.84,2000
2015-09-18,37.87,37.89,37.87,37.92,37.92,4000
2015-09-23,37.94,37.94,37.8,37.64,37.64,2019
2015-10-02,37.76,38.5,37.76,37.01,37.01,6500
2015-10-16,39.1,39.1,39.1,39.0,39.0,2000
2015-10-21,39.14,39.14,39.14,39.01,39.01,500
2015-10-23,40.35,40.35,40.35,40.83,40.83,65
2015-10-26,40.69,40.69,40.69,40.71,40.71,2000
2015-10-28,40.58,40.58,40.58,40.75,40.75,490
2015-11-12,41.32,41.32,41.32,41.21,41.21,60
2015-12-02,42.69,42.69,42.69,42.57,42.57,100
2015-12-09,40.28,40.28,40.28,40.26,40.26,800
2015-12-17,40.97,40.97,40.69,40.52,40.52,2080
2015-12-18,39.95,39.95,39.95,39.99,39.99,2000
2015-12-28,40.2,40.2,40.16,40.01,40.01,4000
2016-01-06,39.54,39.54,39.54,39.69,39.69,2000
2016-01-21,36.29,36.29,36.29,36.67,36.67,2000
2016-01-29,37.78,37.85,37.78,37.88,37.88,8000
2016-02-01,38.06,38.1,37.74,37.94,37.94,10000
2016-02-08,36.29,36.29,36.29,35.21,35.21,28
2016-02-12,34.76,34.76,34.72,34.97,34.97,2014
2016-02-24,36.26,36.35,36.26,36.33,36.33,10000
2016-03-07,38.6,38.6,38.6,38.74,38.74,26
2016-03-10,38.49,38.75,38.49,37.78,37.78,4000
2016-03-18,38.47,38.47,38.47,38.73,38.73,40
2016-03-24,38.56,38.56,38.35,38.38,38.38,6700
2016-04-05,37.88,37.88,37.8,37.85,37.85,4000
2016-04-15,39.4,39.4,39.4,39.33,39.33,2000
2016-04-19,39.67,39.67,39.67,39.62,39.62,490
2016-04-21,39.97,39.97,39.97,39.92,39.92,1880
2016-04-27,39.54,39.54,39.54,39.59,39.59,1300
2016-04-28,39.25,39.25,39.25,39.69,39.69,2000
2016-05-02,38.69,38.69,38.69,38.66,38.66,50
2016-05-10,38.83,38.83,38.83,38.79,38.79,739
2016-05-12,38.83,38.83,38.83,38.49,38.49,3859
2016-05-13,38.71,38.71,38.71,38.88,38.88,1550
2016-05-25,40.06,40.06,40.06,39.97,39.97,2402
2016-06-14,38.9,38.9,38.9,38.74,38.74,48570
2016-06-15,39.08,39.08,39.08,38.97,38.97,154
2016-06-17,38.93,38.95,38.93,38.76,38.76,11116
2016-06-29,39.14,39.24,39.14,39.3,39.3,1595
2016-07-01,39.99,39.99,39.99,39.88,39.88,1300
2016-07-08,40.22,40.22,40.22,40.36,40.36,2000
2016-07-14,40.97,41.12,40.97,41.13,41.13,1418
2016-07-15,40.85,40.94,40.85,41.15,41.15,65048
2016-07-27,41.69,41.69,41.69,41.57,41.57,2000
2016-08-05,41.56,41.61,41.56,41.57,41.57,31269
2016-08-18,41.13,41.13,41.13,41.14,41.14,4440
2016-09-02,41.61,41.61,41.61,41.78,41.78,576
2016-09-09,41.4,41.4,41.4,41.17,41.17,9043
2016-10-03,41.22,41.31,41.22,41.28,41.28,259085
2016-10-13,41.07,41.07,41.07,41.06,41.06,11800
2016-10-19,41.69,41.69,41.69,41.93,41.93,3000
2016-10-20,41.94,41.94,41.94,41.95,41.95,5000
2016-10-26,41.81,41.81,41.81,41.97,41.97,100
2016-10-27,41.97,41.97,41.97,41.88,41.88,4000
2016-10-28,41.75,41.75,41.75,41.8,41.8,499
