Date,Open,High,Low,Close,Adj Close,Volume
2014-10-16,23.26,23.26,23.26,23.52,23.52,50
2014-10-21,23.98,24.46,23.98,24.48,24.48,8037
2014-10-22,24.7,24.8,24.7,24.88,24.88,35
2014-10-24,24.89,24.95,24.86,24.97,24.97,286
2014-10-27,25.07,25.07,25.07,24.86,24.86,6
2014-10-28,25.07,25.13,25.07,25.0,25.0,8006
2014-10-29,25.14,25.14,25.14,25.1,25.1,10
2014-10-30,25.46,25.46,25.33,25.43,25.43,602
2014-10-31,26.04,26.07,26.04,25.93,25.93,20
2014-11-03,26.06,26.13,26.06,26.12,26.12,32
2014-11-04,26.09,26.09,26.09,25.78,25.78,10
2014-11-05,26.1,26.14,26.1,26.15,26.15,1689
2014-11-06,26.15,26.15,26.12,26.38,26.38,8145
2014-11-07,26.56,26.56,26.56,26.45,26.45,10
2014-11-10,26.32,26.48,26.32,26.47,26.47,790
2014-11-11,26.58,26.59,26.58,26.51,26.51,53
2014-11-12,26.41,26.41,26.41,26.39,26.39,30
2014-11-14,26.56,26.56,26.41,26.47,26.47,16110
2014-11-20,26.29,26.29,26.29,26.48,26.48,1
2014-11-21,26.94,26.94,26.94,26.95,26.95,23
2014-11-24,27.02,27.02,27.02,26.89,26.89,3
2014-11-25,27.02,27.02,27.02,26.78,26.78,310
2014-11-27,26.9,26.9,26.9,26.89,26.89,6
2014-12-03,27.16,27.23,27.16,27.23,27.23,230
2014-12-04,27.28,27.28,27.28,26.86,26.86,2
2014-12-05,27.28,27.28,27.28,27.34,27.34,33
2014-12-19,27.33,27.33,27.33,27.35,27.35,100
2015-01-02,27.98,27.98,27.98,27.67,27.67,250
2015-01-05,27.83,27.83,27.83,27.54,27.54,283
2015-01-07,27.67,27.67,27.67,27.67,27.67,291
2015-01-12,28.02,28.02,28.02,27.92,27.92,1
2015-01-14,27.73,27.73,27.73,27.52,27.52,178
2015-01-16,27.68,27.68,27.68,28.23,28.23,50
2015-01-19,28.17,28.17,28.17,28.12,28.12,200
2015-01-30,28.6,28.63,28.6,28.51,28.51,12800
2015-02-06,29.38,29.38,29.38,29.4,29.4,200
2015-02-09,29.05,29.1,29.05,29.16,29.16,459
2015-02-10,29.26,29.26,29.26,29.24,29.24,6400
2015-02-23,29.99,29.99,29.99,29.92,29.92,330
2015-03-04,30.41,30.41,30.41,30.5,30.5,98
2015-03-10,30.97,30.97,30.97,30.87,30.87,180
2015-03-17,31.5,31.5,31.5,31.5,31.5,7
2015-03-26,30.44,30.44,30.44,30.4,30.4,237
2015-04-07,30.96,30.96,30.96,30.98,30.98,100
2015-04-08,30.84,30.84,30.84,31.06,31.06,33
2015-05-05,30.44,30.44,30.44,30.27,30.27,6400
2015-05-06,30.07,30.07,30.07,29.67,29.67,6400
