Date,Open,High,Low,Close,Adj Close,Volume
2010-05-28,8.87,8.87,8.87,8.87,8.87,0
2010-05-31,8.9,8.91,8.9,8.91,8.91,690
2010-06-01,8.86,8.86,8.86,8.86,8.86,0
2010-06-02,8.78,8.83,8.78,8.81,8.81,1835
2010-06-03,8.98,9.04,8.98,9.04,9.04,3931
2010-06-04,9.07,9.19,8.98,9.01,9.01,32486
2010-06-07,8.91,8.95,8.89,8.89,8.89,13506
2010-06-08,8.81,8.82,8.81,8.82,8.82,5000
2010-06-09,8.9,8.9,8.9,8.9,8.9,550
2010-06-10,8.85,8.88,8.85,8.88,8.88,3268
2010-06-11,8.94,8.99,8.93,8.93,8.93,7368
2010-06-14,9.0,9.11,8.97,9.0,9.0,7001
2010-06-15,9.06,9.06,8.97,8.97,8.97,2487
2010-06-16,9.11,9.15,9.03,9.04,9.04,24397
2010-06-17,9.04,9.12,8.98,8.98,8.98,21590
2010-06-18,9.03,9.06,9.03,9.06,9.06,82
2010-06-21,9.12,9.24,9.11,9.11,9.11,3720
2010-06-22,9.2,9.2,9.04,9.06,9.06,33111
2010-06-23,8.97,8.98,8.91,8.94,8.94,3239
2010-06-24,8.87,8.87,8.82,8.85,8.85,2062
2010-06-25,8.76,8.77,8.74,8.77,8.77,3415
2010-06-28,8.75,8.78,8.75,8.76,8.76,2374
2010-06-29,8.8,8.8,8.63,8.63,8.63,716
2010-06-30,8.56,8.56,8.53,8.53,8.53,1750
2010-07-01,8.38,8.38,8.34,8.36,8.36,12971
2010-07-02,8.2,8.23,8.15,8.16,8.16,2630
2010-07-05,8.16,8.16,8.13,8.15,8.15,3240
2010-07-06,8.17,8.24,8.17,8.24,8.24,4056
2010-07-07,8.18,8.19,8.15,8.19,8.19,3246
2010-07-08,8.4,8.44,8.4,8.41,8.41,2000
2010-07-09,8.46,8.48,8.45,8.48,8.48,265
2010-07-12,8.59,8.59,8.55,8.55,8.55,1020
2010-07-13,8.66,8.66,8.63,8.63,8.63,730
2010-07-14,8.67,8.75,8.65,8.65,8.65,4925
2010-07-15,8.58,8.58,8.42,8.42,8.42,21774
2010-07-16,8.31,8.31,8.31,8.31,8.31,0
2010-07-19,8.26,8.26,8.24,8.24,8.24,350
2010-07-20,8.26,8.32,8.26,8.27,8.27,1900
2010-07-21,8.47,8.51,8.47,8.5,8.5,2685
2010-07-22,8.4,8.49,8.4,8.49,8.49,4050
2010-07-23,8.52,8.52,8.52,8.52,8.52,0
2010-07-26,8.56,8.56,8.54,8.54,8.54,670
2010-07-27,8.61,8.66,8.59,8.6,8.6,4530
2010-07-28,8.73,8.73,8.55,8.55,8.55,4520
2010-07-29,8.52,8.53,8.52,8.52,8.52,1110
2010-07-30,8.43,8.44,8.41,8.41,8.41,50500
2010-08-02,8.52,8.55,8.52,8.52,8.52,8162
2010-08-03,8.54,8.54,8.51,8.51,8.51,1925
2010-08-04,8.48,8.52,8.48,8.52,8.52,43796
2010-08-05,8.73,8.73,8.51,8.56,8.56,12919
2010-08-06,8.58,8.59,8.42,8.42,8.42,9340
2010-08-09,8.51,8.63,8.51,8.52,8.52,1550
2010-08-10,8.53,8.53,8.53,8.53,8.53,515
2010-08-11,8.52,8.53,8.51,8.53,8.53,1600
