Date,Open,High,Low,Close,Adj Close,Volume
2014-09-29,259.3,259.3,259.3,259.37,259.37,750
2014-10-01,258.12,258.12,258.12,259.02,259.02,3088
2014-10-07,258.07,258.27,257.35,256.84,256.84,6192
2014-10-08,253.39,253.39,253.39,254.07,254.07,3088
2014-10-13,249.73,249.73,248.57,249.48,249.48,608
2014-10-14,247.44,247.44,247.44,248.76,248.76,39
2014-10-16,239.48,239.48,239.48,242.25,242.25,600
2014-10-24,256.28,256.28,256.28,257.21,257.21,4140
2014-10-28,258.57,258.57,258.57,257.71,257.71,1088
2014-10-31,267.11,267.6,267.11,267.37,267.37,2090
2014-11-03,269.26,269.72,269.26,269.26,269.26,2000
2014-11-26,277.51,277.51,277.51,275.88,275.88,54
2014-12-02,275.62,275.62,275.62,277.71,277.71,4
2014-12-10,274.54,274.54,274.54,274.84,274.84,65
2014-12-16,262.71,262.71,262.71,268.13,268.13,1088
2014-12-22,282.25,282.25,282.25,282.25,282.25,1088
2015-01-02,287.35,287.35,287.35,284.99,284.99,15
2015-01-08,290.65,290.65,290.65,291.87,291.87,35
2015-01-09,293.0,293.0,293.0,293.0,293.0,13248
2015-01-12,288.37,290.8,288.37,287.69,287.69,971
2015-01-13,287.0,287.0,287.0,290.72,290.72,10
2015-01-15,285.69,285.69,285.69,288.67,288.67,10
2015-01-19,290.97,290.97,290.97,289.79,289.79,10
2015-01-27,297.87,297.87,297.87,297.87,297.87,850
2015-02-06,300.87,300.87,300.87,305.54,305.54,20
2015-02-09,303.29,303.29,302.72,303.06,303.06,1105
2015-02-10,302.72,302.72,302.72,303.96,303.96,15
2015-02-11,305.44,305.96,305.44,305.96,305.96,1650
2015-02-16,307.16,307.16,307.16,307.87,307.87,65
2015-02-17,308.16,308.16,308.16,307.79,307.79,7
2015-02-18,308.34,308.87,308.34,308.91,308.91,130
2015-02-19,308.42,308.42,308.39,308.72,308.72,5000
2015-02-20,308.54,308.54,308.54,308.74,308.74,40
2015-02-23,311.13,311.46,311.13,311.0,311.0,30
2015-02-24,311.86,311.86,311.86,312.75,312.75,10
2015-02-25,311.42,311.42,311.42,312.02,312.02,12
2015-02-26,314.38,314.47,314.23,315.57,315.57,5000
2015-02-27,315.53,315.53,315.53,315.14,315.14,32
