Date,Open,High,Low,Close,Adj Close,Volume
2012-05-08,104.7,104.7,104.7,104.13,104.13,3
2012-05-10,105.67,105.67,105.67,105.16,105.16,280
2012-05-11,105.54,105.54,105.54,105.66,105.66,284
2012-06-29,107.14,107.14,107.14,105.66,105.66,187
2012-07-03,108.57,108.57,108.57,105.66,105.66,46
2012-07-06,110.8,110.8,110.8,105.66,105.66,51
2012-07-12,109.0,109.0,109.0,105.66,105.66,1000
2012-07-13,110.06,110.06,110.06,110.67,110.67,3000
2012-07-27,111.43,111.81,111.43,110.42,110.42,100
2012-08-24,112.68,112.68,112.68,112.29,112.29,3000
2012-09-07,113.4,113.4,113.4,113.58,113.58,3000
2012-09-13,112.2,112.2,112.2,112.07,112.07,27
2012-10-02,112.73,112.73,112.73,111.61,111.61,531
2012-10-09,112.8,112.8,112.8,111.78,111.78,3
2012-10-16,111.28,111.28,111.26,111.68,111.68,20
2012-10-30,109.32,109.55,109.3,109.28,109.28,11000
2012-11-02,111.01,111.01,111.01,110.52,110.52,46
2012-11-09,108.67,108.67,108.67,109.45,109.45,384
2012-11-16,106.36,106.36,106.36,106.12,106.12,3000
2012-11-19,108.13,108.13,108.13,108.27,108.27,3000
2012-11-22,108.84,108.84,108.84,108.74,108.74,12
2012-11-23,108.53,108.53,108.53,108.74,108.74,150
2012-11-26,108.46,108.46,108.46,108.36,108.36,3000
2012-11-27,108.79,108.79,108.79,109.05,109.05,180
2012-12-04,108.38,108.38,108.19,108.05,108.05,1596
2012-12-19,109.84,109.84,109.84,109.64,109.64,275
2012-12-21,108.35,108.35,108.35,109.39,109.39,6000
2013-01-03,111.53,111.66,111.53,111.74,111.74,3012
2013-01-15,110.0,110.1,110.0,110.23,110.23,405
2013-01-22,111.6,111.6,111.6,111.79,111.79,3000
2013-01-29,111.49,111.49,111.49,111.65,111.65,3000
2013-02-04,111.2,111.2,111.2,111.08,111.08,450
2013-02-05,111.37,111.37,111.18,111.36,111.36,648
2013-02-06,111.73,111.73,111.73,111.83,111.83,317
2013-02-07,111.8,111.8,111.8,112.33,112.33,100
2013-02-08,112.69,112.91,112.69,112.33,112.33,59
2013-02-13,113.31,113.31,113.31,113.06,113.06,3
2013-02-15,114.19,114.19,114.19,114.32,114.32,569
2013-02-19,114.26,114.26,114.26,114.55,114.55,3000
2013-02-20,114.3,114.6,114.3,114.64,114.64,263
2013-02-22,114.41,114.41,114.41,114.12,114.12,3000
2013-03-01,116.46,116.46,116.46,116.53,116.53,3000
2013-03-07,118.87,118.87,118.24,118.42,118.42,6715
2013-03-08,119.49,119.49,119.49,118.42,118.42,45
2013-03-12,120.0,120.0,119.72,119.52,119.52,180
2013-04-03,122.82,122.82,122.82,121.62,121.62,49
2013-04-05,121.45,121.45,121.45,121.45,121.45,200
2013-04-08,119.76,119.76,119.76,119.51,119.51,20
2013-04-12,121.9,121.9,121.9,121.8,121.8,3000
2013-04-16,119.33,119.48,119.03,119.49,119.49,9206
2013-04-19,118.63,118.63,118.63,118.63,118.63,100
2013-04-24,121.62,121.62,121.62,121.7,121.7,3000
2013-05-06,123.65,123.65,123.65,123.89,123.89,61
2013-05-08,124.13,124.13,124.13,123.99,123.99,3000
2013-05-15,129.02,129.21,129.02,129.17,129.17,250
2013-05-16,128.98,128.98,128.98,129.0,129.0,522
2013-05-24,127.9,127.9,127.9,127.5,127.5,5000
2013-05-28,129.72,129.72,129.72,130.23,130.23,100
2013-05-30,127.47,127.47,127.47,127.52,127.52,641
2013-06-03,126.55,126.55,125.96,124.59,124.59,606
2013-06-04,125.75,125.75,125.75,126.05,126.05,3000
2013-06-05,124.65,124.65,124.65,124.15,124.15,20
2013-06-19,123.9,123.9,123.88,123.73,123.73,20672
2013-07-02,123.75,123.75,123.75,124.69,124.69,9
2013-07-05,126.93,126.93,126.78,126.31,126.31,5508
2013-07-26,126.78,126.78,126.78,126.77,126.77,823
2013-08-01,128.69,128.7,128.69,128.84,128.84,3101
2013-08-05,128.98,129.34,128.98,129.22,129.22,201
2013-08-07,126.85,126.85,126.85,126.96,126.96,206
2013-08-09,126.71,127.02,126.64,126.85,126.85,212
2013-08-13,127.81,127.81,127.81,127.84,127.84,100
2013-08-16,125.12,125.12,125.12,124.95,124.95,48
2013-08-23,124.87,124.87,124.87,124.24,124.24,200
2013-08-30,124.55,124.55,124.55,124.24,124.24,25
2013-09-16,128.03,128.03,128.03,128.01,128.01,10
2013-09-17,128.1,128.1,128.1,128.19,128.19,9
2013-09-19,128.0,128.0,128.0,128.0,128.0,230
2013-09-24,125.95,125.95,125.95,126.35,126.35,98
2013-09-30,124.8,124.8,124.8,124.28,124.28,32
2013-10-02,124.7,124.7,124.7,124.13,124.13,100
2013-10-09,122.55,122.55,122.55,121.97,121.97,25
2013-10-11,125.02,125.02,124.7,125.1,125.1,409
2013-10-14,124.73,124.73,124.73,124.99,124.99,320
2013-10-18,127.0,127.0,127.0,127.11,127.11,81
2013-10-22,127.34,127.34,127.11,127.15,127.15,630
2013-10-23,126.65,126.65,126.61,126.95,126.95,822
