Date,Open,High,Low,Close,Adj Close,Volume
2014-01-14,11.85,11.85,11.85,11.85,11.84,900.0
2014-01-20,11.86,11.86,11.86,11.85,11.85,150.0
2014-01-21,11.86,11.86,11.86,11.85,11.85,5263.0
2014-01-24,11.86,11.86,11.86,11.85,11.85,1700.0
2014-01-28,11.87,11.87,11.87,11.85,11.85,64.0
2014-01-29,11.87,11.87,11.87,11.86,11.86,250.0
2014-01-31,11.89,11.89,11.89,11.88,11.88,1050.0
2014-02-03,11.89,11.89,11.89,11.88,11.88,200.0
2014-02-26,11.9,11.9,11.9,11.9,11.89,16806.0
2014-03-05,11.9,11.9,11.9,11.91,11.91,16806.0
2014-03-06,11.91,11.91,11.91,11.91,11.91,1000.0
2014-03-13,11.93,11.93,11.93,11.92,11.92,1650.0
2014-03-31,11.94,11.94,11.94,11.94,11.93,20.0
2014-04-08,11.97,11.97,11.97,11.95,11.95,837.0
2014-04-23,11.97,11.97,11.97,11.96,11.96,100.0
2014-04-29,11.96,11.96,11.96,11.96,11.96,1000.0
2014-05-05,11.99,11.99,11.99,11.98,11.98,850.0
2014-05-06,12.0,12.0,12.0,11.98,11.98,1665.0
2014-06-04,11.99,11.99,11.99,12.0,12.0,70.0
2014-06-05,12.0,12.0,12.0,12.02,12.01,250.0
2014-06-06,12.06,12.06,12.06,12.06,12.05,420.0
2014-06-13,12.05,12.05,12.05,12.04,12.04,420.0
2014-06-19,12.05,12.05,12.05,12.04,12.04,1000.0
2014-06-20,12.02,12.02,12.02,12.03,12.03,100.0
2014-06-23,12.05,12.05,12.05,12.03,12.03,230.0
2014-06-25,12.06,12.06,12.06,12.05,12.04,1000.0
2014-06-30,12.06,12.06,12.06,12.05,12.05,4500.0
2014-07-09,12.07,12.07,12.07,12.06,12.06,2830.0
2014-07-14,12.05,12.05,12.05,12.06,12.06,150.0
2014-07-29,12.08,12.08,12.08,12.09,12.09,420.0
2014-07-30,12.09,12.09,12.09,12.09,12.08,828.0
2014-08-01,12.09,12.09,12.09,12.07,12.07,210.0
2014-08-08,12.07,12.07,12.07,12.08,12.08,3950.0
2014-08-20,12.08,12.08,12.08,12.06,12.06,2500.0
2014-08-22,12.06,12.06,12.06,12.06,12.06,1000.0
2014-09-22,12.08,12.08,12.08,12.07,12.07,207.0
2014-11-14,12.08,12.08,12.08,12.07,12.07,300.0
2014-11-21,12.07,12.07,12.07,12.07,12.07,500.0
2014-12-04,12.08,12.08,12.08,12.08,12.08,1500.0
2014-12-08,12.07,12.07,12.07,12.09,12.08,230.0
2014-12-09,12.07,12.07,12.07,12.08,12.08,417.0
2014-12-10,12.07,12.07,12.07,12.07,12.07,60.0
2014-12-12,12.07,12.07,12.06,12.06,12.06,460.0
2014-12-15,12.07,12.07,12.07,12.06,12.06,40.0
2014-12-16,12.07,12.07,12.07,12.07,12.07,15.0
2014-12-17,12.07,12.09,12.07,12.07,12.07,260.0
2015-01-07,12.1,12.1,12.1,12.1,12.09,18.0
2015-01-12,12.1,12.1,12.1,12.1,12.09,30.0
2015-01-16,12.12,12.12,12.12,12.13,12.13,1500.0
2015-01-20,12.14,12.14,12.14,12.13,12.13,40.0
2015-01-26,12.14,12.14,12.14,12.13,12.13,25.0
2015-01-30,12.1,12.1,12.1,12.1,12.1,30.0
2015-02-06,12.11,12.11,12.11,12.11,12.11,20.0
2015-02-11,12.1,12.1,12.1,12.1,12.1,25.0
2015-03-05,12.12,12.12,12.12,12.14,12.13,12300.0
2015-03-17,12.13,12.13,12.13,12.13,12.13,4700.0
2015-03-24,12.12,12.12,12.12,12.13,12.13,100.0
2015-04-13,12.15,12.15,12.15,12.15,12.14,1233.0
2015-05-07,12.1,12.1,12.1,12.1,12.1,200.0
2015-06-18,12.06,12.06,12.06,12.06,12.05,1240.0
2015-06-19,12.06,12.06,12.06,12.06,12.05,1650.0
2015-06-24,12.06,12.06,12.06,12.07,12.07,2500.0
2015-07-24,12.12,12.12,12.12,12.12,12.12,1892.0
2015-07-27,12.12,12.12,12.12,12.11,12.11,825.0
2015-07-28,12.1,12.1,12.1,12.12,12.12,825.0
2015-08-07,12.1,12.1,12.1,12.11,12.11,828.0
2015-10-23,12.15,12.15,12.15,12.15,12.15,2300.0
2015-11-23,12.18,12.18,12.18,12.16,12.16,30.0
2015-11-24,12.19,12.19,12.19,12.18,12.17,30.0
2015-11-25,12.19,12.19,12.19,12.19,12.18,30.0
2015-12-15,12.14,12.14,12.13,12.11,12.11,40.0
2015-12-17,12.15,12.15,12.15,12.14,12.13,30.0
2015-12-23,12.15,12.15,12.14,12.12,12.12,5200.0
2016-01-11,12.19,12.19,12.19,12.15,12.15,4366.0
2016-01-12,12.16,12.16,12.16,12.15,12.15,27177.0
2016-01-14,12.19,12.19,12.19,12.16,12.16,8967.0
2016-01-15,12.2,12.2,12.2,12.18,12.18,4.0
2016-01-18,12.19,12.19,12.19,12.18,12.17,4.0
2016-01-29,,,,,,
2016-02-08,12.27,12.27,12.27,12.23,12.23,9303.0
2016-02-09,12.27,12.27,12.26,12.26,12.26,19041.0
2016-02-10,12.25,12.25,12.25,12.27,12.26,1731.0
2016-02-11,12.26,12.26,12.26,12.26,12.25,3662.0
2016-02-12,12.23,12.23,12.23,12.24,12.24,3478.0
2016-02-15,12.26,12.26,12.26,12.28,12.28,5036.0
2016-02-16,12.26,12.26,12.26,12.27,12.27,6234.0
2016-02-17,12.25,12.25,12.25,12.22,12.22,34977.0
2016-02-18,12.22,12.22,12.22,12.24,12.24,4386.0
2016-02-19,12.23,12.23,12.23,12.23,12.23,11375.0
2016-02-22,12.23,12.27,12.23,12.26,12.25,6794.0
2016-02-23,12.24,12.27,12.24,12.26,12.26,9056.0
2016-02-24,12.25,12.25,12.25,12.27,12.27,4608.0
2016-02-25,12.25,12.25,12.25,12.27,12.27,4722.0
2016-02-26,12.25,12.25,12.25,12.27,12.27,4815.0
2016-02-29,12.28,12.28,12.28,12.3,12.3,4037.0
2016-03-02,12.28,12.28,12.28,12.31,12.3,4715.0
2016-03-03,12.28,12.28,12.26,12.28,12.28,45858.0
2016-03-04,12.26,12.26,12.26,12.27,12.27,7621.0
2016-03-07,12.26,12.26,12.26,12.27,12.27,8116.0
2016-03-08,12.27,12.27,12.27,12.28,12.28,7267.0
2016-03-09,12.27,12.27,12.27,12.27,12.27,7209.0
2016-03-10,12.27,12.27,12.27,12.24,12.24,8654.0
2016-03-11,12.21,12.21,12.21,12.27,12.27,8124.0
2016-03-14,12.27,12.27,12.27,12.28,12.28,4463.0
2016-03-15,12.26,12.26,12.26,12.26,12.25,6865.0
2016-03-16,12.25,12.25,12.25,12.27,12.26,8863.0
2016-03-17,12.27,12.27,12.27,12.28,12.28,6568.0
2016-03-18,12.28,12.3,12.28,12.3,12.29,7808.0
2016-03-21,12.28,12.28,12.28,12.28,12.28,7087.0
2016-03-22,12.28,12.28,12.28,12.29,12.29,6369.0
2016-03-23,12.27,12.27,12.27,12.28,12.28,7754.0
2016-03-24,12.28,12.28,12.28,12.3,12.3,7609.0
2016-03-29,12.32,12.32,12.29,12.31,12.31,15974.0
2016-03-30,12.3,12.3,12.3,12.31,12.31,2666.0
2016-03-31,12.3,12.3,12.3,12.31,12.31,3838.0
2016-04-04,12.3,12.3,12.3,12.31,12.3,6650.0
2016-04-05,12.3,12.3,12.3,12.32,12.32,4341.0
2016-04-06,12.29,12.32,12.29,12.31,12.3,3982.0
2016-04-07,12.28,12.3,12.28,12.28,12.28,5708.0
2016-04-08,12.28,12.28,12.28,12.3,12.3,4847.0
2016-04-11,12.29,12.29,12.29,12.31,12.3,1740.0
2016-04-12,12.31,12.31,12.3,12.28,12.28,13596.0
2016-04-13,12.28,12.28,12.28,12.3,12.3,4760.0
2016-04-14,12.28,12.28,12.28,12.29,12.29,6452.0
2016-04-15,12.28,12.28,12.28,12.3,12.29,5683.0
2016-04-19,12.27,12.27,12.27,12.29,12.29,2894.0
2016-04-20,12.28,12.28,12.28,12.29,12.29,4724.0
2016-04-21,12.3,12.3,12.3,12.27,12.27,326.0
2016-04-22,12.25,12.25,12.25,12.27,12.26,103547.0
2016-04-25,12.25,12.25,12.25,12.25,12.25,5695.0
2016-04-26,12.23,12.23,12.23,12.25,12.25,4410.0
2016-04-27,12.27,12.27,12.27,12.25,12.25,679.0
2016-04-28,12.25,12.25,12.25,12.26,12.26,3904.0
2016-04-29,12.24,12.24,12.24,12.24,12.24,3968.0
2016-05-02,12.25,12.25,12.24,12.26,12.26,7697.0
2016-05-03,12.26,12.29,12.26,12.28,12.28,10627.0
2016-05-04,12.26,12.29,12.26,12.27,12.27,8626.0
2016-05-05,12.26,12.29,12.26,12.28,12.28,5923.0
2016-05-06,12.27,12.27,12.27,12.28,12.28,5744.0
2016-05-09,12.27,12.27,12.27,12.29,12.29,3043.0
2016-05-10,12.28,12.32,12.28,12.3,12.3,13835.0
2016-05-11,12.28,12.28,12.28,12.3,12.3,4021.0
2016-05-12,12.27,12.27,12.27,12.29,12.29,5571.0
2016-05-13,12.28,12.3,12.28,12.29,12.29,6410.0
2016-05-17,12.28,12.29,12.28,12.3,12.3,8874.0
2016-05-18,12.28,12.28,12.28,12.29,12.29,4519.0
2016-05-19,12.26,12.26,12.26,12.29,12.29,3563.0
2016-05-20,12.27,12.27,12.27,12.3,12.29,4008.0
2016-05-23,12.28,12.28,12.28,12.3,12.29,3918.0
2016-05-24,12.28,12.28,12.28,12.3,12.3,6179.0
2016-05-25,12.32,12.32,12.29,12.31,12.31,7806.0
2016-05-26,12.3,12.3,12.3,12.31,12.31,7215.0
2016-05-27,12.3,12.3,12.3,12.31,12.31,4271.0
2016-05-30,12.29,12.29,12.29,12.31,12.3,4465.0
2016-05-31,12.28,12.28,12.28,12.31,12.3,4206.0
2016-06-01,12.3,12.3,12.3,12.31,12.31,3354.0
2016-06-02,12.29,12.29,12.29,12.32,12.32,2743.0
2016-06-06,12.34,12.34,12.34,12.31,12.31,1187.0
2016-06-07,12.3,12.3,12.3,12.33,12.33,4477.0
2016-06-08,12.32,12.32,12.32,12.33,12.33,5349.0
2016-06-09,12.32,12.32,12.32,12.35,12.34,5379.0
2016-06-10,12.32,12.32,12.32,12.34,12.33,5458.0
2016-06-13,12.31,12.31,12.31,12.31,12.31,4027.0
2016-06-14,12.31,12.31,12.31,12.31,12.31,5393.0
2016-06-15,12.33,12.33,12.3,12.32,12.32,7301.0
2016-06-16,12.29,12.29,12.29,12.31,12.3,7984.0
2016-06-17,12.29,12.29,12.29,12.31,12.31,6175.0
2016-06-20,12.31,12.31,12.31,12.33,12.33,7905.0
2016-06-21,12.31,12.35,12.31,12.34,12.33,9983.0
2016-06-22,12.32,12.32,12.32,12.33,12.33,4594.0
2016-06-23,12.31,12.31,12.31,12.32,12.32,6433.0
2016-06-24,12.31,12.31,12.29,12.33,12.33,18801.0
2016-06-27,12.33,12.33,12.33,12.35,12.35,3666.0
2016-06-28,12.36,12.36,12.36,12.38,12.38,5863.0
2016-06-29,12.38,12.38,12.38,12.4,12.4,2889.0
2016-06-30,12.38,12.38,12.38,12.41,12.41,3133.0
2016-07-01,12.39,12.39,12.39,12.44,12.44,2400.0
2016-07-04,12.41,12.41,12.41,12.44,12.44,1537.0
2016-07-05,12.42,12.42,12.42,12.45,12.45,5548.0
2016-07-06,12.44,12.44,12.44,12.45,12.45,3495.0
2016-07-07,12.42,12.46,12.42,12.44,12.43,8952.0
2016-07-08,12.43,12.46,12.43,12.45,12.45,17887.0
2016-07-11,12.42,12.42,12.42,12.44,12.44,7364.0
2016-07-12,12.41,12.41,12.41,12.43,12.43,6651.0
2016-07-13,12.42,12.42,12.42,12.44,12.44,5621.0
2016-07-14,12.52,12.52,12.41,12.43,12.43,3010.0
2016-07-15,12.53,12.53,12.41,12.41,12.41,4567.0
2016-07-18,12.4,12.4,12.4,12.42,12.42,3889.0
2016-07-19,12.41,12.41,12.41,12.42,12.42,6418.0
2016-07-20,12.41,12.41,12.41,12.42,12.42,6268.0
2016-07-21,12.39,12.39,12.39,12.42,12.42,6424.0
2016-07-22,12.4,12.4,12.4,12.42,12.42,4300.0
2016-07-25,12.43,12.43,12.43,12.43,12.43,912.0
2016-07-26,12.41,12.41,12.41,12.42,12.42,2905.0
2016-07-27,12.41,12.41,12.41,12.44,12.44,4406.0
2016-07-28,12.38,12.38,12.38,12.44,12.43,2239.0
2016-07-29,12.42,12.42,12.42,12.45,12.45,4375.0
2016-08-01,12.44,12.44,12.44,12.45,12.45,2973.0
2016-08-02,12.42,12.42,12.42,12.43,12.42,3750.0
2016-08-03,12.41,12.44,12.41,12.44,12.43,3948.0
2016-08-04,12.41,12.41,12.41,12.45,12.45,2706.0
2016-08-05,12.44,12.44,12.44,12.44,12.44,16989.0
2016-08-08,12.42,12.42,12.42,12.44,12.44,18031.0
2016-08-09,12.43,12.43,12.43,12.45,12.45,4113.0
2016-08-10,12.44,12.44,12.44,12.47,12.46,3429.0
2016-08-11,12.45,12.45,12.45,12.47,12.47,3954.0
2016-08-12,12.44,12.44,12.44,12.47,12.47,8569.0
2016-08-16,12.44,12.47,12.44,12.44,12.44,5418.0
2016-08-17,12.46,12.46,12.46,12.45,12.45,548.0
2016-08-18,12.43,12.43,12.43,12.46,12.46,1857.0
2016-08-19,12.44,12.44,12.44,12.44,12.44,2004.0
2016-08-22,12.43,12.43,12.43,12.45,12.45,4015.0
2016-08-23,12.43,12.43,12.43,12.46,12.46,2686.0
2016-08-24,12.43,12.48,12.43,12.45,12.45,4247.0
2016-08-25,12.47,12.47,12.47,12.46,12.46,12760.0
2016-08-26,12.48,12.48,12.44,12.47,12.47,2802.0
2016-08-29,12.44,12.44,12.44,12.47,12.46,2798.0
2016-08-30,12.48,12.48,12.44,12.46,12.46,2157.0
2016-08-31,12.44,12.44,12.44,12.45,12.45,1279.0
2016-09-01,12.43,12.43,12.43,12.44,12.44,1490.0
2016-09-02,12.42,12.42,12.42,12.44,12.43,2661.0
2016-09-05,12.42,12.42,12.42,12.45,12.45,3602.0
2016-09-06,12.44,12.44,12.44,12.48,12.47,4403.0
2016-09-07,12.46,12.46,12.46,12.48,12.48,2315.0
2016-09-08,12.46,12.46,12.46,12.45,12.45,4873.0
2016-09-09,12.46,12.46,12.42,12.42,12.42,12390.0
2016-09-12,12.39,12.39,12.39,12.41,12.41,4665.0
2016-09-13,12.41,12.41,12.41,12.41,12.41,3462.0
2016-09-14,12.39,12.39,12.39,12.42,12.42,5658.0
2016-09-15,12.4,12.4,12.4,12.43,12.42,8545.0
2016-09-16,12.41,12.41,12.41,12.43,12.43,7937.0
2016-09-19,12.42,12.42,12.42,12.43,12.43,5694.0
2016-09-20,12.42,12.43,12.42,12.44,12.44,12573.0
2016-09-21,12.43,12.43,12.43,12.44,12.43,5871.0
2016-09-22,12.44,12.44,12.44,12.47,12.47,7052.0
2016-09-23,12.45,12.45,12.45,12.47,12.46,4587.0
2016-09-26,12.45,12.45,12.45,12.48,12.47,6051.0
2016-09-27,12.47,12.47,12.47,12.48,12.48,5222.0
2016-09-28,12.47,12.47,12.47,12.49,12.49,6077.0
2016-09-29,12.46,12.46,12.46,12.48,12.47,3820.0
2016-09-30,12.47,12.47,12.47,12.48,12.48,3610.0
2016-10-03,12.46,12.46,12.46,12.47,12.47,5452.0
2016-10-04,12.46,12.49,12.46,12.47,12.46,4916.0
2016-10-05,12.43,12.47,12.43,12.43,12.43,7857.0
2016-10-06,12.43,12.43,12.43,12.43,12.43,6558.0
2016-10-07,12.41,12.41,12.41,12.43,12.42,9710.0
2016-10-10,12.44,12.44,12.44,12.41,12.41,586.0
2016-10-11,12.4,12.41,12.4,12.43,12.42,10097.0
2016-10-12,12.4,12.4,12.4,12.41,12.41,6614.0
2016-10-13,12.41,12.41,12.41,12.42,12.42,5836.0
2016-10-14,12.4,12.4,12.4,12.41,12.41,4862.0
2016-10-19,12.42,12.42,12.42,12.42,12.42,2318.0
2016-10-20,12.4,12.43,12.4,12.43,12.43,6191.0
2016-10-21,12.41,12.41,12.41,12.42,12.42,3637.0
2016-10-24,12.42,12.42,12.42,12.43,12.42,10213.0
2016-10-25,12.41,12.41,12.41,12.43,12.43,7663.0
2016-10-26,12.4,12.4,12.4,12.4,12.39,4275.0
2016-10-27,12.33,12.35,12.33,12.36,12.36,13779.0
2016-10-28,12.34,12.34,12.34,12.35,12.34,3691.0
2016-10-31,12.33,12.33,12.33,12.35,12.34,5167.0
2016-11-01,12.32,12.32,12.32,12.33,12.33,2546.0
2016-11-02,12.34,12.34,12.34,12.35,12.35,826.0
2016-11-03,12.32,12.32,12.32,12.34,12.34,131.0
2016-11-04,12.32,12.32,12.32,12.34,12.34,5279.0
2016-11-07,12.31,12.32,12.31,12.34,12.34,6479.0
2016-11-08,12.33,12.33,12.33,12.34,12.33,10698.0
2016-11-09,12.29,12.29,12.29,12.34,12.34,4689.0
2016-11-10,12.23,12.23,12.23,12.27,12.27,5263.0
2016-11-11,12.2,12.2,12.19,12.24,12.24,3169.0
2016-11-14,12.15,12.15,12.15,12.22,12.22,5844.0
2016-11-15,12.19,12.23,12.19,12.24,12.24,9192.0
2016-11-16,12.21,12.25,12.21,12.23,12.23,19770.0
2016-11-17,12.19,12.19,12.19,12.23,12.23,5541.0
2016-11-18,12.18,12.18,12.18,12.23,12.23,5716.0
2016-11-21,12.2,12.2,12.2,12.23,12.22,4921.0
2016-11-22,12.23,12.23,12.23,12.25,12.25,4352.0
2016-11-23,12.23,12.23,12.23,12.22,12.22,8921.0
2016-11-25,12.23,12.23,12.23,12.24,12.24,4216.0
2016-11-28,12.23,12.23,12.23,12.25,12.25,3573.0
