Date,Open,High,Low,Close,Adj Close,Volume
2010-01-18,18.4,18.4,18.4,18.4,18.4,0
2010-01-19,18.6,18.6,18.6,18.6,18.6,0
2010-01-20,18.450001,18.450001,18.450001,18.450001,18.450001,0
2010-01-21,18.35,18.35,18.35,18.35,18.35,0
2010-01-22,18.110001,18.110001,18.110001,18.110001,18.110001,0
2010-01-25,17.940001,17.940001,17.940001,17.940001,17.940001,0
2010-01-26,17.99,17.99,17.99,17.99,17.99,0
2010-01-27,17.860001,17.860001,17.860001,17.860001,17.860001,0
2010-01-28,17.85,17.85,17.85,17.85,17.85,0
2010-01-29,17.870001,18.07,17.870001,17.870001,17.870001,0
2010-02-01,17.9,17.9,17.9,17.9,17.9,216
2010-02-02,17.9,17.9,17.9,17.9,17.9,216
2010-02-03,17.9,17.9,17.9,17.9,17.9,216
2010-02-04,18.08,18.08,18.08,18.08,18.08,6
2010-02-05,17.799999,18,17.799999,18,18,55
2010-02-08,17.799999,18,17.799999,18,18,55
2010-02-09,17.799999,18,17.799999,18,18,55
2010-02-10,17.799999,18,17.799999,18,18,55
2010-02-11,17.799999,18,17.799999,18,18,55
2010-02-12,17.799999,18,17.799999,18,18,55
2010-02-15,17.799999,18,17.799999,18,18,55
2010-02-16,17.799999,18,17.799999,18,18,55
2010-02-17,17.799999,18,17.799999,18,18,55
2010-02-18,17.799999,18,17.799999,18,18,55
2010-02-19,17.799999,18,17.799999,18,18,55
2010-02-22,18.52,18.52,18.52,18.52,18.52,55
2010-02-23,18.379999,18.379999,18.379999,18.379999,18.379999,0
2010-02-24,18.42,18.42,18.42,18.42,18.42,0
2010-02-25,18.24,18.24,18.24,18.24,18.24,0
2010-02-26,18.32,18.32,18.32,18.32,18.32,0
2010-03-01,18.67,18.67,18.67,18.67,18.67,0
2010-03-02,18.74,18.74,18.74,18.74,18.74,0
2010-03-03,18.719999,18.719999,18.719999,18.719999,18.719999,0
2010-03-04,18.77,18.77,18.77,18.77,18.77,0
2010-03-05,19.01,19.01,19.01,19.01,19.01,0
2010-03-08,19.02,19.02,19.02,19.02,19.02,0
2010-03-09,19.120001,19.120001,19.120001,19.120001,19.120001,0
2010-03-10,19.110001,19.110001,19.110001,19.110001,19.110001,0
2010-03-11,19.07,19.07,19.07,19.07,19.07,0
2010-03-12,19.059999,19.059999,19.059999,19.059999,19.059999,0
2010-03-15,18.9,19.18,18.9,18.9,18.9,0
2010-03-16,18.4,19.190001,18.4,18.4,18.4,0
2010-03-17,18.6,19.42,18.6,18.6,18.6,0
2010-03-18,18.6,19.540001,18.6,18.6,18.6,0
2010-03-19,19.42,19.42,19.42,19.42,19.42,150
2010-03-22,19.23,19.51,19.23,19.23,19.23,0
2010-03-23,19,19.629999,19,19,19,0
2010-03-24,19.629999,19.91,19.629999,19.629999,19.629999,0
2010-03-25,19.809999,19.809999,19.809999,19.809999,19.809999,1000
2010-03-26,19,19.74,19,19,19,0
2010-03-29,19.73,19.73,19.73,19.73,19.73,0
2010-03-30,19.790001,19.790001,19.790001,19.790001,19.790001,0
2010-03-31,19.780001,19.790001,19.780001,19.790001,19.790001,200
2010-04-01,19.85,19.85,19.85,19.85,19.85,125
2010-04-06,20.059999,20.059999,20.059999,20.059999,20.059999,30
2010-04-07,20.15,20.15,20.15,20.15,20.15,145
2010-04-08,20,20,20,20,20,50
2010-04-09,20.01,20.01,20.01,20.01,20.01,0
2010-04-12,20.030001,20.049999,20.030001,20.049999,20.049999,12000
2010-04-13,19.93,19.93,19.93,19.93,19.93,0
2010-04-14,20.040001,20.040001,20.040001,20.040001,20.040001,0
2010-04-15,20.25,20.25,20.25,20.25,20.25,0
2010-04-16,19.99,19.99,19.99,19.99,19.99,0
2010-04-19,19.93,19.93,19.93,19.93,19.93,0
2010-04-20,20.18,20.18,20.18,20.18,20.18,124
2010-04-21,20.25,20.25,20.25,20.25,20.25,145
2010-04-22,20.120001,20.120001,20.120001,20.120001,20.120001,0
2010-04-23,20.23,20.23,20.23,20.23,20.23,0
