Date,Open,High,Low,Close,Adj Close,Volume
2019-01-18,44.06,44.46,44.06,44.58,44.58,2547
2019-01-21,44.58,44.58,44.38,44.43,44.43,425
2019-01-22,44.39,44.39,44.18,44.22,44.22,2675
2019-01-23,44.08,44.22,43.81,43.82,43.82,11068
2019-01-24,44.06,44.22,44.06,44.13,44.13,1010
2019-01-25,44.41,44.47,44.38,44.35,44.35,23450
2019-01-28,44.34,44.35,44.12,43.74,43.74,1434
2019-01-29,43.96,44.02,43.8,43.79,43.79,5357
2019-01-30,43.97,44.0,43.94,44.22,44.22,12522
2019-01-31,44.44,44.6,44.39,44.75,44.75,2198
2019-02-01,44.83,44.84,44.75,44.83,44.83,8262
2019-02-04,44.84,45.04,44.83,45.03,45.03,1406
2019-02-05,45.36,45.37,45.33,45.46,45.46,1171
2019-02-06,45.53,45.59,45.49,45.58,45.58,504
2019-02-07,45.64,45.64,45.47,45.09,45.09,453
2019-02-08,45.05,45.12,45.01,45.08,45.08,20610
2019-02-11,45.27,45.69,45.27,45.62,45.62,1583
2019-02-12,46.04,46.04,45.88,46.03,46.03,20124
2019-02-13,46.38,46.49,46.16,46.35,46.35,20708
2019-02-14,46.58,46.58,46.22,46.2,46.2,12941
2019-02-15,46.14,46.8,46.14,46.69,46.69,5254
2019-02-18,46.68,46.78,46.6,46.67,46.67,666
2019-02-19,46.77,46.77,46.56,46.55,46.55,2058
2019-02-20,46.69,46.71,46.57,46.58,46.58,491
2019-02-21,46.76,46.85,46.47,46.53,46.53,1440
2019-02-22,46.67,46.67,46.67,46.83,46.83,9800
2019-02-25,46.92,47.13,46.91,47.08,47.08,19429
2019-02-26,46.72,46.9,46.65,46.83,46.83,10056
2019-02-27,47.13,47.13,46.41,46.58,46.58,130
2019-02-28,46.56,46.6,46.47,46.57,46.57,557
2019-03-01,46.87,46.88,46.81,46.69,46.69,1106
2019-03-04,47.19,47.35,46.92,46.92,46.92,2198
2019-03-05,46.92,46.94,46.88,47.02,47.02,801
2019-03-06,46.92,46.94,46.87,46.71,46.71,2375
2019-03-07,46.49,46.58,46.47,46.64,46.64,443
2019-03-08,46.51,46.6,46.2,46.28,46.28,15407
2019-03-11,46.47,47.08,46.47,47.01,47.01,3670
2019-03-12,47.14,47.21,47.01,47.13,47.13,1644
2019-03-13,47.08,47.43,47.08,47.38,47.38,1447
2019-03-14,47.47,47.47,47.33,47.34,47.34,1739
2019-03-15,47.29,47.46,47.29,47.53,47.53,2212
2019-03-18,47.6,47.6,47.36,47.46,47.46,1195
2019-03-19,47.67,47.85,47.65,47.78,47.78,196
2019-03-20,47.51,47.51,47.24,47.28,47.28,22911
2019-03-21,47.08,47.18,46.99,47.69,47.69,14714
2019-03-22,47.9,47.9,47.6,47.33,47.33,10505
2019-03-25,47.13,47.24,47.1,47.15,47.15,17046
2019-03-26,47.31,47.68,47.31,47.49,47.49,10144
2019-03-27,47.69,47.78,47.24,47.35,47.35,35819
2019-03-28,47.3,47.51,47.24,47.35,47.35,12401
2019-03-29,47.62,47.78,47.62,47.74,47.74,2727
2019-04-01,48.15,48.31,48.13,48.35,48.35,677
2019-04-02,48.54,48.54,48.47,48.53,48.53,1515
2019-04-03,48.62,48.7,48.5,48.64,48.64,1703
2019-04-04,48.47,48.69,48.47,48.58,48.58,672
2019-04-05,48.74,48.88,48.73,48.87,48.87,2055
2019-04-08,48.79,48.79,48.54,48.64,48.64,924
2019-04-09,48.69,48.69,48.44,48.49,48.49,8917
2019-04-10,48.54,48.67,48.53,48.58,48.58,493
2019-04-11,48.58,48.78,48.55,48.69,48.69,10080
2019-04-12,48.65,48.79,48.65,48.66,48.66,11765
2019-04-15,48.76,48.83,48.65,48.75,48.75,2151
2019-04-16,48.95,48.97,48.88,48.91,48.91,1702
2019-04-17,48.79,48.9,48.79,48.76,48.76,1149
2019-04-18,48.69,49.02,48.65,48.9,48.9,13025
2019-04-23,49.31,49.44,49.06,49.62,49.62,3661
2019-04-24,49.63,49.79,49.62,49.76,49.76,553
2019-04-25,49.81,50.02,49.65,49.92,49.92,7993
2019-04-26,49.73,49.88,49.71,49.83,49.83,2324
2019-04-29,49.98,50.08,49.98,50.02,50.02,15018
2019-04-30,49.88,49.88,49.6,49.65,49.65,1474
2019-05-02,49.65,49.76,49.4,49.39,49.39,11701
2019-05-03,49.69,49.9,49.69,49.82,49.82,12568
2019-05-06,49.06,49.24,49.03,49.56,49.56,117864
2019-05-07,49.55,49.6,48.98,49.06,49.06,81104
2019-05-08,49.03,49.08,48.66,48.97,48.97,73567
2019-05-09,48.6,48.69,48.0,48.0,48.0,32878
2019-05-10,48.55,48.62,47.74,47.85,47.85,37942
2019-05-13,48.19,48.25,47.5,47.6,47.6,19242
2019-05-14,47.71,48.17,47.6,48.17,48.17,38112
2019-05-15,48.22,48.31,47.8,48.35,48.35,38405
2019-05-16,48.29,49.11,48.19,49.09,49.09,23464
2019-05-17,48.81,49.11,48.56,49.07,49.07,8244
2019-05-20,48.84,48.86,48.26,48.44,48.44,24490
2019-05-21,48.65,48.85,48.57,48.77,48.77,30319
2019-05-22,48.69,48.72,48.47,48.76,48.76,9666
2019-05-23,48.46,48.46,48.0,48.03,48.03,13258
2019-05-24,48.16,48.24,47.87,47.88,47.88,11291
2019-05-27,48.16,48.16,48.03,48.06,48.06,9155
2019-05-28,48.17,48.17,48.01,48.09,48.09,3930
2019-05-29,47.53,47.58,47.42,47.44,47.44,8517
2019-05-30,47.71,47.79,47.58,47.61,47.61,4442
2019-05-31,47.2,47.2,46.92,47.24,47.24,9100
2019-06-03,46.68,46.83,46.46,46.79,46.79,18046
2019-06-04,46.44,46.92,46.44,47.17,47.17,16292
2019-06-05,47.41,47.64,47.35,47.6,47.6,14252
2019-06-06,47.92,48.04,47.64,47.76,47.76,19758
2019-06-07,48.14,48.41,47.94,48.27,48.27,10950
2019-06-10,48.49,48.74,48.49,48.76,48.76,2700
2019-06-11,48.75,48.93,48.67,48.65,48.65,3297
2019-06-12,48.35,48.54,48.33,48.42,48.42,653
2019-06-13,48.52,48.82,48.52,48.74,48.74,2733
2019-06-14,48.78,48.92,48.73,48.96,48.96,324
2019-06-17,49.15,49.15,48.92,49.04,49.04,480
2019-06-18,48.9,49.8,48.88,49.69,49.69,12853
2019-06-19,49.67,49.69,49.53,49.53,49.53,838
2019-06-20,49.81,49.85,49.74,49.69,49.69,640
2019-06-21,49.67,49.67,49.67,49.74,49.74,22
2019-06-24,49.42,49.47,49.32,49.31,49.31,4855
2019-06-25,49.18,49.18,49.01,49.08,49.08,554
2019-06-26,48.93,49.17,48.88,48.9,48.9,3664
2019-06-27,48.88,48.88,48.6,48.73,48.73,6466
