Date,Open,High,Low,Close,Adj Close,Volume
2007-11-07,149.17,149.26,149.17,149.17,149.17,0
2007-11-08,149.46,149.55,149.46,149.46,149.46,0
2007-11-09,149.83,149.92,149.83,149.83,149.83,0
2007-11-12,149.72,149.81,149.72,149.72,149.72,0
2007-11-13,149.65,149.66,149.65,149.66,149.66,54430
2007-11-14,149.33,149.42,149.33,149.33,149.33,0
2007-11-15,149.64,149.64,149.64,149.64,149.64,4136
2007-11-16,149.84,149.93,149.84,149.84,149.84,0
2007-11-19,150.29,150.38,150.29,150.29,150.29,0
2007-11-20,150.14,150.24,150.14,150.14,150.14,0
2007-11-21,149.64,149.64,149.64,149.64,149.64,0
2007-11-22,149.64,149.64,149.64,149.64,149.64,0
2007-11-23,149.64,149.64,149.64,149.64,149.64,0
2007-11-26,149.64,149.64,149.64,149.64,149.64,0
2007-11-27,149.64,149.64,149.64,149.64,149.64,0
2007-11-28,149.64,149.64,149.64,149.64,149.64,0
2007-11-29,149.64,149.64,149.64,149.64,149.64,0
2007-11-30,149.64,149.64,149.64,149.64,149.64,0
2007-12-03,149.64,149.64,149.64,149.64,149.64,0
2007-12-04,149.64,149.64,149.64,149.64,149.64,0
2007-12-05,150.87,150.87,150.87,150.87,150.87,33
2007-12-06,150.29,150.38,150.29,150.29,150.29,0
2007-12-07,149.21,149.3,149.21,149.21,149.21,0
2007-12-10,148.59,148.68,148.59,148.59,148.59,0
2007-12-11,148.91,149.0,148.91,148.91,148.91,0
2007-12-12,148.2,148.29,148.2,148.2,148.2,0
2007-12-13,148.53,148.62,148.53,148.53,148.53,0
2007-12-14,148.19,148.28,148.19,148.19,148.19,0
2007-12-17,148.31,148.31,148.31,148.31,148.31,1
2007-12-18,148.48,148.57,148.48,148.48,148.48,0
2007-12-19,148.6,148.69,148.6,148.6,148.6,0
2007-12-20,148.72,148.72,148.72,148.72,148.72,88
2007-12-21,148.34,148.43,148.34,148.34,148.34,0
2007-12-27,148.06,148.15,148.06,148.06,148.06,0
2007-12-28,148.52,148.63,148.52,148.52,148.52,0
2008-01-02,149.79,149.88,149.79,149.79,149.79,0
2008-01-03,150.09,150.18,150.09,150.09,150.09,0
2008-01-04,150.67,150.76,150.67,150.67,150.67,0
2008-01-07,150.68,150.77,150.68,150.68,150.68,0
2008-01-08,150.28,150.37,150.28,150.28,150.28,0
2008-01-09,151.02,151.11,151.02,151.02,151.02,0
2008-01-10,150.92,151.01,150.92,150.92,150.92,0
2008-01-11,150.98,151.07,150.98,150.98,150.98,0
2008-01-14,151.33,151.33,151.33,151.33,151.33,67
2008-01-15,151.78,151.87,151.78,151.78,151.78,0
2008-01-16,152.33,152.42,152.33,152.33,152.33,0
2008-01-17,152.34,152.43,152.34,152.34,152.34,0
2008-01-18,152.62,152.71,152.62,152.62,152.62,0
2008-01-21,153.17,153.26,153.17,153.17,153.17,0
2008-01-22,152.37,152.46,152.37,152.37,152.37,0
2008-01-23,153.3,153.39,153.3,153.3,153.3,0
2008-01-24,152.11,152.2,152.11,152.11,152.11,0
2008-01-25,152.14,152.14,152.13,152.13,152.13,2651
2008-01-28,152.72,152.72,152.72,152.72,152.72,79
2008-01-29,152.27,152.36,152.27,152.27,152.27,0
2008-01-30,152.1,152.19,152.1,152.1,152.1,0
2008-01-31,153.11,153.2,153.11,153.11,153.11,0
2008-02-01,153.25,153.34,153.25,153.25,153.25,0
2008-02-04,153.39,153.39,153.39,153.39,153.39,64
2008-02-05,153.41,153.41,153.41,153.41,153.41,35
2008-02-06,154.31,154.31,154.31,154.31,154.31,7
2008-02-07,154.26,154.35,154.26,154.26,154.26,0
2008-02-08,154.25,154.35,154.25,154.25,154.25,0
2008-02-11,154.36,154.45,154.36,154.36,154.36,0
2008-02-12,153.46,153.55,153.46,153.46,153.46,0
2008-02-13,153.49,153.58,153.49,153.49,153.49,0
2008-02-14,153.27,153.27,153.27,153.27,153.27,32
2008-02-15,153.43,153.52,153.43,153.43,153.43,0
2008-02-18,152.79,152.88,152.79,152.79,152.79,0
2008-02-19,153.27,153.27,153.27,153.27,153.27,13
2008-02-20,152.79,152.88,152.79,152.79,152.79,0
2008-02-21,152.58,152.58,152.58,152.58,152.58,1
2008-02-22,152.96,153.05,152.96,152.96,152.96,0
2008-02-25,152.5,152.59,152.5,152.5,152.5,0
2008-02-26,152.11,152.2,152.11,152.11,152.11,0
2008-02-27,152.05,152.14,152.05,152.05,152.05,0
2008-02-28,153.09,153.18,153.09,153.09,153.09,0
2008-02-29,154.26,154.35,154.26,154.26,154.26,0
2008-03-03,154.53,154.62,154.53,154.53,154.53,0
2008-03-04,154.79,154.88,154.79,154.79,154.79,0
2008-03-05,154.38,154.38,154.21,154.21,154.21,179
2008-03-06,154.12,154.21,154.12,154.12,154.12,0
2008-03-07,153.98,154.07,153.98,153.98,153.98,0
2008-03-10,154.63,154.63,154.63,154.63,154.63,29
2008-03-11,154.26,154.26,154.26,154.26,154.26,2940
2008-03-12,154.67,154.77,154.67,154.67,154.67,0
2008-03-13,154.26,154.26,154.26,154.26,154.26,0
2008-03-14,154.26,154.26,154.26,154.26,154.26,0
2008-03-17,155.45,155.62,155.45,155.45,155.45,0
2008-03-18,154.51,154.68,154.51,154.51,154.51,0
2008-03-19,154.37,154.54,154.37,154.37,154.37,0
2008-03-20,154.62,154.8,154.62,154.62,154.62,0
2008-03-25,153.6,153.6,153.6,153.6,153.6,19
2008-03-26,153.2,153.38,153.2,153.2,153.2,0
2008-03-27,153.09,153.26,153.09,153.09,153.09,0
2008-03-28,153.03,153.2,153.03,153.03,153.03,0
2008-03-31,153.42,153.59,153.42,153.42,153.42,0
2008-04-01,152.69,152.86,152.69,152.69,152.69,0
2008-04-02,152.68,152.85,152.68,152.68,152.68,0
2008-04-03,153.1,153.1,153.1,153.1,153.1,7
2008-04-04,153.13,153.3,153.13,153.13,153.13,0
2008-04-07,152.41,152.58,152.41,152.41,152.41,0
2008-04-08,152.49,152.66,152.49,152.49,152.49,0
2008-04-09,152.56,152.72,152.56,152.56,152.56,0
2008-04-10,153.42,153.42,152.99,152.99,152.99,1270
2008-04-11,153.7,153.86,153.7,153.7,153.7,0
2008-04-14,153.76,153.92,153.76,153.76,153.76,0
2008-04-15,153.08,153.24,153.08,153.08,153.08,0
2008-04-16,152.32,152.48,152.32,152.32,152.32,0
2008-04-17,155.0,155.0,151.9,151.9,151.9,60
2008-04-18,151.32,151.48,151.32,151.32,151.32,0
2008-04-21,151.59,151.75,151.59,151.59,151.59,0
2008-04-22,151.19,151.35,151.19,151.19,151.19,0
2008-04-23,151.41,151.57,151.41,151.41,151.41,0
2008-04-24,151.14,151.14,151.14,151.14,151.14,1
2008-04-25,151.13,151.29,151.13,151.13,151.13,0
2008-04-28,151.08,151.08,151.08,151.08,151.08,18
2008-04-29,151.6,151.6,151.6,151.6,151.6,845
2008-04-30,151.74,151.9,151.74,151.74,151.74,0
2008-05-02,151.09,151.25,151.09,151.09,151.09,0
2008-05-05,151.56,151.72,151.56,151.56,151.56,0
2008-05-06,151.99,152.15,151.99,151.99,151.99,0
2008-05-07,151.63,151.79,151.63,151.63,151.63,0
2008-05-08,152.57,152.73,152.57,152.57,152.57,0
2008-05-09,153.23,153.23,153.23,153.23,153.23,21
2008-05-12,152.97,153.13,152.97,152.97,152.97,0
2008-05-13,152.18,152.34,152.18,152.18,152.18,0
2008-05-14,151.51,151.67,151.51,151.51,151.51,0
2008-05-15,151.02,151.18,151.02,151.02,151.02,0
2008-05-16,151.64,151.8,151.64,151.64,151.64,0
2008-05-19,151.74,151.74,151.37,151.37,151.37,937
2008-05-20,151.61,151.77,151.61,151.61,151.61,0
2008-05-21,150.96,150.96,150.96,150.96,150.96,842
2008-05-22,150.49,150.65,150.49,150.49,150.49,0
2008-05-23,150.86,151.02,150.86,150.86,150.86,0
2008-05-26,150.57,150.75,150.57,150.57,150.57,0
2008-05-27,150.42,150.58,150.42,150.42,150.42,0
2008-05-28,150.05,150.21,150.05,150.05,150.05,0
2008-05-29,149.19,149.35,149.19,149.19,149.19,0
2008-05-30,149.7,149.7,149.7,149.7,149.7,32
2008-06-02,150.13,150.29,150.13,150.13,150.13,0
2008-06-03,149.47,149.47,149.47,149.47,149.47,1102
2008-06-04,149.97,149.97,149.97,149.97,149.97,756
2008-06-05,148.84,149.0,148.84,148.84,148.84,0
2008-06-06,148.83,148.83,148.83,148.83,148.83,10000
2008-06-09,149.54,149.78,149.54,149.78,149.78,283
2008-06-10,147.97,147.97,147.97,147.97,147.97,97
2008-06-11,147.74,147.92,147.74,147.74,147.74,0
2008-06-12,147.51,147.51,147.51,147.51,147.51,3
2008-06-13,147.0,147.0,146.94,146.94,146.94,82
2008-06-16,146.99,146.99,146.99,146.99,146.99,27
2008-06-17,146.99,146.99,146.99,146.99,146.99,0
2008-06-18,147.05,147.22,147.05,147.05,147.05,0
2008-06-19,146.42,146.59,146.42,146.42,146.42,0
2008-06-20,147.12,147.12,147.12,147.12,147.12,1102
2008-06-23,147.37,147.54,147.37,147.37,147.37,0
2008-06-24,147.16,147.16,147.16,147.16,147.16,32
2008-06-25,147.15,147.26,147.15,147.26,147.26,5088
2008-06-26,147.52,147.52,147.52,147.52,147.52,1
2008-06-27,148.25,148.43,148.25,148.25,148.25,0
2008-06-30,147.04,147.22,147.04,147.04,147.04,0
2008-07-01,147.26,147.44,147.26,147.26,147.26,0
2008-07-02,146.76,146.94,146.76,146.76,146.76,0
2008-07-03,147.91,147.91,147.91,147.91,147.91,1515
2008-07-04,148.53,148.7,148.53,148.53,148.53,0
2008-07-07,149.29,149.46,149.29,149.29,149.29,0
2008-07-08,149.38,149.56,149.38,149.38,149.38,0
2008-07-09,149.36,149.54,149.36,149.36,149.36,0
2008-07-10,149.59,149.77,149.59,149.59,149.59,0
2008-07-11,147.0,152.0,147.0,147.0,147.0,0
2008-07-14,149.72,149.89,149.72,149.72,149.72,0
2008-07-15,149.69,149.69,149.69,149.69,149.69,75
2008-07-16,149.65,149.83,149.65,149.65,149.65,0
2008-07-17,149.14,149.32,149.14,149.14,149.14,0
2008-07-18,147.74,147.92,147.74,147.74,147.74,0
2008-07-21,147.26,147.43,147.26,147.26,147.26,0
2008-07-22,147.29,147.46,147.29,147.29,147.29,0
2008-07-23,147.11,147.11,147.11,147.11,147.11,5000
2008-07-24,148.31,148.49,148.31,148.31,148.31,0
2008-07-25,148.7,148.7,148.7,148.7,148.7,762
2008-07-28,148.78,148.96,148.78,148.78,148.78,0
2008-07-29,149.35,149.53,149.35,149.35,149.35,0
2008-07-30,149.86,150.04,149.86,149.86,149.86,0
2008-07-31,150.38,150.56,150.38,150.38,150.38,0
2008-08-01,150.46,150.64,150.46,150.46,150.46,0
2008-08-04,150.76,150.94,150.76,150.76,150.76,0
2008-08-05,151.04,151.22,151.04,151.04,151.04,0
2008-08-06,151.19,151.19,151.19,151.19,151.19,93
2008-08-07,151.96,152.14,151.96,151.96,151.96,0
2008-08-08,152.13,152.31,152.13,152.13,152.13,0
2008-08-11,151.92,152.1,151.92,151.92,151.92,0
2008-08-12,152.39,152.57,152.39,152.39,152.39,0
2008-08-13,152.66,152.84,152.66,152.66,152.66,0
2008-08-14,152.54,152.72,152.54,152.54,152.54,0
2008-08-18,153.25,153.43,153.25,153.25,153.25,0
2008-08-19,153.13,153.31,153.13,153.13,153.13,0
2008-08-20,153.36,153.54,153.36,153.36,153.36,0
2008-08-21,152.85,153.03,152.85,152.85,152.85,0
2008-08-22,152.38,152.56,152.38,152.38,152.38,0
2008-08-25,153.53,153.71,153.53,153.53,153.53,0
2008-08-26,153.55,153.73,153.55,153.55,153.55,0
2008-08-27,152.75,152.93,152.75,152.75,152.75,0
2008-08-28,152.73,152.91,152.73,152.73,152.73,0
2008-08-29,152.7,152.88,152.7,152.7,152.7,0
2008-09-01,153.43,153.61,153.43,153.43,153.43,0
2008-09-02,153.09,153.09,152.76,152.76,152.76,34
2008-09-03,153.28,153.46,153.28,153.28,153.28,0
2008-09-04,154.06,154.24,154.06,154.06,154.06,0
2008-09-05,154.56,154.56,154.56,154.56,154.56,26
2008-09-08,153.93,154.11,153.93,153.93,153.93,0
2008-09-09,154.16,154.34,154.16,154.16,154.16,0
2008-09-10,154.11,154.29,154.11,154.11,154.11,0
2008-09-11,153.83,154.01,153.83,153.83,153.83,0
2008-09-12,152.72,152.9,152.72,152.72,152.72,0
2008-09-15,153.93,154.11,153.93,153.93,153.93,0
