Date,Open,High,Low,Close,Adj Close,Volume
2012-03-06,179.5,179.5,179.5,179.22,179.22,20
2012-03-14,179.6,179.6,179.6,179.3,179.3,60
2012-03-21,178.78,178.78,178.78,178.68,178.68,10
2012-04-03,179.33,179.33,179.33,178.98,178.98,6
2012-04-16,177.41,177.41,177.41,177.61,177.61,20
2012-05-17,178.89,178.89,178.89,179.02,179.02,1
2012-06-01,182.33,182.33,182.33,182.03,182.03,250
2012-07-06,180.95,180.95,180.95,182.03,182.03,60
2012-09-07,178.34,178.34,178.34,177.37,177.37,110
2012-09-18,177.86,177.86,177.86,177.65,177.65,40
2012-10-12,179.94,179.94,179.94,179.45,179.45,111
2012-10-15,180.36,180.36,180.36,179.91,179.91,28
2012-10-16,180.05,180.05,180.05,179.69,179.69,105
2012-10-22,180.34,180.34,180.34,179.82,179.82,110
2012-11-12,180.97,180.97,180.97,180.8,180.8,150
2012-11-23,181.17,181.17,181.17,180.83,180.83,170
2013-01-02,186.75,186.75,183.78,183.74,183.74,43
2013-01-04,183.06,183.06,182.9,183.45,183.45,130
2013-01-22,183.89,183.89,183.89,183.63,183.63,54
2013-01-24,183.63,183.63,183.63,183.63,183.63,10
2013-02-13,182.44,182.44,182.44,182.46,182.46,8
2013-03-12,184.12,184.12,184.12,183.96,183.96,218
2013-04-10,186.69,186.69,186.69,186.4,186.4,270
2013-04-15,186.83,186.83,186.83,186.6,186.6,214
2013-04-23,187.75,187.75,187.75,188.36,188.36,270
2013-04-25,188.23,188.23,188.13,188.05,188.05,570
2013-04-30,189.35,189.35,189.35,188.82,188.82,100
2013-05-03,189.91,189.91,189.91,189.72,189.72,200
2013-05-07,189.2,189.2,189.2,189.0,189.0,63
2013-07-10,185.0,185.0,185.0,184.77,184.77,40
2013-08-07,178.58,178.58,178.58,178.29,178.29,30
2013-08-08,178.7,178.7,178.7,178.47,178.47,60
2013-08-20,177.49,177.49,177.49,177.28,177.28,5
2013-08-21,177.49,177.49,177.49,176.88,176.88,9
2013-08-22,176.99,176.99,176.99,176.77,176.77,6
2013-09-26,178.38,178.38,178.38,178.09,178.09,1
2013-10-09,178.91,178.91,178.87,178.61,178.61,16
2013-11-05,180.64,180.64,180.64,180.37,180.37,17
2013-11-14,181.09,181.09,181.09,181.09,181.09,55
2013-11-15,181.15,181.15,181.15,180.95,180.95,80
2013-11-19,181.38,181.38,181.38,180.99,180.99,11
2013-11-26,181.55,181.55,181.55,181.44,181.44,200
2013-12-02,181.5,181.5,181.5,181.17,181.17,200
2013-12-27,180.16,180.16,180.16,179.85,179.85,3
2014-01-06,181.35,181.35,181.35,181.1,181.1,368
2014-01-13,181.8,181.8,181.8,181.75,181.75,55
2014-02-06,184.3,184.3,184.3,183.99,183.99,50
2014-02-11,184.45,184.45,184.45,184.21,184.21,15
2014-02-19,184.75,184.75,184.75,184.72,184.72,25
2014-02-21,184.85,184.85,184.85,184.62,184.62,27
2014-02-28,186.11,186.11,186.11,185.34,185.34,268
2014-03-13,186.22,186.22,186.22,186.19,186.19,22
2014-03-31,187.0,187.0,187.0,187.03,187.03,80
2014-04-23,188.21,188.21,188.21,188.35,188.35,320
2014-05-05,189.09,189.16,189.09,189.11,189.11,950
2014-05-06,188.99,188.99,188.99,189.29,189.29,450
2014-05-13,189.4,189.4,189.4,189.73,189.73,9
2014-05-14,190.25,190.25,190.25,190.22,190.22,30
2014-05-20,189.35,189.35,189.27,189.0,189.0,47
2014-05-22,189.41,189.41,189.41,189.24,189.24,22
2014-06-12,191.3,191.3,191.3,191.18,191.18,63
2014-06-16,191.87,191.87,191.87,191.62,191.62,77
2014-06-20,191.23,191.23,191.23,191.41,191.41,50
2014-06-25,192.19,192.19,192.07,192.46,192.46,109
2014-06-26,192.39,192.39,192.39,192.72,192.72,9
2014-06-30,192.81,192.81,192.81,192.64,192.64,51
2014-07-03,192.16,192.16,192.15,192.32,192.32,130
2014-07-07,192.72,192.79,192.72,192.77,192.77,30
