Date,Open,High,Low,Close,Adj Close,Volume
2007-02-15,26.290001,26.290001,26.290001,26.290001,26.290001,50
2007-02-16,26.219999,26.280001,26.219999,26.219999,26.219999,0
2007-02-19,26.32,26.32,26.32,26.32,26.32,1
2007-02-20,26.25,26.280001,26.209999,26.280001,26.280001,92
2007-02-21,26.18,26.25,26.18,26.18,26.18,0
2007-02-22,26.200001,26.27,26.200001,26.200001,26.200001,0
2007-02-23,26.33,26.33,26.33,26.33,26.33,2
2007-02-26,26.32,26.32,26.32,26.32,26.32,4
2007-02-27,26.030001,26.030001,26.030001,26.030001,26.030001,105
2007-02-28,25.549999,25.549999,25.360001,25.360001,25.360001,135
2007-03-01,25.969999,25.969999,25.049999,25.049999,25.049999,4
2007-03-02,25.27,25.27,25.27,25.27,25.27,38
2007-03-05,24.99,25.059999,24.99,24.99,24.99,0
2007-03-06,25.049999,25.120001,25.049999,25.049999,25.049999,0
2007-03-07,25.17,25.209999,25.17,25.209999,25.209999,2081
2007-03-08,25.379999,25.379999,25.379999,25.379999,25.379999,1
2007-03-09,25.43,25.5,25.43,25.43,25.43,0
2007-03-12,25.6,25.6,25.6,25.6,25.6,1
2007-03-13,25.23,25.23,25.23,25.23,25.23,2
2007-03-14,24.790001,24.790001,24.790001,24.790001,24.790001,8
2007-03-15,25.02,25.02,25.02,25.02,25.02,60
2007-03-16,24.799999,24.879999,24.799999,24.799999,24.799999,0
2007-03-19,25.120001,25.190001,25.120001,25.120001,25.120001,0
2007-03-20,25.290001,25.360001,25.290001,25.290001,25.290001,0
2007-03-21,25.35,25.43,25.33,25.33,25.33,2050
2007-03-22,25.68,25.68,25.68,25.68,25.68,2000
2007-03-23,25.809999,25.879999,25.809999,25.809999,25.809999,0
2007-03-26,25.870001,25.879999,25.870001,25.879999,25.879999,1050
2007-03-27,25.57,25.629999,25.57,25.57,25.57,0
2007-03-28,25.360001,25.43,25.360001,25.360001,25.360001,0
2007-03-29,25.57,25.629999,25.57,25.57,25.57,0
2007-03-30,25.549999,25.620001,25.549999,25.549999,25.549999,0
2007-04-02,25.540001,25.540001,25.540001,25.540001,25.540001,2
2007-04-03,25.77,25.83,25.77,25.77,25.77,0
2007-04-04,25.9,25.9,25.780001,25.780001,25.780001,29800
2007-04-05,25.74,25.74,25.74,25.74,25.74,1000
2007-04-10,25.940001,25.940001,25.9,25.9,25.9,255
2007-04-11,25.860001,25.99,25.860001,25.860001,25.860001,0
2007-04-12,25.75,25.879999,25.75,25.75,25.75,0
2007-04-13,25.889999,26.02,25.889999,25.889999,25.889999,0
2007-04-16,25.959999,26,25.959999,26,26,9009
2007-04-17,26.200001,26.24,26.200001,26.23,26.23,502
2007-04-18,26.18,26.18,26.18,26.18,26.18,1000
