Date,Open,High,Low,Close,Adj Close,Volume
2010-07-26,13.35,13.35,13.35,13.35,13.35,0
2010-07-27,13.42,13.42,13.42,13.42,13.42,0
2010-07-28,13.34,13.34,13.34,13.34,13.34,0
2010-07-29,13.19,13.19,13.19,13.19,13.19,0
2010-07-30,13.17,13.18,13.17,13.18,13.18,2000
2010-08-02,13.33,13.33,13.33,13.33,13.33,150
2010-08-03,13.34,13.34,13.34,13.34,13.34,1000
2010-08-06,13.15,13.15,13.15,13.15,13.15,15000
2010-08-09,13.32,13.32,13.3,13.31,13.31,2070
2010-08-10,13.34,13.34,13.34,13.34,13.34,0
2010-08-11,13.27,13.27,13.27,13.27,13.27,0
2010-08-12,13.2,13.2,13.2,13.2,13.2,0
2010-08-13,13.24,13.24,13.24,13.24,13.24,1000
2010-08-16,13.15,13.15,13.15,13.15,13.15,0
2010-08-17,13.3,13.3,13.3,13.3,13.3,0
2010-08-18,13.24,13.28,13.24,13.28,13.28,1100
2010-08-19,13.36,13.37,13.22,13.22,13.22,45000
2010-08-20,13.17,13.17,13.17,13.17,13.17,15000
2010-08-23,13.27,13.27,13.27,13.27,13.27,1000
2010-08-24,13.16,13.16,13.15,13.15,13.15,30000
2010-08-25,13.03,13.03,12.89,12.89,12.89,60000
2010-08-26,13.03,13.05,13.03,13.05,13.05,36400
2010-08-27,12.93,12.93,12.68,12.92,12.92,93000
2010-08-30,13.09,13.09,13.09,13.09,13.09,0
2010-08-31,12.84,12.84,12.84,12.84,12.84,15000
2010-09-01,13.3,13.3,13.3,13.3,13.3,0
2010-09-02,13.26,13.26,13.26,13.26,13.26,0
2010-09-03,13.34,13.34,13.34,13.34,13.34,150
2010-09-06,13.47,13.47,13.47,13.47,13.47,0
2010-09-07,13.51,13.51,13.51,13.51,13.51,0
2010-09-08,13.49,13.49,13.49,13.49,13.49,30000
2010-09-09,13.66,13.66,13.66,13.66,13.66,0
2010-09-10,13.64,13.64,13.64,13.64,13.64,0
2010-09-13,13.68,13.68,13.68,13.68,13.68,0
2010-09-14,13.69,13.69,13.69,13.69,13.69,15000
2010-09-15,13.49,13.49,13.49,13.49,13.49,0
2010-09-16,13.43,13.43,13.43,13.43,13.43,0
2010-09-17,13.54,13.54,13.54,13.54,13.54,0
2010-09-20,13.64,13.64,13.64,13.64,13.64,0
2010-09-21,13.62,13.62,13.62,13.62,13.62,0
2010-09-22,13.36,13.36,13.36,13.36,13.36,750
2010-09-23,13.22,13.22,13.22,13.22,13.22,15000
2010-09-24,13.33,13.33,13.33,13.33,13.33,0
2010-09-27,13.37,13.37,13.37,13.37,13.37,15000
2010-09-28,13.35,13.35,13.35,13.35,13.35,15000
2010-09-29,13.2,13.2,13.19,13.19,13.19,16300
2010-09-30,13.13,13.25,13.13,13.17,13.17,35000
2010-10-01,13.13,13.13,13.13,13.13,13.13,60176
2010-10-04,13.1,13.1,13.1,13.1,13.1,140
2010-10-05,13.04,13.04,13.04,13.04,13.04,30000
2010-10-06,13.07,13.07,13.07,13.07,13.07,0
2010-10-07,13.02,13.02,13.02,13.02,13.02,17786
2010-10-08,13.1,13.1,13.1,13.1,13.1,0
2010-10-11,13.15,13.15,13.15,13.15,13.15,1150
2010-10-12,13.19,13.19,13.19,13.19,13.19,150
2010-10-13,13.25,13.25,13.25,13.25,13.25,1500
2010-10-14,13.11,13.11,13.11,13.11,13.11,0
2010-10-18,13.25,13.25,13.25,13.25,13.25,0
2010-10-19,13.31,13.32,13.31,13.32,13.32,2020
2010-10-20,13.23,13.23,13.23,13.23,13.23,0
2010-10-21,13.3,13.3,13.3,13.3,13.3,0
2010-10-22,13.32,13.32,13.32,13.32,13.32,0
2010-10-25,13.35,13.35,13.35,13.35,13.35,1500
2010-10-26,13.43,13.43,13.43,13.43,13.43,0
2010-10-27,13.42,13.42,13.42,13.42,13.42,15000
2010-10-28,13.45,13.45,13.45,13.45,13.45,15000
2010-10-29,13.37,13.37,13.37,13.37,13.37,15000
2010-11-01,13.41,13.41,13.41,13.41,13.41,15000
2010-11-02,13.35,13.35,13.35,13.35,13.35,60000
2010-11-03,13.39,13.39,13.39,13.39,13.39,3000
2010-11-04,13.42,13.45,13.42,13.42,13.42,0
2010-11-05,13.64,13.69,13.64,13.64,13.64,0
2010-11-08,13.76,13.76,13.76,13.76,13.76,15000
2010-11-09,13.84,13.84,13.84,13.84,13.84,0
2010-11-10,13.84,13.84,13.84,13.84,13.84,15000
2010-11-11,13.84,13.85,13.84,13.85,13.85,30000
2010-11-12,13.85,13.85,13.85,13.85,13.85,700
2010-11-15,13.84,13.88,13.84,13.88,13.88,45000
2010-11-16,13.79,13.79,13.79,13.79,13.79,2180
2010-11-17,13.72,13.72,13.72,13.72,13.72,0
2010-11-18,13.85,13.85,13.85,13.85,13.85,0
2010-11-19,13.73,13.73,13.71,13.71,13.71,60260
2010-11-22,13.76,13.76,13.76,13.76,13.76,0
2010-11-23,13.77,13.8,13.77,13.8,13.8,36928
2010-11-24,13.95,13.95,13.93,13.93,13.93,60000
2010-11-25,14.11,14.11,14.1,14.1,14.1,49912
2010-11-26,14.14,14.16,14.14,14.15,14.15,60000
2010-11-29,14.13,14.13,14.13,14.13,14.13,0
2010-11-30,14.24,14.24,14.24,14.24,14.24,0
2010-12-01,14.47,14.47,14.47,14.47,14.47,0
2010-12-02,14.48,14.48,14.48,14.48,14.48,30000
2010-12-03,14.33,14.33,14.33,14.33,14.33,0
2010-12-06,14.43,14.47,14.43,14.47,14.47,30600
2010-12-07,14.52,14.52,14.52,14.52,14.52,0
2010-12-08,14.52,14.52,14.52,14.52,14.52,300
2010-12-09,14.63,14.67,14.63,14.67,14.67,60000
2010-12-10,14.65,14.65,14.65,14.65,14.65,340
2010-12-13,14.78,14.78,14.78,14.78,14.78,19912
2010-12-14,14.53,14.53,14.53,14.53,14.53,500
2010-12-15,14.62,14.62,14.58,14.58,14.58,59736
2010-12-16,14.68,14.68,14.68,14.68,14.68,1000
2010-12-17,14.71,14.88,14.71,14.87,14.87,92035
2010-12-20,14.93,14.93,14.93,14.93,14.93,24
2010-12-21,14.93,14.95,14.93,14.94,14.94,150300
2010-12-22,15.03,15.06,15.01,15.06,15.06,62325
2010-12-23,15.1,15.1,15.1,15.1,15.1,1000
2010-12-27,15.01,15.01,15.01,15.01,15.01,0
2010-12-28,14.98,15.05,14.98,15.05,15.05,60700
2010-12-29,15.1,15.12,15.09,15.1,15.1,60300
2010-12-30,14.99,14.99,14.92,14.93,14.93,30133
2011-01-03,14.97,14.97,14.97,14.97,14.97,667
2011-01-04,14.93,14.96,14.93,14.96,14.96,30300
2011-01-05,15.01,15.2,15.0,15.2,15.2,31469
2011-01-06,15.31,15.4,15.3,15.39,15.39,137673
2011-01-07,15.41,15.49,15.41,15.43,15.43,970
2011-01-10,15.44,15.44,15.41,15.41,15.41,64020
2011-01-11,15.48,15.48,15.48,15.48,15.48,30065
2011-01-12,15.48,15.55,15.48,15.5,15.5,93782
2011-01-13,15.44,15.44,15.18,15.18,15.18,303250
2011-01-14,15.08,15.17,15.08,15.16,15.16,181450
2011-01-17,15.28,15.3,15.26,15.27,15.27,61710
2011-01-18,15.24,15.24,15.15,15.2,15.2,361135
2011-01-19,15.17,15.17,15.1,15.1,15.1,121100
2011-01-20,14.98,14.98,14.9,14.94,14.94,30388
2011-01-21,14.97,14.97,14.97,14.97,14.97,30000
2011-01-25,14.89,14.92,14.89,14.89,14.89,131170
2011-01-26,14.9,14.94,14.9,14.91,14.91,120534
2011-01-27,14.86,14.91,14.83,14.88,14.88,120807
2011-01-28,14.87,14.94,14.87,14.92,14.92,36100
2011-01-31,14.72,14.75,14.69,14.74,14.74,241500
2011-02-01,14.77,14.88,14.77,14.86,14.86,122052
2011-02-02,14.87,14.9,14.87,14.89,14.89,31400
2011-02-03,15.01,15.01,15.01,15.01,15.01,1600
2011-02-04,15.09,15.11,15.09,15.1,15.1,420
2011-02-07,15.2,15.3,15.2,15.3,15.3,1100
2011-02-08,15.27,15.28,15.21,15.22,15.22,120075
2011-02-09,15.26,15.26,15.22,15.22,15.22,30067
2011-02-10,15.23,15.27,15.23,15.23,15.23,79364
2011-02-11,15.3,15.37,15.3,15.36,15.36,1750
